feature,feature_label_human,feature_description,layer,domain,domains_final,module,criterion_ref,source_label,instrument_or_source,feature_type,feature_role,dataset_class,questionnaire_class,respondability_group,respondent_expected,administered_by,caregiver_answerable_yes_no,psychologist_answerable_yes_no,must_be_self_report_yes_no,is_direct_input,is_transparent_derived,show_in_questionnaire_yes_no,derivable_if_not_shown_yes_no,include_caregiver_1_3,include_caregiver_2_3,include_caregiver_full,include_psychologist_1_3,include_psychologist_2_3,include_psychologist_full,caregiver_rank,psychologist_rank,caregiver_priority_bucket,psychologist_priority_bucket,selection_rationale,questionnaire_section_suggested,questionnaire_subsection_suggested,needs_human_question_text,notes
adhd_context_count,Adhd context count,Input for derived - Adhd context count,dsm5,ADHD,ADHD,derived,C,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
adhd_context_home,Adhd context home,Input for context - Adhd context home,dsm5,ADHD,ADHD,context,C,dsm5,dsm5,context_flag,context_flag,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,83.0,83.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
adhd_context_other,Adhd context other,Input for context - Adhd context other,dsm5,ADHD,ADHD,context,C,dsm5,dsm5,context_flag,context_flag,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,no,si,no,no,si,132.0,150.0,baja,baja,feature DSM-5 explícita; prioridad DSM-5 medium; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
adhd_context_school,Adhd context school,Input for context - Adhd context school,dsm5,ADHD,ADHD,context,C,dsm5,dsm5,context_flag,context_flag,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,no,si,si,no,si,si,84.0,84.0,media,media,feature DSM-5 explícita; prioridad DSM-5 high; capa criteria_support; respondible por ambos roles,por_confirmar,por_confirmar,si,
adhd_final_dsm5_threshold_met,Adhd final dsm5 threshold met,Input for derived - Adhd final dsm5 threshold met,dsm5,ADHD,ADHD,derived,A-E,dsm5,por_confirmar,diagnostic_flag,diagnostic_flag,target_or_label,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
adhd_hyperimpulsive_symptom_count,Adhd hyperimpulsive symptom count,Input for derived - Adhd hyperimpulsive symptom count,dsm5,ADHD,ADHD,derived,A2,dsm5,por_confirmar,derived_count,derived_count,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
adhd_hyperimpulsive_threshold_child,Adhd hyperimpulsive threshold child,Input for derived - Adhd hyperimpulsive threshold child,dsm5,ADHD,ADHD,derived,A2,dsm5,por_confirmar,threshold_flag,threshold_flag,model_input,transparent_derived,transparent_derived,system,caregiver_or_psychologist,no,si,no,no,si,no,si,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,por_confirmar,,,por_confirmar,por_confirmar,derived from available contracts and priority matrix,por_confirmar,por_confirmar,no,
adhd_hypimp_01_fidgets,Adhd hypimp 01 fidgets,Input for core_hyperimpulsive - Adhd hypimp 01 fidgets,dsm5,ADHD,ADHD,core_hyperimpulsive,A2.a,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,1.0,1.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
adhd_hypimp_02_leaves_seat,Adhd hypimp 02 leaves seat,Input for core_hyperimpulsive - Adhd hypimp 02 leaves seat,dsm5,ADHD,ADHD,core_hyperimpulsive,A2.b,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,2.0,2.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
adhd_hypimp_03_runs_or_climbs_inappropriately,Adhd hypimp 03 runs or climbs inappropriately,Input for core_hyperimpulsive - Adhd hypimp 03 runs or climbs inappropriately,dsm5,ADHD,ADHD,core_hyperimpulsive,A2.c,dsm5,dsm5,symptom_item,symptom_item,model_input,direct_both,both,caregiver_or_psychologist,caregiver_or_psychologist,si,si,no,si,no,si,no,si,si,si,si,si,si,3.0,3.0,alta,alta,feature DSM-5 explícita; prioridad DSM-5 high; capa core_symptom; respondible por ambos roles,por_confirmar,por_confirmar,si,
