candidate_id,domain,mode,calibration_method,threshold_policy,threshold,val_selection_score,val_brier,val_ece,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,delta_holdout_brier_vs_none,delta_holdout_balanced_accuracy_vs_none,delta_holdout_pr_auc_vs_none,calibration_recommended
adhd__psychologist_2_3,adhd,psychologist_2_3,isotonic,default_0_5,0.5,0.7943004585158359,0.048770735524998325,7.416666667373403e-07,0.7747747747747747,0.9148936170212766,0.9352331606217616,0.9250633888215192,0.8390243902439024,0.9425779958108256,0.7693292583602127,0.05496522159680617,0.04504281042148961,0.029462021827802887,0.004649986213025231,-0.010776099658251548,-0.05170005849876669,yes
adhd__psychologist_2_3,adhd,psychologist_2_3,none,default_0_5,0.5,0.7799596988047455,0.054666605764841086,0.017192022484678916,0.7542372881355932,0.9468085106382979,0.9248704663212435,0.9358394884797707,0.839622641509434,0.9677268217396098,0.8210293168589794,0.05031523538378094,0.041018998272884244,0.01623305038033296,0.0,0.0,0.0,no
adhd__psychologist_2_3,adhd,psychologist_2_3,sigmoid,default_0_5,0.5,0.7555080584041395,0.05640173708245168,0.04738546374843897,0.7659574468085106,0.7659574468085106,0.9430051813471503,0.8544813140778305,0.7659574468085106,0.9677268217396097,0.8210293168589794,0.055551359438862816,0.11203285194576118,0.03348583397640836,0.005236124055081878,-0.08135817440194026,0.0,no
adhd__psychologist_full,adhd,psychologist_full,isotonic,balanced,0.05,0.9934744000545405,0.0038284632044111194,9.479166666484846e-07,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9803219049718883,0.9451063417182078,0.015458704199548236,0.0021588946459412117,0.019843457171204948,0.0028123372088320105,0.0,-0.040472706651369705,yes
adhd__psychologist_full,adhd,psychologist_full,none,balanced,0.615,0.9934744000545405,0.009718989355367247,0.021235124999043464,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9972439642817771,0.9855790483695775,0.012646366990716225,0.0021588946459412117,0.019843457171204948,0.0,0.0,0.0,no
adhd__psychologist_full,adhd,psychologist_full,sigmoid,balanced,0.49499999999999994,0.9934744000545405,0.008718828931608151,0.03761732806379542,0.9479166666666666,0.9680851063829787,0.9870466321243523,0.9775658692536655,0.9578947368421052,0.9972439642817771,0.9855790483695775,0.012625237335564757,0.0021588946459412117,0.019843457171204948,-2.112965515146774e-05,0.0,0.0,no
anxiety__caregiver_2_3,anxiety,caregiver_2_3,isotonic,default_0_5,0.5,0.9068284126254433,0.014704861111984024,8.729166666157018e-07,0.8913043478260869,0.9534883720930233,0.9746192893401016,0.9640538307165625,0.9213483146067416,0.9867341518120647,0.9296925029139941,0.021602992451955513,-6.886239326331367e-05,0.015435013575728851,-0.0022635837044331607,0.0,-0.027693864444588656,yes
anxiety__caregiver_2_3,anxiety,caregiver_2_3,none,default_0_5,0.5,0.8938036184383287,0.020480643734007598,0.032085450131509693,0.8913043478260869,0.9534883720930233,0.9746192893401016,0.9640538307165625,0.9213483146067416,0.9931531106126785,0.9573863673585827,0.023866576156388673,0.009798134812891046,0.011627906976744096,0.0,0.0,0.0,no
anxiety__caregiver_2_3,anxiety,caregiver_2_3,sigmoid,default_0_5,0.5,0.8917444671020102,0.018972335568115853,0.036149608769127185,0.9,0.9418604651162791,0.9771573604060914,0.9595089127611852,0.9204545454545454,0.9931531106126785,0.9573863673585827,0.021608643309690753,0.024878998937551744,-0.009089835910754407,-0.002257932846697921,-0.004544917955377259,0.0,no
anxiety__caregiver_full,anxiety,caregiver_full,isotonic,precision_oriented,0.4049999999999999,0.9481407096071257,0.01737595250841062,8.791666666456756e-07,0.9418604651162791,0.9418604651162791,0.9873096446700508,0.9645850548931649,0.9418604651162791,0.993020304568528,0.943523061457888,0.018192893289459174,0.01240506827214416,-0.005813953488372103,-0.002419979200116624,0.0,-0.013607733895776852,yes
