domain,mode,pass_name,model_family,config_id,feature_set_id,weight_policy,trials,best_val_score,best_holdout_ba,best_holdout_f1,best_holdout_pr_auc
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,dsm5_core_plus_context,cost_asym,2,0.9094734792936158,0.9564270752948958,0.9214659685863874,0.9805614699057523
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,dsm5_core_only,cost_asym,2,0.9092470694391028,0.9511079263587257,0.9157894736842105,0.9799314011137155
adhd,psychologist_full,pass_b,logreg,logreg_balanced_v3,dsm5_core_only,cost_asym,2,0.9083868850182609,0.9368592216955132,0.88268156424581,0.9150338140810128
adhd,psychologist_full,pass_b,logreg,logreg_balanced_v3,dsm5_core_only,mode_fragile,2,0.9080872791127571,0.9368592216955132,0.8656716417910447,0.9142650464590532
adhd,psychologist_full,pass_b,logreg,logreg_balanced_v3,dsm5_core_only,none,2,0.9080872791127571,0.9368592216955132,0.8656716417910447,0.9142650464590532
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,dsm5_core_only,cost_asym,2,0.9073630514311605,0.9697938485282769,0.9285714285714286,0.979357051063277
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,dsm5_core_only,mode_fragile,2,0.907330155095672,0.9697938485282769,0.9285714285714286,0.977711394048311
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,dsm5_core_only,none,2,0.907330155095672,0.9697938485282769,0.9285714285714286,0.977711394048311
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,engineered_full_no_shortcut_v1,cost_asym,2,0.9062317999101206,0.9431981038474259,0.900523560209424,0.972753266597728
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,engineered_full_no_shortcut_v1,cost_asym,2,0.9062032013665264,0.9525410649322015,0.9072164948453608,0.9716949349677082
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,dsm5_core_only,mode_fragile,2,0.9060174781959158,0.9591555506559365,0.9175257731958762,0.9799134712153389
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,dsm5_core_only,none,2,0.9060174781959158,0.9591555506559365,0.9175257731958762,0.9799134712153389
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,engineered_full_no_shortcut_v1,mode_fragile,2,0.9049761338176892,0.9232168448903098,0.8817204301075269,0.970815218969015
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,engineered_full_no_shortcut_v1,none,2,0.9049761338176892,0.9232168448903098,0.8817204301075269,0.970815218969015
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,balanced_subset,mode_fragile,2,0.9042764018251445,0.9258075184654393,0.8913043478260869,0.9722275066470333
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,balanced_subset,none,2,0.9042764018251445,0.9258075184654393,0.8913043478260869,0.9722275066470333
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,balanced_subset,cost_asym,2,0.903927706988452,0.9085547348693639,0.8735632183908046,0.9717860793781878
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,engineered_full_no_shortcut_v1,mode_fragile,2,0.9030147879411741,0.9259453202513505,0.8783068783068783,0.9722727409313675
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,engineered_full_no_shortcut_v1,none,2,0.9030147879411741,0.9259453202513505,0.8783068783068783,0.9722727409313675
adhd,psychologist_full,pass_a,extra_trees,extra_regularized_v3,compact_subset,none,1,0.9027316982938741,0.9512457281446367,0.9025641025641026,0.9700934573149659
adhd,psychologist_full,pass_c,hgb,hgb_regularized_v3,engineered_full_no_shortcut_v1,none,2,0.9020669068136037,0.9660456399514937,0.9019607843137255,0.9728689480356666
adhd,psychologist_full,pass_c,rf,rf_precision_guard_v4,engineered_full_no_shortcut_v1,combined_aggressive,2,0.9009823042158006,0.9579980156542829,0.900523560209424,0.9700273181534698
adhd,psychologist_full,pass_c,rf,rf_precision_guard_v4,engineered_full_no_eng_v1,none,2,0.9006109946343386,0.9569782824385404,0.8936170212765957,0.9688266954232293
adhd,psychologist_full,pass_c,rf,rf_precision_guard_v4,full_eligible,none,2,0.9006109946343386,0.9569782824385404,0.8936170212765957,0.9688266954232293
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,stability_pruned_subset,mode_fragile,2,0.900559310028159,0.9045309227207585,0.8666666666666667,0.9694403194734675
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,stability_pruned_subset,none,2,0.900559310028159,0.9045309227207585,0.8666666666666667,0.9694403194734675
adhd,psychologist_full,pass_c,hgb,hgb_regularized_v3,engineered_full_no_shortcut_v1,combined_aggressive,2,0.900394281616109,0.9740932642487047,0.9038461538461539,0.9717623665928382
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,engineered_full_no_eng_v1,mode_fragile,2,0.8996908785372171,0.9258075184654393,0.8913043478260869,0.9716708392019263
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,engineered_full_no_eng_v1,none,2,0.8996908785372171,0.9258075184654393,0.8913043478260869,0.9716708392019263
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,stability_pruned_subset,cost_asym,2,0.8994859699771485,0.9098500716569287,0.8729281767955801,0.9693715873770621
adhd,psychologist_full,pass_c,hgb,hgb_regularized_v3,engineered_full_no_eng_v1,none,2,0.8988931191230058,0.9605886892294124,0.9090909090909091,0.9706954070874262
adhd,psychologist_full,pass_c,hgb,hgb_regularized_v3,full_eligible,none,2,0.8988931191230058,0.9605886892294124,0.9090909090909091,0.9706954070874262
adhd,psychologist_full,pass_b,extra_trees,extra_precision_guard_v3,engineered_full_no_eng_v1,cost_asym,2,0.8978036045747488,0.9204883695292692,0.8852459016393442,0.970835778670208
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,balanced_subset,cost_asym,2,0.8972639422040731,0.9431981038474259,0.900523560209424,0.9725873969824437
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,stability_pruned_subset,mode_fragile,2,0.8959754280023907,0.9204883695292692,0.8926553672316384,0.9519395361442209
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,stability_pruned_subset,none,2,0.8959754280023907,0.9204883695292692,0.8926553672316384,0.9519395361442209
adhd,psychologist_full,pass_b,hgb,hgb_conservative_v3,engineered_full_no_eng_v1,cost_asym,2,0.8958589272371603,0.9672031749531473,0.9191919191919192,0.9713514740835234
adhd,psychologist_full,pass_c,rf,rf_precision_guard_v4,engineered_full_no_eng_v1,combined_aggressive,2,0.8955580394774303,0.9660456399514937,0.9025641025641026,0.9675483646797429
adhd,psychologist_full,pass_c,rf,rf_precision_guard_v4,full_eligible,combined_aggressive,2,0.8955580394774303,0.9660456399514937,0.9025641025641026,0.9675483646797429
adhd,psychologist_full,pass_b,rf,rf_recall_guard_v4,balanced_subset,cost_asym,2,0.894964833357462,0.9325598059750855,0.8888888888888888,0.9537892186194634
adhd,psychologist_full,pass_c,hgb,hgb_regularized_v3,engineered_full_no_eng_v1,combined_aggressive,2,0.8949448876787272,0.9686363135266233,0.9108910891089109,0.9690415829169763
adhd,psychologist_full,pass_c,hgb,hgb_regularized_v3,full_eligible,combined_aggressive,2,0.8949448876787272,0.9686363135266233,0.9108910891089109,0.9690415829169763
adhd,psychologist_full,pass_c,rf,rf_precision_guard_v4,engineered_full_no_shortcut_v1,none,2,0.8945949014397461,0.9446312424209018,0.8923076923076924,0.9649582628428555
