domain,mode,old_balanced_accuracy,new_balanced_accuracy,old_f1,new_f1,old_pr_auc,new_pr_auc,old_secondary_metric_anomaly_flag,new_secondary_metric_anomaly_flag,winner_pass,winner_weight_policy,winner_feature_set_id,margin_status
adhd,psychologist_full,0.9124407452320582,0.9697938485282769,0.88268156424581,0.9285714285714286,0.9271313857162288,0.9703114129088792,yes,yes,pass_a,class_minor_boost,engineered_pruned,material_candidate
anxiety,caregiver_2_3,0.9440738991854564,0.9071833313658364,0.8926553672316384,0.8622754491017964,0.9572096459522188,0.9344018756014659,yes,no,pass_b,none,engineered_pruned_no_eng_v1,near_ceiling_or_minor_gain
anxiety,caregiver_full,0.9498878526738284,0.9066521071892338,0.898876404494382,0.8439306358381503,0.9704386771709956,0.9164530208073066,yes,no,pass_a,none,full_eligible,near_ceiling_or_minor_gain
anxiety,psychologist_2_3,0.9435426750088538,0.9188112383425806,0.8743169398907104,0.8757396449704142,0.966312961726849,0.9313949266154259,yes,no,pass_b,none,engineered_pruned_no_eng_v1,near_ceiling_or_minor_gain
anxiety,psychologist_full,0.9460807460748436,0.9809644670050761,0.8839779005524862,0.9197860962566845,0.9591820433560584,0.9761406525520069,yes,yes,pass_b,cost_asym,dsm5_core_plus_context,material_candidate
conduct,caregiver_full,0.9046875,0.9984375,0.8596491228070176,0.9968847352024922,0.9499594639068576,1.0,no,yes,pass_b,none,dsm5_core_plus_context,material_candidate
conduct,psychologist_full,0.9140625,0.9984375,0.8768768768768769,0.9968847352024922,0.9413294156917726,0.9998828094481229,no,yes,pass_b,none,dsm5_core_plus_context,material_candidate
depression,caregiver_1_3,0.8129366343914696,0.8939821056502022,0.7248322147651006,0.7717391304347826,0.764765007527117,0.8145472246918155,no,no,pass_b,mode_fragile,dsm5_core_only,material_candidate
depression,caregiver_2_3,0.9248376026473832,0.9090574825346243,0.8361581920903954,0.8255813953488372,0.9185052705693368,0.9089426302418846,no,no,pass_b,cost_asym,dsm5_core_plus_context,near_ceiling_or_minor_gain
depression,caregiver_full,0.9569460390355912,0.962679249908077,0.891566265060241,0.8791208791208791,0.9434742112852106,0.941776364220716,yes,yes,pass_b,cost_asym,dsm5_core_only,near_ceiling_or_minor_gain
depression,psychologist_1_3,0.8640458389508519,0.8939821056502022,0.782608695652174,0.7717391304347826,0.7681311253035743,0.8145472246918155,no,no,pass_b,mode_fragile,dsm5_core_only,material_candidate
depression,psychologist_full,0.9542671259089168,0.9517404093638926,0.9012345679012346,0.8715083798882681,0.9533076719585644,0.9381121131193371,yes,yes,pass_b,none,dsm5_core_only,near_ceiling_or_minor_gain
elimination,caregiver_1_3,0.9428218839983546,0.9233465132997843,0.8846153846153846,0.8571428571428571,0.9700376570280697,0.9636775169007255,yes,yes,pass_c,none,engineered_full,near_ceiling_or_minor_gain
elimination,caregiver_2_3,0.9964953271028038,0.9976635514018692,0.97196261682243,0.9811320754716981,0.941642680399478,0.9880401682524326,yes,yes,pass_b,none,dsm5_core_only,material_candidate
elimination,caregiver_full,0.9964953271028038,0.9976635514018692,0.97196261682243,0.9811320754716981,0.9433519475427756,0.9978363704778799,yes,yes,pass_b,cost_asym,dsm5_core_plus_context,material_candidate
elimination,psychologist_1_3,0.9451528863293568,0.9775341480948958,0.9019607843137256,0.8947368421052632,0.9724347146967124,0.9516636265484134,yes,yes,pass_a,class_minor_boost,engineered_compact,material_candidate
elimination,psychologist_2_3,0.9964953271028038,0.9976635514018692,0.97196261682243,0.9811320754716981,0.966688236695034,0.9880401682524326,yes,yes,pass_b,none,dsm5_core_only,material_candidate
elimination,psychologist_full,0.9964953271028038,0.9988317757009346,0.97196261682243,0.9904761904761905,0.9917564458695416,1.0,yes,yes,pass_b,cost_asym,dsm5_core_only,material_candidate
