disorder,model_version,split,threshold,method,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier_score,fpr,fnr
adhd,rf_adhd_v1_baseline,validation,0.05,grid,0.6708333333333333,1.0,0.368,0.6839999999999999,0.8029925187032418,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.632,0.0
adhd,rf_adhd_v1_baseline,validation,0.075,grid,0.7464114832535885,0.968944099378882,0.576,0.772472049689441,0.8432432432432433,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.42400000000000004,0.03105590062111796
adhd,rf_adhd_v1_baseline,validation,0.1,grid,0.7788944723618091,0.9627329192546584,0.648,0.8053664596273292,0.8611111111111112,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.352,0.037267080745341574
adhd,rf_adhd_v1_baseline,validation,0.125,grid,0.8020833333333334,0.9565217391304348,0.696,0.8262608695652174,0.8725212464589235,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.30400000000000005,0.04347826086956519
adhd,rf_adhd_v1_baseline,validation,0.15,grid,0.8148148148148148,0.9565217391304348,0.72,0.8382608695652174,0.88,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.28,0.04347826086956519
adhd,rf_adhd_v1_baseline,validation,0.175,grid,0.8235294117647058,0.9565217391304348,0.736,0.8462608695652174,0.8850574712643678,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.264,0.04347826086956519
adhd,rf_adhd_v1_baseline,validation,0.2,grid,0.8406593406593407,0.9503105590062112,0.768,0.8591552795031057,0.892128279883382,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.23199999999999998,0.0496894409937888
adhd,rf_adhd_v1_baseline,validation,0.22499999999999998,grid,0.85,0.9503105590062112,0.784,0.8671552795031057,0.8973607038123167,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.21599999999999997,0.0496894409937888
adhd,rf_adhd_v1_baseline,validation,0.25,grid,0.8587570621468926,0.9440993788819876,0.8,0.8720496894409938,0.8994082840236687,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.19999999999999996,0.05590062111801242
adhd,rf_adhd_v1_baseline,validation,0.27499999999999997,grid,0.8728323699421965,0.937888198757764,0.824,0.880944099378882,0.9041916167664671,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.17600000000000005,0.06211180124223603
adhd,rf_adhd_v1_baseline,validation,0.3,grid,0.8823529411764706,0.9316770186335404,0.84,0.8858385093167702,0.9063444108761329,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.16000000000000003,0.06832298136645965
adhd,rf_adhd_v1_baseline,validation,0.32499999999999996,grid,0.891566265060241,0.9192546583850931,0.856,0.8876273291925465,0.9051987767584098,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.14400000000000002,0.08074534161490687
adhd,rf_adhd_v1_baseline,validation,0.35,grid,0.891566265060241,0.9192546583850931,0.856,0.8876273291925465,0.9051987767584098,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.14400000000000002,0.08074534161490687
adhd,rf_adhd_v1_baseline,validation,0.37499999999999994,grid,0.891566265060241,0.9192546583850931,0.856,0.8876273291925465,0.9051987767584098,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.14400000000000002,0.08074534161490687
adhd,rf_adhd_v1_baseline,validation,0.39999999999999997,grid,0.8963414634146342,0.9130434782608695,0.864,0.8885217391304348,0.9046153846153846,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.136,0.08695652173913049
adhd,rf_adhd_v1_baseline,validation,0.42499999999999993,grid,0.901840490797546,0.9130434782608695,0.872,0.8925217391304348,0.9074074074074074,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.128,0.08695652173913049
adhd,rf_adhd_v1_baseline,validation,0.44999999999999996,grid,0.906832298136646,0.906832298136646,0.88,0.893416149068323,0.906832298136646,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.12,0.09316770186335399
adhd,rf_adhd_v1_baseline,validation,0.475,grid,0.90625,0.9006211180124224,0.88,0.8903105590062113,0.9034267912772586,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.12,0.0993788819875776
adhd,rf_adhd_v1_baseline,validation,0.49999999999999994,grid,0.9119496855345912,0.9006211180124224,0.888,0.8943105590062113,0.90625,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.11199999999999999,0.0993788819875776
adhd,rf_adhd_v1_baseline,validation,0.525,grid,0.9119496855345912,0.9006211180124224,0.888,0.8943105590062113,0.90625,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.11199999999999999,0.0993788819875776
adhd,rf_adhd_v1_baseline,validation,0.5499999999999999,grid,0.9113924050632911,0.8944099378881988,0.888,0.8912049689440994,0.9028213166144201,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.11199999999999999,0.10559006211180122
adhd,rf_adhd_v1_baseline,validation,0.575,grid,0.9171974522292994,0.8944099378881988,0.896,0.8952049689440994,0.9056603773584906,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.10399999999999998,0.10559006211180122
adhd,rf_adhd_v1_baseline,validation,0.6,grid,0.9225806451612903,0.8881987577639752,0.904,0.8960993788819875,0.9050632911392406,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.09599999999999997,0.11180124223602483
adhd,rf_adhd_v1_baseline,validation,0.625,grid,0.9285714285714286,0.8881987577639752,0.912,0.9000993788819875,0.9079365079365079,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.08799999999999997,0.11180124223602483
adhd,rf_adhd_v1_baseline,validation,0.65,grid,0.9403973509933775,0.8819875776397516,0.928,0.9049937888198758,0.9102564102564102,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.07199999999999995,0.11801242236024845
adhd,rf_adhd_v1_baseline,validation,0.675,grid,0.9455782312925171,0.8633540372670807,0.936,0.8996770186335403,0.9025974025974026,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.06399999999999995,0.1366459627329193
adhd,rf_adhd_v1_baseline,validation,0.7,grid,0.9448275862068966,0.8509316770186336,0.936,0.8934658385093168,0.8954248366013072,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.06399999999999995,0.1490683229813664
adhd,rf_adhd_v1_baseline,validation,0.725,grid,0.951048951048951,0.84472049689441,0.944,0.894360248447205,0.8947368421052632,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.05600000000000005,0.15527950310559002
adhd,rf_adhd_v1_baseline,validation,0.75,grid,0.9507042253521126,0.8385093167701864,0.944,0.8912546583850931,0.8910891089108911,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.05600000000000005,0.16149068322981364
adhd,rf_adhd_v1_baseline,validation,0.775,grid,0.95,0.8260869565217391,0.944,0.8850434782608696,0.8837209302325582,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.05600000000000005,0.17391304347826086
adhd,rf_adhd_v1_baseline,validation,0.7999999999999999,grid,0.948905109489051,0.8074534161490683,0.944,0.8757267080745341,0.87248322147651,0.9558260869565217,0.9638852640957022,0.07995009045777661,0.05600000000000005,0.1925465838509317
