disorder,model_version,split,low_threshold,high_threshold,coverage,uncertain_rate,precision_high,npv_low,recall_effective,specificity_effective,selection_reason,target_high_precision,min_confident_coverage,confident_positive_n,confident_negative_n,uncertain_n
adhd,rf_adhd_v1_baseline,validation,0.4763157894736842,0.954975,0.8321678321678322,0.16783216783216784,0.9819819819819819,0.8740157480314961,0.6770186335403726,0.888,target_precision_with_coverage,0.75,0.1,,,
adhd,rf_adhd_v1_baseline,test,0.4763157894736842,0.954975,0.7832167832167832,0.21678321678321677,0.9578947368421052,0.7984496124031008,0.56875,0.8174603174603174,fixed_thresholds,,,95.0,129.0,62.0
anxiety,rf_anxiety_v1_baseline,validation,0.5,0.95,0.6783216783216783,0.32167832167832167,1.0,0.8780487804878049,0.24,0.8944099378881988,target_precision_with_coverage,0.75,0.1,,,
anxiety,rf_anxiety_v1_baseline,test,0.5,0.95,0.6328671328671329,0.36713286713286714,1.0,0.8641975308641975,0.15079365079365079,0.875,fixed_thresholds,,,19.0,162.0,105.0
depression,rf_depression_v4_precision_thresholded,validation,0.492405,0.9263157894736842,0.8811188811188811,0.11888111888111888,1.0,0.9598393574297188,0.1,0.93359375,target_precision_with_coverage,0.75,0.1,,,
depression,rf_depression_v4_precision_thresholded,test,0.492405,0.9263157894736842,0.8601398601398601,0.13986013986013987,1.0,0.9551020408163265,0.03333333333333333,0.9140625,fixed_thresholds,,,1.0,245.0,40.0
conduct,rf_conduct_v1_baseline,validation,0.5,0.7996172631578947,0.9055944055944056,0.0944055944055944,1.0,0.9672131147540983,0.35714285714285715,0.9672131147540983,target_precision_with_coverage,0.75,0.1,,,
conduct,rf_conduct_v1_baseline,test,0.5,0.7996172631578947,0.9125874125874126,0.08741258741258741,0.8823529411764706,0.9426229508196722,0.35714285714285715,0.9426229508196722,fixed_thresholds,,,17.0,244.0,25.0
elimination,rf_elimination_v1_baseline,validation,0.123896,0.5,0.6608391608391608,0.33916083916083917,,0.9206349206349206,0.0,0.6904761904761905,fallback_max_precision,0.55,0.1,,,
elimination,rf_elimination_v1_baseline,test,0.123896,0.5,0.6818181818181818,0.3181818181818182,,0.9230769230769231,0.0,0.7142857142857143,fixed_thresholds,,,0.0,195.0,91.0
