disorder,n_samples,prevalence_master,prevalence_consensus,prevalence_ksads_d,prevalence_ksads_p,prevalence_ksads_t,inter_source_pairwise_agreement,disagreement_with_master_rate,uncertain_case_rate,high_confidence_positive_rate,strict_positive_rate_votes_ge3,label_noise_risk_index
adhd,1905,0.5611548556430446,0.5401574803149606,0.5406824146981627,0.5417322834645669,0.5391076115485565,0.9770778652668417,0.014698162729658792,0.026246719160104987,0.5349081364829397,0.5349081364829397,0.01931758530183727
anxiety,1905,0.4388451443569554,0.4388451443569554,0.4398950131233596,0.4414698162729659,0.4377952755905512,0.9733158355205599,0.013123359580052493,0.028346456692913385,0.431496062992126,0.43412073490813646,0.01921259842519685
conduct,1905,0.14593175853018373,0.14593175853018373,0.14960629921259844,0.14698162729658792,0.14698162729658792,0.9874890638670166,0.005249343832020997,0.014698162729658792,0.14330708661417324,0.14435695538057744,0.009028871391076117
depression,1905,0.10498687664041995,0.10498687664041995,0.10603674540682415,0.10603674540682415,0.10393700787401575,0.9860017497812774,0.003674540682414698,0.01627296587926509,0.10131233595800525,0.10183727034120735,0.008713910761154856
elimination,1905,0.11758530183727034,0.11758530183727034,0.11338582677165354,0.11601049868766404,0.11128608923884514,0.9808398950131233,0.005774278215223097,0.024671916010498687,0.10761154855643044,0.10866141732283464,0.013333333333333332
