disorder,fraction_train_used,n_train_used,precision_val,balanced_accuracy_val,pr_auc_val,threshold_used
adhd,0.2,266,0.9541984732824428,0.8641987577639751,0.9562987855087449,0.791581
adhd,0.4,533,0.957983193277311,0.8340372670807453,0.9596204720338586,0.8899999999999999
adhd,0.6,799,0.9736842105263158,0.83272049689441,0.9663085444369819,0.906536
adhd,0.8,1066,0.9827586206896551,0.8460372670807453,0.9670468923605432,0.883291
adhd,1.0,1333,0.9823008849557522,0.83672049689441,0.9614816888642517,0.917588
anxiety,0.2,266,0.9550561797752809,0.8275776397515529,0.9302574117501805,0.714676
anxiety,0.4,533,0.9560439560439561,0.8355776397515527,0.934028388361165,0.708192
anxiety,0.6,799,0.9555555555555556,0.8315776397515527,0.9324222711348831,0.736315
anxiety,0.8,1066,0.9540229885057471,0.8195776397515528,0.9345690524404933,0.7499999999999999
anxiety,1.0,1333,0.9560439560439561,0.8355776397515527,0.9305974775562714,0.718899
conduct,0.2,266,0.8,0.8189890710382514,0.8048349289126511,0.8599999999999999
conduct,0.4,533,0.8611111111111112,0.8588017174082748,0.8271787927996274,0.835452
conduct,0.6,799,0.8205128205128205,0.8666081186572989,0.8458362215794161,0.794855
conduct,0.8,1066,0.8205128205128205,0.8666081186572989,0.8405744880998627,0.7899999999999999
conduct,1.0,1333,0.8484848484848485,0.8230874316939891,0.8613102815621073,0.837891
depression,0.2,266,0.4423076923076923,0.8266927083333333,0.47979894526093847,0.400722
depression,0.4,533,0.5263157894736842,0.7981770833333333,0.6188531404600479,0.43335
depression,0.6,799,0.6060606060606061,0.8079427083333333,0.6119999695791148,0.528147
depression,0.8,1066,0.6060606060606061,0.8079427083333333,0.6687403820425375,0.565598
depression,1.0,1333,0.5405405405405406,0.8001302083333333,0.6420300501165539,0.492405
elimination,0.2,266,0.5,0.5127217553688141,0.1457919989951781,0.59
elimination,0.4,533,1.0,0.5294117647058824,0.20384069114206294,0.5599999999999999
elimination,0.6,799,0.16494845360824742,0.5745798319327731,0.16460870262806376,0.27999999999999997
elimination,0.8,1066,0.19047619047619047,0.6003734827264239,0.18836179109793033,0.302168
elimination,1.0,1333,0.2236842105263158,0.6329365079365079,0.19708625814568786,0.33529500122025496
