dataset_name,disorder,n_rows,n_features,positive_count,negative_count,positive_rate,overall_missing_pct,missing_pct_positive,missing_pct_negative,missingness_gap_pos_minus_neg,avg_nonnull_ratio_per_participant,sufficient_coverage_ratio_nonnull_ge_0_60,instrument_availability_mean,instrument_flag_count
dataset_adhd_clinical,adhd,1905,38,1069,836,0.5611548556430446,0.3323387208177926,0.3323814681699571,0.33228405943087375,9.740873908337111e-05,0.6676612791822074,0.8745406824146982,0.5813123359580052,5
dataset_adhd_items,adhd,1905,338,1069,836,0.5611548556430446,0.45777384335833754,0.45745899779144356,0.4581764389456697,-0.0007174411542261172,0.5422261566416625,0.02204724409448819,0.5813123359580052,5
dataset_adhd_minimal,adhd,1905,28,1069,836,0.5611548556430446,0.16736032995875516,0.16647734865695574,0.1684894053315106,-0.0020120566745548685,0.8326396700412452,0.9926509186351706,0.720997375328084,4
dataset_anxiety_combined,anxiety,1905,38,836,1069,0.4388451443569554,0.13760187871252935,0.13532485520020146,0.13938260056127225,-0.004057745361070786,0.8623981212874707,0.7611548556430446,0.8355643044619423,4
dataset_anxiety_items,anxiety,1905,263,836,1069,0.4388451443569554,0.12836541820105188,0.12688067385886076,0.12952654661084773,-0.0026458727519869663,0.871634581798948,0.9506561679790027,0.8355643044619423,4
dataset_anxiety_parent,anxiety,1905,30,836,1069,0.4388451443569554,0.09926509186351708,0.09772727272727272,0.10046772684752107,-0.0027404541202483562,0.9007349081364829,0.9643044619422572,0.8745406824146982,3
dataset_conduct_clinical,conduct,1905,40,278,1627,0.14593175853018373,0.20140419947506563,0.20755395683453237,0.20035341118623234,0.007200545648300027,0.7985958005249343,0.989501312335958,0.7994750656167979,6
dataset_conduct_items,conduct,1905,333,278,1627,0.14593175853018373,0.3745178249115257,0.3812085466761725,0.3733746038601601,0.007833942816012407,0.6254821750884743,0.8640419947506561,0.7994750656167979,6
dataset_conduct_minimal,conduct,1905,26,278,1627,0.14593175853018373,0.03317181506157884,0.03514111787493083,0.0328353269348967,0.002305790940034129,0.9668281849384212,0.9968503937007874,0.9548556430446193,5
dataset_depression_combined,depression,1905,28,200,1705,0.10498687664041995,0.09660667416572928,0.09339285714285714,0.09698366149979053,-0.0035908043569333886,0.9033933258342708,0.9716535433070866,0.7828871391076115,5
dataset_depression_items,depression,1905,264,200,1705,0.10498687664041995,0.14501710013521038,0.14206439393939396,0.14536345863325334,-0.003299064693859377,0.8549828998647896,0.9569553805774278,0.7828871391076115,5
dataset_depression_parent,depression,1905,24,200,1705,0.10498687664041995,0.053740157480314965,0.053541666666666654,0.05376344086021506,-0.00022177419354840744,0.9462598425196851,0.9779527559055118,0.874015748031496,3
dataset_elimination_core,elimination,1905,20,224,1681,0.11758530183727034,0.03,0.03816964285714287,0.028911362284354546,0.009258280572788321,0.97,0.9968503937007874,0.9527559055118111,2
dataset_elimination_items,elimination,1905,165,224,1681,0.11758530183727034,0.037337151037938436,0.046509740259740265,0.03611486669190417,0.010394873567836097,0.9626628489620616,0.9669291338582677,0.9527559055118111,2
