mode,domain,feature_set_id,config_id,calibration,threshold_policy,threshold,precision_boot_mean,precision_boot_ci_low,precision_boot_ci_high,recall_boot_mean,recall_boot_ci_low,recall_boot_ci_high,balanced_accuracy_boot_mean,balanced_accuracy_boot_ci_low,balanced_accuracy_boot_ci_high,pr_auc_boot_mean,pr_auc_boot_ci_low,pr_auc_boot_ci_high,brier_boot_mean,brier_boot_ci_low,brier_boot_ci_high
caregiver_1_3,adhd,engineered_full,rf_regularized,isotonic,default_0_5,0.5,0.6232373442935117,0.5355859154929578,0.7052343750000001,0.8738643270439312,0.7980555555555555,0.9309976152623212,0.8722393777563316,0.8335268381334243,0.9045650891415217,0.6389544535612087,0.5516635405467953,0.7245010473351322,0.08693845309870053,0.07204536098631381,0.10533247551599735
caregiver_1_3,conduct,precision_oriented_subset,rf_baseline,none,recall_constrained,0.59,0.9009765363998951,0.845142621813768,0.9439334239130435,0.8622998558027974,0.8137509567546881,0.9142093842122503,0.9076049367932879,0.8780699765243719,0.9372409996783488,0.9517944994614616,0.9208610641586774,0.9769891521289504,0.05636262425895947,0.044718702391433045,0.06764286235014279
caregiver_1_3,elimination,engineered_compact,rf_pos_weight_mid,none,precision_min_recall,0.7999999999999999,0.943686763634355,0.84375,1.0,0.6183551124031612,0.5113717491075982,0.7565393518518521,0.8069443980152353,0.7528614540857692,0.8758184523809525,0.893571425180278,0.7838464912999273,0.9697035757281096,0.02155266074557364,0.01392426735134181,0.03072195348331422
caregiver_1_3,anxiety,engineered_full,rf_pos_weight_mid,isotonic,recall_constrained,0.31999999999999995,0.8909085113698167,0.8241131881071534,0.9518373275236021,0.8317489155285874,0.7676787504176411,0.8994662921348314,0.9048281327082375,0.8692548733791777,0.9407272322009923,0.9282703704774281,0.8839301179019257,0.9644319277255915,0.03576981197463377,0.02327007505105615,0.04829081272935089
caregiver_1_3,depression,precision_oriented_subset,rf_baseline,none,recall_constrained,0.5299999999999999,0.8053831419401596,0.6991180461329716,0.8840064102564102,0.6618685705619953,0.5576648035508794,0.7654938811188812,0.8146666370280776,0.7620716101920951,0.8662529268610567,0.7717693852068381,0.657420939072423,0.8749559062361604,0.05934937953161252,0.046994714983626555,0.07369758183722132
caregiver_2_3,adhd,engineered_compact,rf_regularized,isotonic,default_0_5,0.5,0.7030455574002709,0.6218750000000001,0.7796006944444445,0.8494270160403856,0.7745766129032258,0.9170680428134557,0.8808989767842225,0.8395779464346607,0.9180607539945284,0.709155961085882,0.6263301550944708,0.7911001302049079,0.07250207516413396,0.05671876689236883,0.09098808528067173
caregiver_2_3,conduct,engineered_compact,rf_baseline,isotonic,recall_constrained,0.5049999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0012506469802109667,0.0003422809029476208,0.002304652522982915
caregiver_2_3,elimination,engineered_compact,rf_recall_guard,isotonic,balanced,0.20499999999999996,0.9214646942736483,0.8431372549019608,0.9821531100478469,0.9640877856617734,0.8976966873706004,1.0,0.9770152113655713,0.9436927536720876,0.9965990076100371,0.9541349410812547,0.8963726309921962,0.9963071469907407,0.010368865953426716,0.00330361437916548,0.018630884580169888
caregiver_2_3,anxiety,compact_subset,rf_pos_weight_mid,isotonic,balanced,0.33499999999999996,0.873851546250957,0.7990833932422717,0.928288407718368,0.8825306244605784,0.8105882352941176,0.941202934662237,0.9274264354414895,0.8909212186866255,0.9557120348311681,0.9526064153870002,0.9187269933400878,0.9779604060587197,0.030585225264565457,0.02030639549228157,0.04240011867738121
caregiver_2_3,depression,full_eligible,rf_precision_push,isotonic,recall_constrained,0.21499999999999997,0.8362833961666126,0.7625,0.9108806818181818,0.8416721159086026,0.7614832746478873,0.9235158862876255,0.9039325616652112,0.863094930596812,0.9434606394411251,0.8476559057040626,0.7727628172743304,0.9177196782397168,0.044677434056510944,0.03144057967718099,0.05883615339497266
caregiver_full,adhd,engineered_compact,rf_balanced_subsample,isotonic,recall_constrained,0.4049999999999999,0.7427532016368472,0.6548468328141225,0.8234557924165647,0.8207842893581114,0.7479297328687573,0.8983305669050051,0.8756091778010133,0.8356562665560334,0.9148126069953699,0.7185482896260693,0.6324700059713884,0.7927375279803652,0.06860602631874912,0.0545098752018801,0.08679552195415736
caregiver_full,conduct,engineered_compact,rf_balanced_subsample,isotonic,precision_min_recall,0.5049999999999999,1.0,1.0,1.0,0.9935884521784413,0.9801862745098039,1.0,0.9967942260892207,0.990093137254902,1.0,1.0,1.0,1.0,0.0013159436762110036,0.00023273270458942254,0.0032191559841031
caregiver_full,elimination,engineered_compact,rf_baseline,isotonic,precision_min_recall,0.5049999999999999,0.9597004733175394,0.902972027972028,1.0,0.9640877856617734,0.8976966873706004,1.0,0.9795606861133855,0.9471298108284409,0.9988452655889146,0.956529870607087,0.9001239565506054,0.9988070434385784,0.008271401388971271,0.0024737159800609183,0.0163879357989341
caregiver_full,anxiety,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.295,0.9181436339419894,0.853788709235407,0.9663068181818182,0.8970722837410599,0.8333238636363637,0.9568337484433375,0.9398475181366363,0.908860955760831,0.9699068042398797,0.9478450796577432,0.9125247448331398,0.9754240517526557,0.026925947752508953,0.016176905334369145,0.04034392991671263
caregiver_full,depression,engineered_pruned,rf_precision_push,isotonic,precision_min_recall,0.5049999999999999,0.8470817246968334,0.7545094936708862,0.9205526315789474,0.8152610621179393,0.7346432605421687,0.8930033450143359,0.8927113152261293,0.8517634688628569,0.9325240919275514,0.8663472171524275,0.7761180388925227,0.9436264860664756,0.0458179468616927,0.032624595799668095,0.06337116899232553
psychologist_1_3,adhd,engineered_compact,rf_balanced_subsample,isotonic,balanced,0.18,0.6174196358409018,0.5420874838590666,0.6918370815158896,0.8825797811598226,0.8176686217008798,0.9453218652601295,0.8745339659715125,0.8391095191312968,0.907200142661032,0.6426526956179961,0.5576370221086346,0.7330965303467257,0.08375062513530473,0.06926108303717143,0.09934961129790486
