input_key,domains_used,type_tags,instrument_or_source,caregiver_direct_yes_no,psychologist_admin_yes_no,must_be_self_report_yes_no,derived_from_items_yes_no,system_filled_yes_no,caregiver_answerable_yes_no,psychologist_answerable_yes_no,presence_flag_yes_no
scared_p_generalized_anxiety,anxiety,derived|caregiver_answerable|psychologist_answerable,SCARED_P,no,no,no,si,no,si,si,no
scared_p_panic_somatic,anxiety,derived|caregiver_answerable|psychologist_answerable,SCARED_P,no,no,no,si,no,si,si,no
scared_p_possible_anxiety_disorder_cut25,anxiety,derived|caregiver_answerable|psychologist_answerable,SCARED_P,no,no,no,si,no,si,si,no
scared_p_school_avoidance,anxiety,derived|caregiver_answerable|psychologist_answerable,SCARED_P,no,no,no,si,no,si,si,no
scared_p_separation_anxiety,anxiety,derived|caregiver_answerable|psychologist_answerable,SCARED_P,no,no,no,si,no,si,si,no
scared_p_social_anxiety,anxiety,derived|caregiver_answerable|psychologist_answerable,SCARED_P,no,no,no,si,no,si,si,no
scared_p_total,anxiety,derived|caregiver_answerable|psychologist_answerable,SCARED_P,no,no,no,si,no,si,si,no
scared_sr_01,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_02,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_03,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_04,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_05,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_06,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_07,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_08,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_09,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_10,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_11,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_12,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_13,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_14,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_15,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_16,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_17,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_18,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_19,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_20,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_21,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_22,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_23,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_24,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_25,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_26,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_27,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_28,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_29,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_30,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_31,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_32,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_33,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_34,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_35,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_36,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_37,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_38,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_39,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_40,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_41,anxiety,direct_question|child_self_report_only|psychologist_answerable,SCARED_SR,no,si,si,no,no,no,si,no
scared_sr_generalized_anxiety,anxiety,derived|child_self_report_only|psychologist_answerable,SCARED_SR,no,no,si,si,no,no,si,no
scared_sr_panic_somatic,anxiety,derived|child_self_report_only|psychologist_answerable,SCARED_SR,no,no,si,si,no,no,si,no
