route,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,imputed_fill_pct,derived_fill_pct
A,0.8911963679555063,0.8769311123658949,0.9232362163622255,0.9000836643640604,0.8810810164293923,0.9632190077007612,0.9658433405418382,0.06628652837491601,0.0,0.0
B,0.8882468503968856,0.8414983687809775,0.9309521548305402,0.8862252618057589,0.8557106425174004,0.9577805735421073,0.9576736629781729,0.07244689814773295,0.22255635766947984,0.0955355346994143
C,0.91538796324887,0.890241075349771,0.9419939459318101,0.9161175106407905,0.90093791002625,0.9757043972792132,0.970637673921918,0.058817170422667084,0.0,0.0
