trial_id,dataset_key,target_variant,feature_space,threshold_strategy,calibration_enabled,clear_cases_only,non_promotable,auxiliary_only,hyperparameters,n_features,threshold,preliminary_decision
V4_T01_current_replay,strict,target_elimination_current_replay,elimination_fs_replay_current_honest,balanced,False,False,False,False,"{""n_estimators"": 220, ""max_depth"": 6, ""min_samples_leaf"": 8, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",320,0.44999999999999996,perfect_score_blocked
V4_T02_target_strict,strict,target_elimination_strict,elimination_fs_dsm_specific,conservative,False,False,False,False,"{""n_estimators"": 240, ""max_depth"": 6, ""min_samples_leaf"": 10, ""min_samples_split"": 24, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",162,,insufficient_class_support
V4_T03_target_high_confidence,strict,target_elimination_high_confidence,elimination_fs_strict_clinical,conservative,True,False,False,False,"{""n_estimators"": 240, ""max_depth"": 6, ""min_samples_leaf"": 10, ""min_samples_split"": 24, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",158,0.9,candidate
V4_T04_clear_cases_only,strict,target_elimination_clear_cases_only,elimination_fs_clear_case_aligned,balanced,True,True,False,False,"{""n_estimators"": 260, ""max_depth"": 5, ""min_samples_leaf"": 12, ""min_samples_split"": 28, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",320,,insufficient_class_support
V4_T05_anti_transdiagnostic,strict,target_elimination_current_replay,elimination_fs_anti_transdiagnostic,precision,False,False,False,False,"{""n_estimators"": 220, ""max_depth"": 5, ""min_samples_leaf"": 12, ""min_samples_split"": 26, ""max_features"": ""log2"", ""class_weight"": ""balanced""}",320,0.65,candidate
V4_T06_low_missingness,strict,target_elimination_current_replay,elimination_fs_low_missingness,balanced,False,False,False,False,"{""n_estimators"": 240, ""max_depth"": 6, ""min_samples_leaf"": 9, ""min_samples_split"": 22, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",320,0.49999999999999994,perfect_score_blocked
V4_T07_subtype_enuresis_aux,strict,target_enuresis,elimination_fs_subtype_specific,balanced,False,False,False,True,"{""n_estimators"": 220, ""max_depth"": 5, ""min_samples_leaf"": 12, ""min_samples_split"": 26, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",7,0.44999999999999996,perfect_score_blocked
V4_T08_subtype_encopresis_aux,strict,target_encopresis,elimination_fs_subtype_specific,balanced,False,False,False,True,"{""n_estimators"": 220, ""max_depth"": 5, ""min_samples_leaf"": 12, ""min_samples_split"": 26, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",7,0.44999999999999996,perfect_score_blocked
V4_T09_research_context_non_promotable,research,target_elimination_current_replay,elimination_fs_replay_current_honest,balanced,False,False,True,False,"{""n_estimators"": 220, ""max_depth"": 6, ""min_samples_leaf"": 8, ""min_samples_split"": 20, ""max_features"": ""sqrt"", ""class_weight"": ""balanced_subsample""}",320,0.49999999999999994,perfect_score_blocked
