mode,domain,selected_operating_mode,probability_score_ready,risk_band_ready,confidence_evidence_ready,uncertainty_abstention_ready,short_explanation_ready,professional_detail_ready,caveat_level,approval_status,precision,recall,specificity,balanced_accuracy,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,output_readiness_score
caregiver,elimination,balanced,yes,yes,yes,yes,yes,yes,high,ready_with_caveat,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9852344424620342,0.03506129166800665,0.3916083916083916,0.06886288998357964,0.9940559440559441,1.0
psychologist,elimination,balanced,yes,yes,yes,yes,yes,yes,high,ready_with_caveat,1.0,0.937888198757764,1.0,0.968944099378882,0.9862807778140408,0.03422938188684162,0.07692307692307693,0.10984848484848483,0.9643356643356643,1.0
