mode,domain,operating_mode,threshold,uncertainty_band,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,objective,source_feature_set,source_family,source_calibration
caregiver,elimination,balanced,0.2,0.08,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9719503105590063,0.9852344424620342,0.03506129166800665,0.3916083916083916,0.06886288998357964,0.9940559440559441,0.9634377482154546,proxy_pruned,lightgbm,isotonic
caregiver,elimination,uncertainty_preferred,0.2,0.14,0.993421052631579,0.937888198757764,0.992,0.964944099378882,0.9648562300319489,0.9719503105590063,0.9852344424620342,0.03506129166800665,0.44405594405594406,0.07245084930421433,0.9940559440559441,0.9634377482154546,proxy_pruned,lightgbm,isotonic
caregiver,elimination,recall_first_screening,0.6400000000000001,0.08,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9719503105590063,0.9852344424620342,0.03506129166800665,0.0034965034965034965,-0.03508771929824561,0.9195068089804932,0.9627652564966472,proxy_pruned,lightgbm,isotonic
caregiver,elimination,conservative_probability,0.6400000000000001,0.06,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9719503105590063,0.9852344424620342,0.03506129166800665,0.0034965034965034965,-0.03508771929824561,0.9195068089804932,0.9627652564966472,proxy_pruned,lightgbm,isotonic
psychologist,elimination,balanced,0.29000000000000004,0.08,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9735900621118012,0.9862807778140408,0.03422938188684162,0.07692307692307693,0.10984848484848483,0.9643356643356643,0.9647129588329245,compact_clinical_engineered,lightgbm,isotonic
psychologist,elimination,recall_first_screening,0.29000000000000004,0.08,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9735900621118012,0.9862807778140408,0.03422938188684162,0.07692307692307693,0.10984848484848483,0.9643356643356643,0.9647129588329245,compact_clinical_engineered,lightgbm,isotonic
psychologist,elimination,uncertainty_preferred,0.29000000000000004,0.14,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9735900621118012,0.9862807778140408,0.03422938188684162,0.08391608391608392,0.0982824427480916,0.9643356643356643,0.9647129588329245,compact_clinical_engineered,lightgbm,isotonic
psychologist,elimination,conservative_probability,0.29000000000000004,0.06,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9735900621118012,0.9862807778140408,0.03422938188684162,0.06993006993006994,0.12368421052631579,0.9643356643356643,0.9647129588329245,compact_clinical_engineered,lightgbm,isotonic
psychologist,elimination,professional_detail_only,0.62,0.16,1.0,0.937888198757764,1.0,0.968944099378882,0.967948717948718,0.9735900621118012,0.9862807778140408,0.03422938188684162,0.0,-0.03496503496503497,0.9195804195804196,0.9629227490427148,compact_clinical_engineered,lightgbm,isotonic
