domain,mode,precision_boot_mean,precision_boot_ci_low,precision_boot_ci_high,recall_boot_mean,recall_boot_ci_low,recall_boot_ci_high,balanced_accuracy_boot_mean,balanced_accuracy_boot_ci_low,balanced_accuracy_boot_ci_high,pr_auc_boot_mean,pr_auc_boot_ci_low,pr_auc_boot_ci_high
conduct,caregiver_2_3,0.9269244953103137,0.8749295112781955,0.9650701647345942,0.8034598513945949,0.7499246987951808,0.8619358375778154,0.8859961026106447,0.854193257149041,0.915916305916306,0.9465623965875736,0.9080353242285253,0.9726751608359722
conduct,caregiver_full,0.8052959929129117,0.7499658469945355,0.8514497041420117,0.9175544227702923,0.8647400585298675,0.9636461739699149,0.903538266700594,0.8724208009324813,0.9297806827373194,0.9488787055263117,0.9180013011340609,0.9697933520514133
conduct,psychologist_2_3,0.881492951078094,0.8195004019482669,0.9251827082184225,0.8605797467447595,0.8012820512820513,0.9150356506238859,0.9014722822571534,0.871966634458007,0.9322323663471846,0.9307589626943847,0.8840174890313012,0.9607978745451367
conduct,psychologist_full,0.8414660403519166,0.7819072511616532,0.8869390256902249,0.9111678641832893,0.858062591034148,0.9593048010571134,0.9128259536047799,0.8802127450438869,0.9420309589979554,0.9401525216196391,0.901053707735297,0.9644360279545219
