domain,mode,source_campaign,model_family,feature_set_id,quality_label,final_class
adhd,caregiver_1_3,rebuild_v2,rf,engineered_full,malo,HOLD_FOR_LIMITATION
adhd,caregiver_2_3,rebuild_v2,rf,engineered_compact,malo,HOLD_FOR_LIMITATION
adhd,caregiver_full,rebuild_v2,rf,engineered_compact,malo,HOLD_FOR_LIMITATION
adhd,psychologist_1_3,rebuild_v2,rf,engineered_compact,malo,HOLD_FOR_LIMITATION
adhd,psychologist_2_3,rebuild_v2,rf,engineered_pruned,malo,HOLD_FOR_LIMITATION
adhd,psychologist_full,rebuild_v2,rf,engineered_full,muy_bueno,ROBUST_PRIMARY
anxiety,caregiver_1_3,rebuild_v2,rf,engineered_full,muy_bueno,ROBUST_PRIMARY
anxiety,caregiver_2_3,rebuild_v2,rf,compact_subset,bueno,ROBUST_PRIMARY
anxiety,caregiver_full,rebuild_v2,rf,precision_oriented_subset,muy_bueno,ROBUST_PRIMARY
anxiety,psychologist_1_3,rebuild_v2,rf,engineered_full,aceptable,PRIMARY_WITH_CAVEAT
anxiety,psychologist_2_3,rebuild_v2,rf,precision_oriented_subset,muy_bueno,ROBUST_PRIMARY
anxiety,psychologist_full,rebuild_v2,rf,precision_oriented_subset,muy_bueno,ROBUST_PRIMARY
conduct,caregiver_1_3,rebuild_v2,rf,precision_oriented_subset,bueno,ROBUST_PRIMARY
conduct,caregiver_2_3,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,bueno,ROBUST_PRIMARY
conduct,caregiver_full,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,aceptable,PRIMARY_WITH_CAVEAT
conduct,psychologist_1_3,rebuild_v2,rf,compact_subset,aceptable,PRIMARY_WITH_CAVEAT
conduct,psychologist_2_3,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,bueno,ROBUST_PRIMARY
conduct,psychologist_full,conduct_honest_retrain_v1,rf,engineered_compact_no_shortcuts_v1,aceptable,PRIMARY_WITH_CAVEAT
depression,caregiver_1_3,rebuild_v2,rf,precision_oriented_subset,malo,HOLD_FOR_LIMITATION
depression,caregiver_2_3,rebuild_v2,rf,full_eligible,malo,HOLD_FOR_LIMITATION
depression,caregiver_full,boosted_v3,catboost,full_eligible,bueno,ROBUST_PRIMARY
depression,psychologist_1_3,rebuild_v2,rf,stability_pruned_subset,malo,HOLD_FOR_LIMITATION
depression,psychologist_2_3,rebuild_v2,rf,full_eligible,malo,HOLD_FOR_LIMITATION
depression,psychologist_full,boosted_v3,hgb,full_eligible,bueno,ROBUST_PRIMARY
elimination,caregiver_1_3,boosted_v3,extra_trees,boosted_eng_full,bueno,ROBUST_PRIMARY
elimination,caregiver_2_3,rebuild_v2,rf,engineered_compact,muy_bueno,ROBUST_PRIMARY
elimination,caregiver_full,rebuild_v2,rf,engineered_compact,muy_bueno,ROBUST_PRIMARY
elimination,psychologist_1_3,boosted_v3,extra_trees,boosted_eng_full,muy_bueno,ROBUST_PRIMARY
elimination,psychologist_2_3,rebuild_v2,rf,engineered_pruned,muy_bueno,ROBUST_PRIMARY
elimination,psychologist_full,rebuild_v2,rf,engineered_compact,muy_bueno,ROBUST_PRIMARY
