domain,mode,active_model_id,promotion_decision,feature_set_id_new,delta_precision,delta_recall,delta_balanced_accuracy,delta_pr_auc,delta_brier
conduct,caregiver_2_3,conduct__caregiver_2_3__rebuild_v2__rf__engineered_compact,PROMOTE_NOW,engineered_compact_no_shortcuts_v1,-0.07194244604316546,-0.19374999999999998,-0.11250000000000004,-0.05234701125882868,0.058538968144689084
conduct,caregiver_full,conduct__caregiver_full__rebuild_v2__rf__engineered_compact,PROMOTE_NOW,engineered_compact_no_shortcuts_v1,-0.1923076923076923,-0.07500000000000007,-0.09218749999999998,-0.05004053609314241,0.06095914016324025
conduct,psychologist_2_3,conduct__psychologist_2_3__rebuild_v2__rf__engineered_compact,PROMOTE_NOW,engineered_compact_no_shortcuts_v1,-0.11538461538461542,-0.13749999999999996,-0.09687500000000004,-0.0675556161741876,0.05872028753666377
conduct,psychologist_full,conduct__psychologist_full__rebuild_v2__rf__engineered_compact,PROMOTE_NOW,engineered_compact_no_shortcuts_v1,-0.1560693641618497,-0.08125000000000004,-0.08281249999999996,-0.05867058430822736,0.05894853215649442
