domain,mode,threshold_policy,threshold,val_balanced_accuracy,val_pr_auc
adhd,caregiver_1_3,default_0_5,0.5,0.7496226634157668,0.7159084890922698
adhd,caregiver_1_3,balanced,0.24999999999999994,0.9063044235458029,0.7159084890922698
adhd,caregiver_1_3,default_0_5,0.5,0.7496226634157668,0.7271559205638677
adhd,caregiver_1_3,balanced,0.19999999999999996,0.9050272843376292,0.7271559205638677
adhd,caregiver_1_3,default_0_5,0.5,0.8393126668988737,0.6909042047596206
adhd,caregiver_1_3,balanced,0.13,0.894519911761291,0.6909042047596206
adhd,caregiver_1_3,default_0_5,0.5,0.8856960408684547,0.7245390869614742
adhd,caregiver_1_3,balanced,0.4699999999999999,0.8921397886915128,0.7245390869614742
adhd,caregiver_1_3,default_0_5,0.5,0.8670614187855568,0.7024872124102917
adhd,caregiver_1_3,default_0_5,0.5,0.845756414721932,0.6981636316813056
adhd,caregiver_1_3,default_0_5,0.5,0.8758852896783931,0.6994909561651504
adhd,caregiver_1_3,default_0_5,0.5,0.7665737838151632,0.724647445122458
adhd,caregiver_1_3,balanced,0.22999999999999998,0.911761291071636,0.724647445122458
adhd,caregiver_1_3,default_0_5,0.5,0.7848020434227331,0.6992043212112252
adhd,caregiver_1_3,balanced,0.19999999999999996,0.9067107860211309,0.6992043212112252
adhd,caregiver_1_3,default_0_5,0.5,0.8400092882851504,0.695106696575974
adhd,caregiver_1_3,balanced,0.07,0.9033437826541275,0.695106696575974
adhd,caregiver_1_3,default_0_5,0.5,0.8600371531406015,0.6983993301844182
adhd,caregiver_1_3,balanced,0.3499999999999999,0.8810518982932776,0.6983993301844182
adhd,caregiver_1_3,default_0_5,0.5,0.7665737838151632,0.7233806983726649
adhd,caregiver_1_3,balanced,0.09999999999999999,0.9100777893881342,0.7233806983726649
adhd,caregiver_2_3,default_0_5,0.5,0.7891559270869616,0.7557244315059306
adhd,caregiver_2_3,balanced,0.22999999999999998,0.9278996865203761,0.7557244315059306
adhd,caregiver_2_3,default_0_5,0.5,0.8104609311505864,0.7512637464371436
adhd,caregiver_2_3,balanced,0.24,0.9370138163241611,0.7512637464371436
adhd,caregiver_2_3,default_0_5,0.5,0.8970741901776385,0.7147262732229372
adhd,caregiver_2_3,balanced,0.07,0.9302798095901544,0.7147262732229372
adhd,caregiver_2_3,default_0_5,0.5,0.8960873098804134,0.7299311389986085
adhd,caregiver_2_3,balanced,0.4599999999999999,0.9042145593869731,0.7299311389986085
adhd,caregiver_2_3,default_0_5,0.5,0.8466271914547776,0.773432908880286
adhd,caregiver_2_3,balanced,0.24999999999999994,0.9403808196911645,0.773432908880286
adhd,caregiver_2_3,default_0_5,0.5,0.8351329385812145,0.7663784978459506
adhd,caregiver_2_3,balanced,0.24,0.9370138163241611,0.7663784978459506
adhd,caregiver_2_3,default_0_5,0.5,0.8815163125507952,0.7201055181990688
adhd,caregiver_2_3,balanced,0.08,0.9427609427609427,0.7201055181990688
adhd,caregiver_2_3,default_0_5,0.5,0.8862765586903518,0.7219047518494115
adhd,caregiver_2_3,balanced,0.22999999999999998,0.8935330314640659,0.7219047518494115
adhd,caregiver_2_3,default_0_5,0.5,0.888250319284802,0.728277061439764
adhd,caregiver_2_3,balanced,0.14999999999999997,0.9410774410774411,0.728277061439764
adhd,psychologist_1_3,default_0_5,0.5,0.7496226634157668,0.692178341895236
adhd,psychologist_1_3,balanced,0.19,0.9074074074074074,0.692178341895236
adhd,psychologist_1_3,default_0_5,0.5,0.7398119122257054,0.707604234585022
adhd,psychologist_1_3,balanced,0.16999999999999998,0.8973063973063973,0.707604234585022
adhd,psychologist_1_3,default_0_5,0.5,0.8065134099616857,0.6815218953988997
adhd,psychologist_1_3,balanced,0.05,0.8901660280970626,0.6815218953988997
adhd,psychologist_1_3,default_0_5,0.5,0.8782654127481714,0.6998283141613094
adhd,psychologist_1_3,balanced,0.3499999999999999,0.889469406710786,0.6998283141613094
adhd,psychologist_1_3,default_0_5,0.5,0.8572506675954952,0.7164920856109125
adhd,psychologist_1_3,default_0_5,0.5,0.8146406594682456,0.6811745745095544
adhd,psychologist_1_3,default_0_5,0.5,0.8613142923487751,0.6985363087794285
adhd,psychologist_1_3,default_0_5,0.5,0.7625101590618832,0.7143872982330071
adhd,psychologist_1_3,balanced,0.26999999999999996,0.9137350516660862,0.7143872982330071
adhd,psychologist_1_3,default_0_5,0.5,0.7584465343086033,0.6920610501064356
adhd,psychologist_1_3,balanced,0.15999999999999998,0.9057239057239057,0.6920610501064356
adhd,psychologist_1_3,default_0_5,0.5,0.8285150354115871,0.6626058741945305
adhd,psychologist_1_3,balanced,0.09999999999999999,0.9009636595843493,0.6626058741945305
adhd,psychologist_1_3,default_0_5,0.5,0.8691512829443864,0.6818103989195863
adhd,psychologist_1_3,balanced,0.35999999999999993,0.8820387785905027,0.6818103989195863
