domain,mode,bootstrap_rounds_effective,bootstrap_f1_mean,bootstrap_f1_std,bootstrap_recall_mean,bootstrap_recall_std,bootstrap_precision_mean,bootstrap_precision_std,bootstrap_balanced_accuracy_mean,bootstrap_balanced_accuracy_std,bootstrap_brier_mean,bootstrap_brier_std
adhd,psychologist_1_3,80,0.7616109579014617,0.031819375383307646,0.9106442130554839,0.030480930809672045,0.6556248093063941,0.04097023341090515,0.898996711515004,0.016868425895251875,0.08772374036137165,0.008796632443188125
anxiety,psychologist_1_3,80,0.8308410341907695,0.029779181674370086,0.9118662205419937,0.030908419229901705,0.7645092166025187,0.04360624910839049,0.9248661158308806,0.016186414396799388,0.05854952968223124,0.006962530927633548
depression,caregiver_full,80,0.8339846814322603,0.03357461434085512,0.880483195661079,0.038550731604917406,0.7941221479717354,0.048768882474011004,0.9170398669430597,0.02003214432868718,0.07964909176566337,0.0047496748232022
depression,psychologist_1_3,80,0.8470684691954267,0.026682155814331834,0.8378125389581328,0.0357402705260434,0.8580511531439212,0.03757390603455785,0.9043820016147308,0.017996927992702503,0.06601118914519875,0.007287435682666799
elimination,caregiver_2_3,80,0.8373083171431537,0.040376157725161343,0.8767881789545907,0.04454483858974251,0.8037158253255152,0.057146069803602574,0.9252707823950841,0.02281833368231197,0.041892119925590034,0.004082964458625936
elimination,psychologist_1_3,80,0.841205458740102,0.03108059438500984,0.8900945525480779,0.03427638581935384,0.7992522562098081,0.04759828043069062,0.9317886105149551,0.01694564660894298,0.041339067236336687,0.002850928794090142
elimination,psychologist_2_3,80,0.8371185376954859,0.04629702058414198,0.8739281105053355,0.04755570505441638,0.8057675776665911,0.06294260776242613,0.9245345221241866,0.024690111278855446,0.041549721329906204,0.003704682768366625
elimination,psychologist_full,80,0.8546727206642529,0.03655934947660722,0.9612020139079839,0.0275555373687623,0.7712432035007175,0.05418915864427369,0.9632900844741072,0.014820806718010598,0.04566992276038604,0.008465276705435976
