mode,domain,profile_name,config_id,seed,n_features,calibration,threshold_policy,threshold,val_objective,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,missingness_sensitivity,partial_questionnaire_sensitivity,uncertainty_rate,high_conf_precision,high_conf_coverage,input_missing_ratio
psychologist,adhd,base,rf_base,11,35,isotonic,precision_guarded,0.67,0.920790433113594,0.9558823529411765,0.8074534161490683,0.952,0.8797267080745341,0.8754208754208754,0.9537639751552796,0.9569257032468018,0.0818952948133382,0.017316770186335262,0.007999999999999952,0.038461538461538464,0.9618320610687023,0.9545454545454546,0.36333666333666326
psychologist,adhd,base,rf_base,29,35,isotonic,precision_guarded,0.67,0.9245265576038996,0.9432624113475178,0.8260869565217391,0.936,0.8810434782608696,0.8807947019867549,0.9544844720496894,0.9570286220458353,0.08282053777332074,-0.0048944099378881445,0.013975155279503104,0.013986013986013986,0.948905109489051,0.9790209790209791,0.36333666333666326
psychologist,adhd,base,rf_base,47,35,isotonic,precision_guarded,0.41000000000000003,0.9283489284908635,0.9375,0.8385093167701864,0.928,0.8832546583850932,0.8852459016393442,0.952944099378882,0.9552555680580572,0.08476132493877177,0.0014161490683229916,0.0051801242236025336,0.12237762237762238,0.9375,0.8461538461538461,0.36333666333666326
psychologist,adhd,base,rf_base,83,35,isotonic,precision_guarded,0.63,0.9224081357145147,0.9440559440559441,0.8385093167701864,0.936,0.8872546583850932,0.8881578947368421,0.9520745341614907,0.9552041090033995,0.08601894395856799,0.01110559006211187,0.018211180124223625,0.013986013986013986,0.9618320610687023,0.9405594405594405,0.36333666333666326
psychologist,adhd,base,rf_hardened,11,35,isotonic,precision_guarded,0.42000000000000004,0.9298570609689507,0.95,0.8260869565217391,0.944,0.8850434782608696,0.8837209302325582,0.9529937888198757,0.9508601430482739,0.08214081938102503,0.012944099378882079,0.008074534161490732,0.16083916083916083,0.95,0.8391608391608392,0.36333666333666326
psychologist,adhd,base,rf_hardened,29,35,isotonic,precision_guarded,0.605,0.924403363455424,0.95,0.8260869565217391,0.944,0.8850434782608696,0.8837209302325582,0.9554285714285715,0.9590880785035503,0.08079369422739607,-0.0035279503105589693,0.012447204968944137,0.013986013986013986,0.9496402877697842,0.9755244755244755,0.36333666333666326
psychologist,adhd,base,rf_hardened,47,35,isotonic,precision_guarded,0.505,0.922483768384823,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9534658385093168,0.9556221351481284,0.08370689143007821,-0.00573913043478258,0.0033664596273292324,0.038461538461538464,0.9375,0.8741258741258742,0.36333666333666326
psychologist,adhd,base,rf_hardened,83,35,isotonic,precision_guarded,0.67,0.9227219849361654,0.9492753623188406,0.8136645962732919,0.944,0.8788322981366459,0.8762541806020067,0.9558509316770186,0.9596427631889672,0.08271589265507677,0.009316770186335366,0.01376397515527944,0.027972027972027972,0.948905109489051,0.9685314685314685,0.36333666333666326
psychologist,adhd,base,rf_precision,11,35,isotonic,precision_guarded,0.67,0.9203195236416051,0.9558823529411765,0.8074534161490683,0.952,0.8797267080745341,0.8754208754208754,0.9490186335403726,0.9554567037826205,0.08672573782722262,0.018211180124223514,0.008236024844720413,0.024475524475524476,0.9672131147540983,0.9265734265734266,0.36333666333666326
psychologist,adhd,base,rf_precision,29,35,isotonic,precision_guarded,0.505,0.9180094953431163,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9491180124223602,0.9546180285487247,0.08741890655334947,-0.005267080745341546,-0.0006086956521739184,0.14685314685314685,0.9310344827586207,0.8531468531468531,0.36333666333666326
psychologist,adhd,base,rf_precision,47,35,isotonic,precision_guarded,0.56,0.920193018003278,0.9568345323741008,0.8260869565217391,0.952,0.8890434782608696,0.8866666666666667,0.9500372670807453,0.9564690805035929,0.08584001445330125,0.007155279503105572,0.012496894409937898,0.03146853146853147,0.9562043795620438,0.9615384615384616,0.36333666333666326
psychologist,adhd,base,rf_precision,83,35,isotonic,precision_guarded,0.56,0.9203506194496246,0.95,0.8260869565217391,0.944,0.8850434782608696,0.8837209302325582,0.9486211180124223,0.9551947020557967,0.08454670647193853,0.015155279503105579,0.010496894409937896,0.027972027972027972,0.9568345323741008,0.8391608391608392,0.36333666333666326
psychologist,adhd,base,rf_recall,11,35,isotonic,precision_guarded,0.63,0.9244748438605929,0.9558823529411765,0.8074534161490683,0.952,0.8797267080745341,0.8754208754208754,0.9502360248447206,0.9517827079303633,0.08250209836581023,0.010683229813664541,0.0038136645962732474,0.03496503496503497,0.9558823529411765,0.965034965034965,0.36333666333666326
psychologist,adhd,base,rf_recall,29,35,isotonic,precision_guarded,0.63,0.9266622901675304,0.9492753623188406,0.8136645962732919,0.944,0.8788322981366459,0.8762541806020067,0.954807453416149,0.95838068191973,0.08198497928664199,0.0035776397515526748,0.0060248447204968025,0.03146853146853147,0.9558823529411765,0.965034965034965,0.36333666333666326
psychologist,adhd,base,rf_recall,47,35,isotonic,precision_guarded,0.45000000000000007,0.9263497200770378,0.9375,0.8385093167701864,0.928,0.8832546583850932,0.8852459016393442,0.9531428571428572,0.9541039251412651,0.08235141425103655,-0.0056894409937887636,0.0031801242236025873,0.13636363636363635,0.9375,0.8636363636363636,0.36333666333666326
psychologist,adhd,base,rf_recall,83,35,isotonic,precision_guarded,0.67,0.9265900638096921,0.9558823529411765,0.8074534161490683,0.952,0.8797267080745341,0.8754208754208754,0.950608695652174,0.9530959972816487,0.08719662048242663,0.020000000000000018,0.008472049689440986,0.05244755244755245,0.9618320610687023,0.9475524475524476,0.36333666333666326
psychologist,adhd,base,rf_stability,11,35,isotonic,precision_guarded,0.63,0.9244082620385513,0.9562043795620438,0.8136645962732919,0.952,0.8828322981366459,0.8791946308724832,0.950857142857143,0.9544916888000934,0.0824855063534273,0.015105590062111762,0.009341614906832163,0.03146853146853147,0.9626865671641791,0.965034965034965,0.36333666333666326
psychologist,adhd,base,rf_stability,29,35,isotonic,precision_guarded,0.505,0.924486206757685,0.9375,0.8385093167701864,0.928,0.8832546583850932,0.8852459016393442,0.9525962732919253,0.9565155868734077,0.08208627925515125,-0.0008447204968943245,0.006472049689440984,0.1258741258741259,0.9375,0.8706293706293706,0.36333666333666326
psychologist,adhd,base,rf_stability,47,35,isotonic,precision_guarded,0.67,0.9247814868838399,0.950354609929078,0.8322981366459627,0.944,0.8881490683229813,0.8874172185430463,0.9551055900621118,0.9590547137226975,0.08316717728103078,0.012422360248447228,0.019527950310558984,0.03146853146853147,0.9615384615384616,0.9475524475524476,0.36333666333666326
psychologist,adhd,base,rf_stability,83,35,isotonic,precision_guarded,0.505,0.9243319315963345,0.9375,0.8385093167701864,0.928,0.8832546583850932,0.8852459016393442,0.9525465838509317,0.9560089052105547,0.08357343296784243,0.015577639751552907,0.0064720496894410395,0.038461538461538464,0.9375,0.8706293706293706,0.36333666333666326
psychologist,adhd,hardened_missing,rf_base,11,23,isotonic,precision_guarded,0.605,0.9224325181569578,0.9496402877697842,0.8198757763975155,0.944,0.8819378881987577,0.88,0.9516521739130435,0.9562882432130714,0.08402775866676811,0.008894409937888148,0.009341614906832274,0.024475524475524476,0.9496402877697842,0.9755244755244755,0.04393432654302219
psychologist,adhd,hardened_missing,rf_base,29,23,isotonic,precision_guarded,0.505,0.9286303572404704,0.9310344827586207,0.8385093167701864,0.92,0.8792546583850932,0.8823529411764706,0.9540372670807454,0.9579412039643158,0.0831462029790484,0.004472049689441038,0.0002608695652174253,0.10839160839160839,0.9310344827586207,0.8916083916083916,0.04393432654302219
psychologist,adhd,hardened_missing,rf_base,47,23,isotonic,precision_guarded,0.67,0.9231804185786501,0.9548872180451128,0.7888198757763976,0.952,0.8704099378881988,0.8639455782312925,0.9509565217391305,0.956677849041039,0.0846408713720324,-0.005316770186335362,0.0026832298136645893,0.027972027972027972,0.9548872180451128,0.972027972027972,0.04393432654302219
psychologist,adhd,hardened_missing,rf_base,83,23,isotonic,precision_guarded,0.64,0.9225748335566123,0.9496402877697842,0.8198757763975155,0.944,0.8819378881987577,0.88,0.9505341614906833,0.9568727413136169,0.08535500847220102,0.014211180124223621,0.006894409937888146,0.027972027972027972,0.9496402877697842,0.9685314685314685,0.04393432654302219
psychologist,adhd,hardened_missing,rf_hardened,11,23,isotonic,precision_guarded,0.41000000000000003,0.9242771266800498,0.9375,0.8385093167701864,0.928,0.8832546583850932,0.8852459016393442,0.9559751552795032,0.959454218080062,0.08315288103502412,-0.0074782608695651565,-0.0003726708074533458,0.14335664335664336,0.9375,0.8531468531468531,0.04393432654302219
psychologist,adhd,hardened_missing,rf_hardened,29,23,isotonic,precision_guarded,0.63,0.9266192601488898,0.9555555555555556,0.8012422360248447,0.952,0.8766211180124224,0.8716216216216216,0.954857142857143,0.9593574029750185,0.08230194138979056,0.0097888198757764,-0.00042236024844721776,0.03146853146853147,0.9555555555555556,0.9685314685314685,0.04393432654302219
psychologist,adhd,hardened_missing,rf_hardened,47,23,isotonic,precision_guarded,0.505,0.9225977289524863,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9518260869565218,0.9587390235072724,0.08194033804093069,0.0004720496894410342,0.003366459627329177,0.11538461538461539,0.9370629370629371,0.8706293706293706,0.04393432654302219
psychologist,adhd,hardened_missing,rf_hardened,83,23,isotonic,precision_guarded,0.67,0.9229647192191718,0.9552238805970149,0.7950310559006211,0.952,0.8735155279503105,0.8677966101694915,0.9556770186335404,0.960879572222897,0.08272294918396801,0.007105590062111755,0.008447204968944078,0.04195804195804196,0.9548872180451128,0.958041958041958,0.04393432654302219
psychologist,adhd,hardened_missing,rf_precision,11,23,isotonic,precision_guarded,0.67,0.916473022133672,0.9626865671641791,0.8012422360248447,0.96,0.8806211180124224,0.8745762711864407,0.9486708074534163,0.9553450215187558,0.08569946680257044,0.0097888198757764,0.011130434782608667,0.027972027972027972,0.9752066115702479,0.9300699300699301,0.04393432654302219
