mode,domain,feature_set_id,config_id,seed,calibration_method,val_brier,val_ece
caregiver_1_3,depression,compact_subset,rf_recall_guard,20261101,none,0.05444576890812804,0.03975063909797012
caregiver_1_3,depression,compact_subset,rf_recall_guard,20261101,sigmoid,0.055594567633226816,0.04866727699561723
caregiver_1_3,depression,compact_subset,rf_recall_guard,20261101,isotonic,0.04821806988061397,7.187500000124932e-07
caregiver_1_3,depression,compact_subset,rf_recall_guard,20261119,none,0.05633279868552131,0.02582926062304648
caregiver_1_3,depression,compact_subset,rf_recall_guard,20261119,sigmoid,0.05824804867791582,0.05216624920789001
caregiver_1_3,depression,compact_subset,rf_recall_guard,20261119,isotonic,0.049549462883519135,7.22916666697351e-07
caregiver_1_3,depression,precision_oriented_subset,rf_baseline,20261101,none,0.054417788856057095,0.03174508975769602
caregiver_1_3,depression,precision_oriented_subset,rf_baseline,20261101,sigmoid,0.05590496675427724,0.05040480296408344
caregiver_1_3,depression,precision_oriented_subset,rf_baseline,20261101,isotonic,0.04954913720609972,7.125000000179459e-07
caregiver_1_3,depression,precision_oriented_subset,rf_baseline,20261119,none,0.05490621403750558,0.023698150465969216
caregiver_1_3,depression,precision_oriented_subset,rf_baseline,20261119,sigmoid,0.05655722874077534,0.04589444584103224
caregiver_1_3,depression,precision_oriented_subset,rf_baseline,20261119,isotonic,0.04957765410225171,7.062500000200195e-07
caregiver_2_3,adhd,engineered_full,rf_pos_weight_mid,20261101,none,0.05044767657647838,0.03692432968794974
caregiver_2_3,adhd,engineered_full,rf_pos_weight_mid,20261101,sigmoid,0.052647371372329145,0.05155268730901901
caregiver_2_3,adhd,engineered_full,rf_pos_weight_mid,20261101,isotonic,0.04511170066386501,6.937500000815093e-07
caregiver_2_3,adhd,engineered_full,rf_pos_weight_mid,20261119,none,0.051284750046885756,0.033210458189413386
caregiver_2_3,adhd,engineered_full,rf_pos_weight_mid,20261119,sigmoid,0.053698640756234144,0.05134038830608903
