mode,domain,stress_type,scenario,precision,recall,balanced_accuracy,pr_auc,brier,delta_balanced_accuracy_vs_winner,delta_precision_vs_winner,delta_recall_vs_winner
caregiver_1_3,adhd,missingness,missingness_0.10,0.6111111111111112,0.9361702127659575,0.8955462462793518,0.6145701272794406,0.08374483951825838,-0.02530040789328636,-0.008888888888888835,-0.05319148936170215
caregiver_1_3,adhd,missingness,missingness_0.20,0.6363636363636364,0.8936170212765957,0.884632344835189,0.633988893096444,0.08504295928429566,-0.03621430933744907,0.016363636363636358,-0.09574468085106391
caregiver_1_3,adhd,missingness,missingness_0.30,0.6551724137931034,0.8085106382978723,0.8524418476463455,0.5848873293104585,0.09533955208921832,-0.06840480652629266,0.03517241379310343,-0.18085106382978733
caregiver_1_3,adhd,threshold_sensitivity,threshold_shift_+0.05,0.62,0.9893617021276596,0.9208466541726381,0.6398511884834684,0.07899766290332201,0.0,0.0,0.0
caregiver_1_3,adhd,threshold_sensitivity,threshold_shift_+0.10,0.6174496644295302,0.9787234042553191,0.9155275052364679,0.6398511884834684,0.07899766290332201,-0.005319148936170248,-0.002550335570469797,-0.010638297872340496
caregiver_1_3,adhd,threshold_sensitivity,threshold_shift_-0.05,0.62,0.9893617021276596,0.9208466541726381,0.6398511884834684,0.07899766290332201,0.0,0.0,0.0
caregiver_1_3,adhd,threshold_sensitivity,threshold_shift_-0.10,0.62,0.9893617021276596,0.9208466541726381,0.6398511884834684,0.07899766290332201,0.0,0.0,0.0
caregiver_1_3,anxiety,missingness,missingness_0.10,0.9285714285714286,0.45348837209302323,0.7229370794475268,0.7720254631046201,0.06960625456872432,-0.08340219572659657,0.02857142857142858,-0.17441860465116282
caregiver_1_3,anxiety,missingness,missingness_0.20,0.9166666666666666,0.2558139534883721,0.6253689056781961,0.7658604296707247,0.08065265244322001,-0.18097036949592726,0.016666666666666607,-0.37209302325581395
caregiver_1_3,anxiety,missingness,missingness_0.30,1.0,0.1744186046511628,0.5872093023255814,0.6909244060661602,0.09927512381416219,-0.21912997284854197,0.09999999999999998,-0.4534883720930233
caregiver_1_3,anxiety,threshold_sensitivity,threshold_shift_+0.05,0.9,0.627906976744186,0.8063392751741234,0.8030651886480569,0.05989193128469486,0.0,0.0,0.0
caregiver_1_3,anxiety,threshold_sensitivity,threshold_shift_+0.10,0.9,0.627906976744186,0.8063392751741234,0.8030651886480569,0.05989193128469486,0.0,0.0,0.0
caregiver_1_3,anxiety,threshold_sensitivity,threshold_shift_-0.05,0.84,0.7325581395348837,0.8510506433715028,0.8030651886480569,0.05989193128469486,0.04471136819737942,-0.06000000000000005,0.10465116279069764
caregiver_1_3,anxiety,threshold_sensitivity,threshold_shift_-0.10,0.84,0.7325581395348837,0.8510506433715028,0.8030651886480569,0.05989193128469486,0.04471136819737942,-0.06000000000000005,0.10465116279069764
caregiver_1_3,conduct,missingness,missingness_0.10,0.9038461538461539,0.88125,0.9171875,0.9353141464137007,0.0625540636105556,-0.006249999999999978,0.019699812382739212,-0.025000000000000022
caregiver_1_3,conduct,missingness,missingness_0.20,0.9041095890410958,0.825,0.890625,0.9115151084791343,0.07411507362618884,-0.03281250000000002,0.019963247577681198,-0.08125000000000004
caregiver_1_3,conduct,missingness,missingness_0.30,0.9291338582677166,0.7375,0.8546875,0.9197061546802818,0.08994124916472375,-0.06874999999999998,0.04498751680430191,-0.16874999999999996
caregiver_1_3,conduct,threshold_sensitivity,threshold_shift_+0.05,0.9285714285714286,0.8125,0.890625,0.9328964221876327,0.05624548363278493,-0.03281250000000002,0.04442508710801396,-0.09375
caregiver_1_3,conduct,threshold_sensitivity,threshold_shift_+0.10,0.9285714285714286,0.8125,0.890625,0.9328964221876327,0.05624548363278493,-0.03281250000000002,0.04442508710801396,-0.09375
caregiver_1_3,conduct,threshold_sensitivity,threshold_shift_-0.05,0.8388888888888889,0.94375,0.9265625,0.9328964221876327,0.05624548363278493,0.0031249999999999334,-0.045257452574525736,0.03749999999999998
caregiver_1_3,conduct,threshold_sensitivity,threshold_shift_-0.10,0.8388888888888889,0.94375,0.9265625,0.9328964221876327,0.05624548363278493,0.0031249999999999334,-0.045257452574525736,0.03749999999999998
caregiver_1_3,depression,missingness,missingness_0.10,0.8243243243243243,0.7439024390243902,0.8556195612207378,0.7788002349468306,0.06250806825886533,-0.03747395514156149,0.06608256608256613,-0.09756097560975607
caregiver_1_3,depression,missingness,missingness_0.20,0.7903225806451613,0.5975609756097561,0.7824488295134208,0.7459691661874008,0.07705890682883372,-0.11064468684887852,0.03208082240340304,-0.24390243902439024
caregiver_1_3,depression,missingness,missingness_0.30,0.8846153846153846,0.5609756097560976,0.7729501164358378,0.7899539689466804,0.07983114699644052,-0.1201433999264615,0.12637362637362637,-0.2804878048780487
caregiver_1_3,depression,threshold_sensitivity,threshold_shift_+0.05,0.7582417582417582,0.8414634146341463,0.8930935163622993,0.7971897068859114,0.05514899926985655,0.0,0.0,0.0
caregiver_1_3,depression,threshold_sensitivity,threshold_shift_+0.10,0.7582417582417582,0.8414634146341463,0.8930935163622993,0.7971897068859114,0.05514899926985655,0.0,0.0,0.0
caregiver_1_3,depression,threshold_sensitivity,threshold_shift_-0.05,0.75,0.8414634146341463,0.8918372349552641,0.7971897068859114,0.05514899926985655,-0.0012562814070351536,-0.008241758241758212,0.0
caregiver_1_3,depression,threshold_sensitivity,threshold_shift_-0.10,0.6952380952380952,0.8902439024390244,0.9049209461943866,0.7971897068859114,0.05514899926985655,0.011827429832087288,-0.063003663003663,0.04878048780487809
caregiver_1_3,elimination,missingness,missingness_0.10,0.8,0.6923076923076923,0.8356398274622574,0.8381677387351854,0.0334889067304538,-0.06380301941049593,0.018181818181818188,-0.13461538461538458
caregiver_1_3,elimination,missingness,missingness_0.20,0.7906976744186046,0.6538461538461539,0.8164090582314881,0.8018937476499468,0.038152184043906655,-0.0830337886412652,0.008879492600422756,-0.17307692307692302
caregiver_1_3,elimination,missingness,missingness_0.30,0.8181818181818182,0.5192307692307693,0.7526060388209921,0.6541975642229628,0.055855376808263905,-0.14683680805176125,0.036363636363636376,-0.3076923076923076
caregiver_1_3,elimination,threshold_sensitivity,threshold_shift_+0.05,0.8125,0.75,0.8644859813084111,0.9382639506693078,0.022472381000542177,-0.03495686556434219,0.030681818181818143,-0.07692307692307687
caregiver_1_3,elimination,threshold_sensitivity,threshold_shift_+0.10,0.8444444444444444,0.7307692307692307,0.8572070452911574,0.9382639506693078,0.022472381000542177,-0.0422358015815959,0.06262626262626259,-0.09615384615384615
caregiver_1_3,elimination,threshold_sensitivity,threshold_shift_-0.05,0.7741935483870968,0.9230769230769231,0.9451833213515457,0.9382639506693078,0.022472381000542177,0.04574047447879237,-0.007624633431085104,0.09615384615384626
caregiver_1_3,elimination,threshold_sensitivity,threshold_shift_-0.10,0.7727272727272727,0.9807692307692307,0.9728612508986341,0.9382639506693078,0.022472381000542177,0.07341840402588073,-0.00909090909090915,0.15384615384615385
caregiver_2_3,adhd,missingness,missingness_0.10,0.7096774193548387,0.9361702127659575,0.9214529820306472,0.7155869210377125,0.0646732939642509,-0.017252783596075405,-0.012544802867383464,-0.03191489361702127
caregiver_2_3,adhd,missingness,missingness_0.20,0.7272727272727273,0.851063829787234,0.886671811266674,0.6505825738087926,0.07406937408301219,-0.05203395436004854,0.005050505050505083,-0.11702127659574468
caregiver_2_3,adhd,missingness,missingness_0.30,0.7263157894736842,0.7340425531914894,0.8333425201190607,0.6089351176844419,0.09170900518227501,-0.10536324550766185,0.004093567251462038,-0.23404255319148937
caregiver_2_3,adhd,mode_shortening,truncate_to_caregiver_1_3,0.6148648648648649,0.9680851063829787,0.9102083563002976,0.6635727031397513,0.08246185233865871,-0.02849740932642497,-0.1073573573573573,0.0
caregiver_2_3,adhd,threshold_sensitivity,threshold_shift_+0.05,0.7222222222222222,0.9680851063829787,0.9387057656267226,0.7375230938994777,0.05976574272444503,0.0,0.0,0.0
