mode,domain,champion_model,champion_profile,valid_from_version,selected_in_campaign,threshold_final,threshold_policy_final,calibration_final,output_mode_final,caveat_final,runtime_strong_entry,readiness_score,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,lineage_note,source
caregiver,adhd,rf_recall,hardened_missing,final_hardening_v10,questionnaire_final_ceiling_v4,0.405,precision_guarded,isotonic,precision_guarded,screening_only_requires_professional_context,True,1.0,0.9432408077280912,0.8245341614906831,0.936,0.8802670807453417,0.8798666840368248,0.9520186335403726,0.9539088179306232,0.0840596703290396,metrics comparable in-repo; strict cross-campaign identity por_confirmar,questionnaire_final_ceiling_v4/caregiver
caregiver,anxiety,rf_recall,base,final_hardening_v10,questionnaire_final_ceiling_v4,0.145,balanced,isotonic,balanced,screening_only_requires_professional_context,True,1.0,0.7822192110809998,0.9659090909090908,0.919318181818182,0.9426136363636364,0.8644052215480788,0.9772555096418732,0.9396720372726228,0.0346279916921464,metrics comparable in-repo; strict cross-campaign identity por_confirmar,questionnaire_final_ceiling_v4/caregiver
caregiver,conduct,rf_recall,base,final_hardening_v10,questionnaire_final_ceiling_v4,0.135,balanced,isotonic,balanced,screening_only_requires_professional_context,True,1.0,0.9654598825831702,0.8625,0.9878640776699028,0.9251820388349514,0.9109803921568628,0.981811286407767,0.9493139037978212,0.040319725025576,metrics comparable in-repo; strict cross-campaign identity por_confirmar,questionnaire_final_ceiling_v4/caregiver
caregiver,depression,rf_stability,base,final_hardening_v10,questionnaire_final_ceiling_v4,0.505,precision_guarded,isotonic,precision_guarded,screening_only_requires_professional_context,True,1.0,0.9295979545053784,0.8608695652173913,0.956140350877193,0.908504958047292,0.8939097468509234,0.9754767353165522,0.9561651613249752,0.058168737152042,metrics comparable in-repo; strict cross-campaign identity por_confirmar,questionnaire_final_ceiling_v4/caregiver
caregiver,elimination,rf::compact_clinical_clean,conservative_probability,elimination_clean_rebuild_v12,elimination_clean_rebuild_v12,0.42,conservative_probability,isotonic,conservative_probability,uncertainty_preferred,False,,0.868421052631579,0.8198757763975155,0.84,0.8299378881987578,0.8434504792332268,,0.9152986120374738,0.1359588339708592,KEEP_V12 against v14 confirmed; uncertainty_preferred retained,elimination_clean_rebuild_v12
psychologist,adhd,rf_recall,base,final_hardening_v10,questionnaire_final_ceiling_v4,0.63,precision_guarded,isotonic,precision_guarded,screening_only_requires_professional_context,True,0.9166666666666666,0.9496350170502984,0.8167701863354037,0.944,0.8803850931677017,0.8780854582707754,0.9521987577639752,0.9543408280682516,0.0835087780964788,metrics comparable in-repo; strict cross-campaign identity por_confirmar,questionnaire_final_ceiling_v4/psychologist
psychologist,anxiety,rf_precision,base,final_hardening_v10,questionnaire_final_ceiling_v4,0.255,balanced,isotonic,balanced,screening_only_requires_professional_context,True,1.0,0.9848484848484848,0.9848484848484848,0.9954545454545456,0.9901515151515152,0.9848484848484848,0.9987000688705234,0.9916243819767728,0.0050413209689384,metrics comparable in-repo; strict cross-campaign identity por_confirmar,questionnaire_final_ceiling_v4/psychologist
psychologist,conduct,rf_hardened,base,final_hardening_v10,questionnaire_final_ceiling_v4,0.185,balanced,isotonic,balanced,screening_only_requires_professional_context,True,1.0,0.9393581081081082,0.86875,0.9781553398058254,0.9234526699029126,0.9026125614623068,0.9763273665048544,0.9435313322596884,0.042716531738808,metrics comparable in-repo; strict cross-campaign identity por_confirmar,questionnaire_final_ceiling_v4/psychologist
psychologist,depression,rf_recall,base,final_hardening_v10,questionnaire_final_ceiling_v4,0.405,precision_guarded,isotonic,precision_guarded,screening_only_requires_professional_context,True,1.0,0.9359367440735364,0.8565217391304348,0.9605263157894736,0.9085240274599542,0.89445602745361,0.9759344012204424,0.952287837157802,0.0583974226486005,metrics comparable in-repo; strict cross-campaign identity por_confirmar,questionnaire_final_ceiling_v4/psychologist
psychologist,elimination,rf::compact_clinical_clean,balanced,elimination_clean_rebuild_v12,elimination_clean_rebuild_v12,0.375,balanced,isotonic,balanced,uncertainty_preferred,False,,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,,0.9121638790674772,0.1346307984541885,KEEP_V12 against v14 confirmed; uncertainty_preferred retained,elimination_clean_rebuild_v12
