domain,mode,role,active_model_required,active_model_id,source_line,source_campaign,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,notes,feature_list_pipe,demotion_reason,demoted_at_utc
anxiety,psychologist_full,psychologist,yes,anxiety__psychologist_full__v6_hotfix_v1__logreg__dsm5_core_single__sep_anx_symptom_count,v6_hotfix_v1,hybrid_v6_quick_champion_guard_hotfix_v1,logreg,dsm5_core_single__sep_anx_symptom_count,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.5700000000000001,20270421,1,0.76,0.8837209302325582,0.9390862944162436,0.9114036123244008,0.8172043010752689,0.9679052059969306,0.8512733209157707,0.076664504918768,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,84.7,moderate,secondary metric anomaly; mode fragility,yes,v6_quick_hotfix_guard_replacement:retrained_light,sep_anx_symptom_count,extra_structural_degenerate_model_rescue_v1,2026-04-26T04:22:47.668972+00:00
elimination,caregiver_full,caregiver,yes,elimination__caregiver_full__v6_hotfix_v1__logreg__dsm5_core_single__enuresis_duration_months_consecutive,v6_hotfix_v1,hybrid_v6_quick_champion_guard_hotfix_v1,logreg,dsm5_core_single__enuresis_duration_months_consecutive,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.5,20270421,1,0.7796610169491526,0.8846153846153846,0.969626168224299,0.9271207764198418,0.8288288288288288,0.9248741912293316,0.6759347521345737,0.0596868368482438,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,84.9,moderate,secondary metric anomaly,yes,v6_quick_hotfix_guard_replacement:retrained_light,enuresis_duration_months_consecutive,extra_structural_degenerate_model_rescue_v1,2026-04-26T04:22:47.668972+00:00
elimination,psychologist_full,psychologist,yes,elimination__psychologist_full__v6_hotfix_v1__logreg__dsm5_core_single__enuresis_duration_months_consecutive,v6_hotfix_v1,hybrid_v6_quick_champion_guard_hotfix_v1,logreg,dsm5_core_single__enuresis_duration_months_consecutive,logreg_guard_single_feature_v1,none,f1_recall_target_band,0.5,20270421,1,0.7796610169491526,0.8846153846153846,0.969626168224299,0.9271207764198418,0.8288288288288288,0.9248741912293316,0.6759347521345737,0.0596868368482438,ACTIVE_MODERATE_CONFIDENCE,no,yes,no,84.9,moderate,secondary metric anomaly,yes,v6_quick_hotfix_guard_replacement:retrained_light,enuresis_duration_months_consecutive,extra_structural_degenerate_model_rescue_v1,2026-04-26T04:22:47.668972+00:00
