input_key,domain_s,source_type,instrument,nonmissing_rate,caregiver_mode_available_rate,psychologist_mode_available_rate,distribution_shift_proxy
age_years,adhd;conduct;elimination;anxiety;depression,caregiver_report,DEMOGRAPHIC,1.0,1.0,1.0,0.0
ari_p_symptom_total,conduct,derived,ARI_P,0.9601049868766404,0.9601049868766404,0.9601049868766404,0.0
ari_sr_symptom_total,conduct,child_self_report,ARI_SR,0.9574803149606299,0.0,0.9574803149606299,0.9574803149606299
cbcl_001,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_002,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_003,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_004,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_005,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_006,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_007,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_008,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_009,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_010,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_011,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_012,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_013,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_014,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_015,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_016,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_017,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_018,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_019,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_020,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_021,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_022,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_023,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_024,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_025,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_026,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_027,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_028,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_029,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_030,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_031,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_032,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_033,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_034,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_035,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_036,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_037,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_038,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_039,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_040,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_041,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_042,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_043,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_044,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_045,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_046,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_047,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
cbcl_048,anxiety,caregiver_report,CBCL,0.9669291338582677,0.9669291338582677,0.9669291338582677,0.0
