domain,mode,role,active_model_id,model_input_feature,mapping_type,full_question_feature_reused,questionnaire_item_id,question_text_primary_sha256,visible_in_mode_after_sync,input_master_present,visible_question_row_present,input_master_is_direct_input,input_master_is_transparent_derived,unmapped_reason
adhd,caregiver_2_3,caregiver,adhd__caregiver_2_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_2_3,mdd_01_depressed_or_irritable_mood,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
adhd,caregiver_2_3,caregiver,adhd__caregiver_2_3__hybrid_structural_mode_rescue_v1__rf__structural_compact_2_3,mdd_04_sleep_change,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
adhd,caregiver_full,caregiver,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,eng_adhd_context_spread,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
adhd,caregiver_full,caregiver,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,eng_adhd_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
adhd,caregiver_full,caregiver,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,eng_anxiety_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
adhd,caregiver_full,caregiver,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,eng_conduct_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
adhd,caregiver_full,caregiver,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,eng_depression_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
adhd,caregiver_full,caregiver,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,eng_elimination_intensity,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
adhd,caregiver_full,caregiver,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,eng_externalizing_index,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
adhd,caregiver_full,caregiver,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,eng_internalizing_index,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
adhd,caregiver_full,caregiver,adhd__caregiver_full__rebuild_v2__rf__engineered_compact,eng_mood_discrepancy,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
adhd,psychologist_2_3,psychologist,adhd__psychologist_2_3__hybrid_structural_mode_rescue_v1__logreg__structural_ranked_2_3,mdd_01_depressed_or_irritable_mood,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
adhd,psychologist_2_3,psychologist,adhd__psychologist_2_3__hybrid_structural_mode_rescue_v1__logreg__structural_ranked_2_3,mdd_04_sleep_change,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,eng_adhd_context_spread,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,eng_adhd_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,eng_anxiety_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,eng_conduct_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,eng_depression_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,eng_elimination_intensity,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,eng_externalizing_index,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,eng_internalizing_index,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,eng_mood_discrepancy,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,mdd_01_depressed_or_irritable_mood,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,caregiver_1_3,caregiver,anxiety__caregiver_1_3__rebuild_v2__rf__engineered_full,mdd_04_sleep_change,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,caregiver_2_3,caregiver,anxiety__caregiver_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,mdd_01_depressed_or_irritable_mood,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,caregiver_2_3,caregiver,anxiety__caregiver_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,mdd_04_sleep_change,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,caregiver_full,caregiver,anxiety__caregiver_full__v6_hotfix_v1__logreg__full_eligible,mdd_01_depressed_or_irritable_mood,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,caregiver_full,caregiver,anxiety__caregiver_full__v6_hotfix_v1__logreg__full_eligible,mdd_04_sleep_change,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,psychologist_2_3,psychologist,anxiety__psychologist_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,mdd_01_depressed_or_irritable_mood,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,psychologist_2_3,psychologist,anxiety__psychologist_2_3__v6_hotfix_v1__logreg__engineered_pruned_no_eng_v1,mdd_04_sleep_change,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,mdd_01_depressed_or_irritable_mood,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,mdd_04_sleep_change,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,mdd_no_mania_hypomania_history,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,mdd_not_due_substance_medical,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,mdd_not_psychotic_explained,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__hybrid_structural_mode_rescue_v1__hgb__structural_ranked_full,conduct_no_antisocial_personality_if_18plus,unmapped_internal,,,,no,yes,no,yes,no,direct_input_in_inputs_master_but_no_visible_full_question_row
conduct,caregiver_full,caregiver,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_adhd_context_spread,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,caregiver_full,caregiver,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_adhd_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,caregiver_full,caregiver,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_anxiety_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,caregiver_full,caregiver,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_depression_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,caregiver_full,caregiver,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_elimination_intensity,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,caregiver_full,caregiver,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_externalizing_index,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,caregiver_full,caregiver,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_internalizing_index,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,caregiver_full,caregiver,conduct__caregiver_full__v6_hotfix_v1__rf__engineered_compact_no_shortcuts_v1,eng_mood_discrepancy,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_2_3,psychologist,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,eng_adhd_context_spread,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_2_3,psychologist,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,eng_adhd_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_2_3,psychologist,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,eng_anxiety_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_2_3,psychologist,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,eng_depression_core_mean,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_2_3,psychologist,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,eng_elimination_intensity,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_2_3,psychologist,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,eng_externalizing_index,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
conduct,psychologist_2_3,psychologist,conduct__psychologist_2_3__conduct_honest_retrain_v1__rf__engineered_compact_no_shortcuts_v1,eng_internalizing_index,unmapped_internal,,,,no,yes,no,no,yes,internal_or_transparent_derived_not_visible_as_question
