model_id,dataset_name,version,disorder,variant,target,n_features,balanced_accuracy_test,recall_test,specificity_test,f1_test,roc_auc_test,pr_auc_test,brier_score_test,threshold_method,threshold_value,search_param_source,artifact_pipeline_path
dataset_adhd_clinical__research_extended,dataset_adhd_clinical,research_extended,adhd,clinical,target_adhd,36,0.8800099206349206,0.91875,0.8412698412698413,0.8990825688073395,0.95828373015873,0.9670412458959052,0.0844274572459733,youden_j,0.3918072550031771,strict_reuse,artifacts\models\binary\dataset_adhd_clinical__research_extended\pipeline.joblib
dataset_adhd_items__research_extended,dataset_adhd_items,research_extended,adhd,items,target_adhd,336,0.8487599206349206,0.85625,0.8412698412698413,0.8643533123028391,0.9354166666666668,0.9504281342703728,0.1061217472679664,youden_j,0.5154194006441187,strict_reuse,artifacts\models\binary\dataset_adhd_items__research_extended\pipeline.joblib
dataset_adhd_minimal__research_extended,dataset_adhd_minimal,research_extended,adhd,minimal,target_adhd,26,0.8992559523809525,0.89375,0.9047619047619048,0.907936507936508,0.9628968253968254,0.9704705101566776,0.077696411757828,fixed_0_5,0.5,strict_reuse,artifacts\models\binary\dataset_adhd_minimal__research_extended\pipeline.joblib
dataset_adhd_clinical__strict_no_leakage,dataset_adhd_clinical,strict_no_leakage,adhd,clinical,target_adhd,35,0.8373511904761904,0.79375,0.8809523809523809,0.8410596026490066,0.9226686507936508,0.941325747617704,0.1171619914559227,youden_j,0.656281033406496,search,artifacts\models\binary\dataset_adhd_clinical__strict_no_leakage\pipeline.joblib
dataset_adhd_items__strict_no_leakage,dataset_adhd_items,strict_no_leakage,adhd,items,target_adhd,335,0.8273809523809523,0.75,0.9047619047619048,0.821917808219178,0.9231150793650794,0.9420887010295378,0.115839624897561,youden_j,0.774738111573687,search,artifacts\models\binary\dataset_adhd_items__strict_no_leakage\pipeline.joblib
dataset_adhd_minimal__strict_no_leakage,dataset_adhd_minimal,strict_no_leakage,adhd,minimal,target_adhd,25,0.8371031746031745,0.825,0.8492063492063492,0.8488745980707395,0.9221726190476192,0.9410197959829264,0.1176044032804164,youden_j,0.5998871827155784,search,artifacts\models\binary\dataset_adhd_minimal__strict_no_leakage\pipeline.joblib
dataset_anxiety_combined__research_extended,dataset_anxiety_combined,research_extended,anxiety,combined,target_anxiety,36,0.8986607142857144,0.9285714285714286,0.86875,0.8863636363636364,0.963095238095238,0.952628428767168,0.080651293303633,youden_j,0.3157690916319903,strict_reuse,artifacts\models\binary\dataset_anxiety_combined__research_extended\pipeline.joblib
dataset_anxiety_items__research_extended,dataset_anxiety_items,research_extended,anxiety,items,target_anxiety,261,0.8682539682539683,0.9365079365079364,0.8,0.855072463768116,0.9518849206349206,0.9417121233515192,0.0927898383922725,youden_j,0.2347431588570482,strict_reuse,artifacts\models\binary\dataset_anxiety_items__research_extended\pipeline.joblib
dataset_anxiety_parent__research_extended,dataset_anxiety_parent,research_extended,anxiety,parent,target_anxiety,28,0.9136904761904762,0.9523809523809524,0.875,0.9022556390977444,0.9674603174603176,0.9579748267409935,0.0771749597608382,youden_j,0.2396735929182173,strict_reuse,artifacts\models\binary\dataset_anxiety_parent__research_extended\pipeline.joblib
dataset_anxiety_combined__strict_no_leakage,dataset_anxiety_combined,strict_no_leakage,anxiety,combined,target_anxiety,35,0.8415674603174603,0.9206349206349206,0.7625,0.8285714285714286,0.9421130952380952,0.9288591775147812,0.0990605046072652,youden_j,0.2281844962278277,search,artifacts\models\binary\dataset_anxiety_combined__strict_no_leakage\pipeline.joblib
dataset_anxiety_items__strict_no_leakage,dataset_anxiety_items,strict_no_leakage,anxiety,items,target_anxiety,260,0.8497023809523809,0.7619047619047619,0.9375,0.8275862068965517,0.9434523809523808,0.9313916249030276,0.0988158658002106,youden_j,0.6642207436353612,search,artifacts\models\binary\dataset_anxiety_items__strict_no_leakage\pipeline.joblib
dataset_anxiety_parent__strict_no_leakage,dataset_anxiety_parent,strict_no_leakage,anxiety,parent,target_anxiety,27,0.8380456349206349,0.7698412698412699,0.90625,0.8151260504201681,0.9434027777777778,0.9310055866546916,0.098046979718159,youden_j,0.5946210961981091,search,artifacts\models\binary\dataset_anxiety_parent__strict_no_leakage\pipeline.joblib
dataset_conduct_clinical__research_extended,dataset_conduct_clinical,research_extended,conduct,clinical,target_conduct,38,0.9249609679937548,0.9523809523809524,0.8975409836065574,0.7476635514018691,0.9667252146760345,0.8614795679680987,0.0497075975100461,youden_j,0.2573150592498883,strict_reuse,artifacts\models\binary\dataset_conduct_clinical__research_extended\pipeline.joblib
dataset_conduct_items__research_extended,dataset_conduct_items,research_extended,conduct,items,target_conduct,331,0.9102263856362216,0.9761904761904762,0.8442622950819673,0.6776859504132231,0.957552693208431,0.8157575220571812,0.0577713528117344,youden_j,0.112029080915298,strict_reuse,artifacts\models\binary\dataset_conduct_items__research_extended\pipeline.joblib
dataset_conduct_minimal__research_extended,dataset_conduct_minimal,research_extended,conduct,minimal,target_conduct,24,0.9035909445745512,0.8809523809523809,0.9262295081967212,0.7628865979381443,0.9707259953161592,0.8833326710729552,0.0461231519811925,youden_j,0.3107760743131274,strict_reuse,artifacts\models\binary\dataset_conduct_minimal__research_extended\pipeline.joblib
dataset_conduct_clinical__strict_no_leakage,dataset_conduct_clinical,strict_no_leakage,conduct,clinical,target_conduct,37,0.8559718969555035,0.7857142857142857,0.9262295081967212,0.7096774193548387,0.9539422326307572,0.7515055195766542,0.0604557022571877,youden_j,0.3718385021926402,search,artifacts\models\binary\dataset_conduct_clinical__strict_no_leakage\pipeline.joblib
dataset_conduct_items__strict_no_leakage,dataset_conduct_items,strict_no_leakage,conduct,items,target_conduct,330,0.8461163153786104,0.7619047619047619,0.930327868852459,0.7032967032967034,0.9523809523809524,0.7570978073788261,0.0614237004949451,youden_j,0.377854969097109,search,artifacts\models\binary\dataset_conduct_items__strict_no_leakage\pipeline.joblib
dataset_conduct_minimal__strict_no_leakage,dataset_conduct_minimal,strict_no_leakage,conduct,minimal,target_conduct,23,0.8868071818891491,0.9047619047619048,0.8688524590163934,0.6785714285714286,0.952088212334114,0.7363226858783782,0.0612294755001615,youden_j,0.1655014032004218,search,artifacts\models\binary\dataset_conduct_minimal__strict_no_leakage\pipeline.joblib
dataset_depression_combined__research_extended,dataset_depression_combined,research_extended,depression,combined,target_depression,26,0.8807291666666667,0.9333333333333332,0.828125,0.5490196078431373,0.9622395833333334,0.7720106647657016,0.0437259059725436,youden_j,0.0619175248600296,strict_reuse,artifacts\models\binary\dataset_depression_combined__research_extended\pipeline.joblib
dataset_depression_items__research_extended,dataset_depression_items,research_extended,depression,items,target_depression,262,0.862109375,0.9,0.82421875,0.5294117647058824,0.9453125,0.6905849878101544,0.0530719998386295,youden_j,0.067532656127875,strict_reuse,artifacts\models\binary\dataset_depression_items__research_extended\pipeline.joblib
dataset_depression_parent__research_extended,dataset_depression_parent,research_extended,depression,parent,target_depression,22,0.878515625,0.8,0.95703125,0.7384615384615385,0.9651041666666668,0.7675670707838618,0.0429602873716458,youden_j,0.3447431023282856,strict_reuse,artifacts\models\binary\dataset_depression_parent__research_extended\pipeline.joblib
dataset_depression_combined__strict_no_leakage,dataset_depression_combined,strict_no_leakage,depression,combined,target_depression,25,0.87578125,0.9,0.8515625,0.5684210526315789,0.930078125,0.576209992776318,0.0618140640591028,youden_j,0.1003379123577121,search,artifacts\models\binary\dataset_depression_combined__strict_no_leakage\pipeline.joblib
dataset_depression_items__strict_no_leakage,dataset_depression_items,strict_no_leakage,depression,items,target_depression,261,0.8541666666666667,0.8333333333333334,0.875,0.5747126436781609,0.9334635416666668,0.6174270111706665,0.0594741631966452,youden_j,0.1237939462818594,search,artifacts\models\binary\dataset_depression_items__strict_no_leakage\pipeline.joblib
dataset_depression_parent__strict_no_leakage,dataset_depression_parent,strict_no_leakage,depression,parent,target_depression,21,0.8796875,0.9,0.859375,0.5806451612903226,0.9255208333333332,0.5485234132013457,0.0642327812415637,youden_j,0.1163500478788966,search,artifacts\models\binary\dataset_depression_parent__strict_no_leakage\pipeline.joblib
dataset_elimination_core__research_extended,dataset_elimination_core,research_extended,elimination,core,target_elimination,18,0.8415032679738561,0.7941176470588235,0.8888888888888888,0.6067415730337079,0.8850373482726424,0.4819500566326821,0.0814143175399466,youden_j,0.150080895183719,strict_reuse,artifacts\models\binary\dataset_elimination_core__research_extended\pipeline.joblib
dataset_elimination_items__research_extended,dataset_elimination_items,research_extended,elimination,items,target_elimination,163,0.6742530345471522,0.5588235294117647,0.7896825396825397,0.3584905660377358,0.7820961718020542,0.2820716216115569,0.0970582996866029,youden_j,0.1293091126853699,strict_reuse,artifacts\models\binary\dataset_elimination_items__research_extended\pipeline.joblib
dataset_elimination_core__strict_no_leakage,dataset_elimination_core,strict_no_leakage,elimination,core,target_elimination,17,0.699813258636788,0.7647058823529411,0.6349206349206349,0.3421052631578947,0.717436974789916,0.2353647801052094,0.1010140076487207,youden_j,0.1151657645486941,search,artifacts\models\binary\dataset_elimination_core__strict_no_leakage\pipeline.joblib
dataset_elimination_items__strict_no_leakage,dataset_elimination_items,strict_no_leakage,elimination,items,target_elimination,162,0.6509103641456583,0.6470588235294118,0.6547619047619048,0.3076923076923077,0.6721521942110178,0.2134313663151842,0.1020115190154799,youden_j,0.1182558973636689,search,artifacts\models\binary\dataset_elimination_items__strict_no_leakage\pipeline.joblib
