model_id,dataset_name,version,n_rows,n_features,subset_accuracy_val,subset_accuracy_test,hamming_loss_test,micro_f1_test,macro_f1_test,weighted_f1_test,search_meta,best_params,artifact_pipeline_path,artifact_metadata_path,manifest_exists,figure_count
master_multilabel_ready__strict_no_leakage,master_multilabel_ready,strict_no_leakage,1905,581,0.548951048951049,0.527972027972028,0.12307692307692308,0.7582417582417582,0.5690807381254149,0.724449674067015,"{'source': 'search', 'best_cv_micro_f1': 0.7925061838024866, 'n_iter': 8}","{'model__estimator__n_estimators': 150, 'model__estimator__min_samples_split': 5, 'model__estimator__min_samples_leaf': 4, 'model__estimator__max_features': 'sqrt', 'model__estimator__max_depth': 10, 'model__estimator__class_weight': None}",artifacts\models\multilabel\master_multilabel_ready__strict_no_leakage\pipeline.joblib,artifacts\models\multilabel\master_multilabel_ready__strict_no_leakage\metadata.json,True,15
master_multilabel_ready__research_extended,master_multilabel_ready,research_extended,1905,813,0.6188811188811189,0.5979020979020979,0.1,0.8,0.6138397689840814,0.7636410002185657,"{'source': 'strict_reuse', 'n_iter': 0}","{'model__estimator__n_estimators': 150, 'model__estimator__min_samples_split': 5, 'model__estimator__min_samples_leaf': 4, 'model__estimator__max_features': 'sqrt', 'model__estimator__max_depth': 10, 'model__estimator__class_weight': None}",artifacts\models\multilabel\master_multilabel_ready__research_extended\pipeline.joblib,artifacts\models\multilabel\master_multilabel_ready__research_extended\metadata.json,True,15
