model_id,dataset_name,version,n_features,subset_accuracy_test,hamming_loss_test,micro_f1_test,macro_f1_test,weighted_f1_test,artifact_pipeline_path
master_multilabel_ready__research_extended,master_multilabel_ready,research_extended,813,0.5979020979020979,0.1,0.8,0.6138397689840814,0.7636410002185657,artifacts\models\multilabel\master_multilabel_ready__research_extended\pipeline.joblib
master_multilabel_ready__strict_no_leakage,master_multilabel_ready,strict_no_leakage,581,0.527972027972028,0.123076923076923,0.7582417582417582,0.5690807381254149,0.724449674067015,artifacts\models\multilabel\master_multilabel_ready__strict_no_leakage\pipeline.joblib
