candidate_id,domain,mode,feature_set_id,config_id,calibration,threshold_policy,threshold,precision_boot_mean,precision_boot_ci_low,precision_boot_ci_high,recall_boot_mean,recall_boot_ci_low,recall_boot_ci_high,balanced_accuracy_boot_mean,balanced_accuracy_boot_ci_low,balanced_accuracy_boot_ci_high,pr_auc_boot_mean,pr_auc_boot_ci_low,pr_auc_boot_ci_high,brier_boot_mean,brier_boot_ci_low,brier_boot_ci_high
adhd__caregiver_1_3,adhd,caregiver_1_3,precision_oriented_subset,rf_regularized,isotonic,balanced,0.05,0.6178493232203595,0.5379567307692308,0.690736364495699,0.9893489368634304,0.965012860430486,1.0,0.9204426927873474,0.8963374572255857,0.941965415717464,0.6387633652146611,0.5448867426946893,0.7286119405584106,0.07931998544656094,0.06497530533449196,0.0938053443732601
adhd__caregiver_2_3,adhd,caregiver_2_3,stability_pruned_subset,rf_positive_push_strong,isotonic,default_0_5,0.5,0.7191454369683824,0.6344081157921944,0.7952775707898658,0.968536100459952,0.930110465116279,1.0,0.9383791426253772,0.9141658936301794,0.9616088323261918,0.7371135653423054,0.637737623445101,0.8336920388614677,0.06026374669775805,0.04419689147742219,0.07624290357574638
adhd__psychologist_1_3,adhd,psychologist_1_3,full_eligible,rf_baseline,isotonic,default_0_5,0.5,0.6151287376318322,0.5324472573839663,0.6950280572266316,0.9809453340617006,0.9470744680851063,1.0,0.9165713979369912,0.8946722669158741,0.9374120430024039,0.6267352931910752,0.5297954623111556,0.7273954712434165,0.07753150097031714,0.06444609898003413,0.09050265225071001
adhd__psychologist_2_3,adhd,psychologist_2_3,balanced_subset,rf_regularized,isotonic,balanced,0.05,0.7161963300507175,0.6304863473384205,0.7932291666666665,0.9782840971380034,0.9412011494252873,1.0,0.9421242633047985,0.9177603024488304,0.9623600983796297,0.7300031158978251,0.629204787641225,0.8136296347583759,0.05961355009118176,0.04415060440522866,0.07477089906407725
anxiety__caregiver_1_3,anxiety,caregiver_1_3,full_eligible,rf_recall_guard__pos_weight_low,isotonic,recall_constrained,0.575,0.8507486824775959,0.7720454545454546,0.9249718389186145,0.6743813518398124,0.5755476673427992,0.7721928952925102,0.8243344171067023,0.7769359968899947,0.8733029069761882,0.8140035195484142,0.7406808976013382,0.8822248652632546,0.06326276784439562,0.045604453516502816,0.08265934068030868
anxiety__caregiver_2_3,anxiety,caregiver_2_3,precision_oriented_subset,rf_positive_push_strong,isotonic,precision_min_recall,0.5049999999999999,0.9499640945259239,0.8975581395348837,0.9891350584898972,0.894392933635299,0.8262284482758621,0.9523809523809523,0.9421241711558813,0.9073474975999877,0.9738701235411761,0.9402433986439966,0.8940116438384567,0.9819696109130408,0.019846719100832886,0.011300712814025332,0.029450305287336925
anxiety__caregiver_full,anxiety,caregiver_full,stability_pruned_subset,rf_positive_push_strong__pos_weight_mid,isotonic,default_0_5,0.5,0.9156506995969163,0.8532847606642787,0.9717814868998537,0.8942663778847414,0.830316091954023,0.9545736434108527,0.9382174608321786,0.904651491048369,0.9713884036250008,0.9361851575578135,0.8811539591329809,0.9797048896795044,0.03006127196056937,0.01776011152203434,0.0433758133188653
depression__caregiver_1_3,depression,caregiver_1_3,full_eligible,rf_recall_guard__balanced_subsample,isotonic,precision_min_recall,0.5049999999999999,0.8212801856321617,0.7210555555555556,0.9036585365853658,0.7953434809923323,0.7005589430894309,0.8874901091944928,0.879887182648622,0.8276951500297088,0.9274233382561867,0.7968030637950126,0.6892625973903475,0.8762842509282482,0.05428077443209803,0.03957091533306098,0.07237848455758296
depression__caregiver_2_3,depression,caregiver_2_3,balanced_subset,rf_precision_push,isotonic,recall_constrained,0.33499999999999996,0.8017143218453646,0.7225401606425703,0.8839779681762546,0.8768229014419892,0.793281484257871,0.9415355677154582,0.9158706786419896,0.8737739329708185,0.9497945971706352,0.8828336800286365,0.8116745602700697,0.932378225539616,0.044840062775806815,0.03140021646766566,0.06020951392645521
depression__caregiver_full,depression,caregiver_full,precision_oriented_subset,rf_positive_push_strong,isotonic,recall_constrained,0.09,0.8086281529874922,0.7352686608502977,0.8974905303030303,0.9038064491578128,0.8279569892473119,0.9608076923076923,0.9296780918803966,0.893077435772709,0.959381105071416,0.9124102903522869,0.8572021203391896,0.9515176397277222,0.037652547961548134,0.02581976115407548,0.05082211857706372
