mode,operating_mode,threshold,uncertainty_band,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,objective,source_feature_set,source_family,source_calibration
caregiver,balanced,0.44500000000000006,0.08,0.8776978417266187,0.7577639751552795,0.864,0.8108819875776397,0.8133333333333334,0.8824347826086958,0.9134947186243835,0.13807719649806982,0.13986013986013987,0.29552845528455285,0.8216783216783217,0.8526617758936736,missingness_aware_clean,rf,isotonic
caregiver,precision_first,0.44500000000000006,0.06,0.8776978417266187,0.7577639751552795,0.864,0.8108819875776397,0.8133333333333334,0.8824347826086958,0.9134947186243835,0.13807719649806982,0.13636363636363635,0.3076923076923077,0.8216783216783217,0.8526617758936736,missingness_aware_clean,rf,isotonic
caregiver,uncertainty_preferred,0.44500000000000006,0.16,0.8776978417266187,0.7577639751552795,0.864,0.8108819875776397,0.8133333333333334,0.8824347826086958,0.9134947186243835,0.13807719649806982,0.16783216783216784,0.31547619047619047,0.8216783216783217,0.8526617758936736,missingness_aware_clean,rf,isotonic
caregiver,conservative_probability,0.44500000000000006,0.06,0.8776978417266187,0.7577639751552795,0.864,0.8108819875776397,0.8133333333333334,0.8824347826086958,0.9134947186243835,0.13807719649806982,0.13636363636363635,0.3076923076923077,0.8216783216783217,0.8526617758936736,missingness_aware_clean,rf,isotonic
caregiver,recall_first,0.23,0.1,0.7684210526315789,0.906832298136646,0.648,0.777416149068323,0.8319088319088319,0.8824347826086958,0.9134947186243835,0.13807719649806982,0.2692307692307692,-0.015721120984278858,0.8419659288080341,0.8216878461051738,missingness_aware_clean,rf,isotonic
psychologist,balanced,0.6000000000000001,0.08,0.8794326241134752,0.7701863354037267,0.864,0.8170931677018634,0.8211920529801324,0.881167701863354,0.9132128081056157,0.136763096948949,0.017482517482517484,0.4185053380782918,0.7681818181818182,0.856253207567789,missingness_aware_clean,rf,isotonic
psychologist,uncertainty_preferred,0.6000000000000001,0.16,0.8794326241134752,0.7701863354037267,0.864,0.8170931677018634,0.8211920529801324,0.881167701863354,0.9132128081056157,0.136763096948949,0.03496503496503497,0.322463768115942,0.7681818181818182,0.856253207567789,missingness_aware_clean,rf,isotonic
psychologist,precision_first,0.7750000000000001,0.06,0.9292929292929293,0.5714285714285714,0.944,0.7577142857142857,0.7076923076923077,0.881167701863354,0.9132128081056157,0.136763096948949,0.13986013986013987,0.5630081300813008,0.7800699300699301,0.8380886317181067,missingness_aware_clean,rf,isotonic
psychologist,conservative_probability,0.7750000000000001,0.06,0.9292929292929293,0.5714285714285714,0.944,0.7577142857142857,0.7076923076923077,0.881167701863354,0.9132128081056157,0.136763096948949,0.13986013986013987,0.5630081300813008,0.7800699300699301,0.8380886317181067,missingness_aware_clean,rf,isotonic
psychologist,recall_first,0.24000000000000002,0.1,0.7591623036649214,0.9006211180124224,0.632,0.7663105590062111,0.8238636363636364,0.881167701863354,0.9132128081056157,0.136763096948949,0.22377622377622378,0.06292229729729729,0.8692307692307693,0.8151158922063096,missingness_aware_clean,rf,isotonic
