mode,delta_precision_v13_vs_baseline,delta_recall_v13_vs_baseline,delta_specificity_v13_vs_baseline,delta_ba_v13_vs_baseline,delta_f1_v13_vs_baseline,delta_pr_auc_v13_vs_baseline,delta_brier_v13_vs_baseline,delta_precision_v13_vs_v12,delta_recall_v13_vs_v12,delta_specificity_v13_vs_v12,delta_ba_v13_vs_v12,delta_f1_v13_vs_v12,delta_pr_auc_v13_vs_v12,delta_brier_v13_vs_v12,delta_robustness_v13_vs_v12,delta_output_readiness_v13_vs_v12
caregiver,-0.04100134526525134,0.05590062111801242,-0.05600000000000005,-4.968944099381645e-05,0.01755868544600936,,-0.010505278837957377,0.009276789095039706,-0.06211180124223603,0.02400000000000002,-0.01905590062111806,-0.03011714589989345,-0.001803893413090285,0.002118362527210621,-0.0366459627329192,uncertainty_preferred -> uncertainty_preferred
psychologist,-0.0461872105972686,0.07453416149068326,-0.06400000000000006,0.005267080745341657,0.026865811845380616,,-0.007813265199892505,0.03187164850371915,-0.09316770186335399,0.06399999999999995,-0.014583850931677023,-0.034192562404482985,0.0010489290381384686,0.002132298494760515,-0.008124223602484437,uncertainty_preferred -> uncertainty_preferred
