mode,domain,selected_operating_mode,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,worst_stress_ba,shortcut_max_metric_diff,shortcut_independence,probability_ready,risk_band_ready,confidence_ready,uncertainty_ready,professional_detail_ready,final_output_status,visible_user_prob_cap,visible_prof_prob_cap,extreme_performance_audit_trigger
caregiver,elimination,balanced,0.8776978417266187,0.7577639751552795,0.864,0.8108819875776397,0.8133333333333334,0.9134947186243835,0.13807719649806982,0.7284472049689441,0.18012422360248448,yes,yes,yes,yes,yes,yes,uncertainty_preferred,"[0.01,0.99]","[0.005,0.995]",no
psychologist,elimination,balanced,0.8794326241134752,0.7701863354037267,0.864,0.8170931677018634,0.8211920529801324,0.9132128081056157,0.136763096948949,0.7350807453416149,0.16770186335403725,yes,yes,yes,no,yes,yes,uncertainty_preferred,"[0.01,0.99]","[0.005,0.995]",no
