mode,role,domain,winner_feature_set_id,winner_config_id,winner_seed,calibration,threshold_policy,threshold,policy_score,is_selected_policy,val_precision,val_recall,val_balanced_accuracy,val_pr_auc,val_brier,holdout_precision,holdout_recall,holdout_balanced_accuracy,holdout_pr_auc,holdout_brier
caregiver_1_3,caregiver,adhd,full_eligible,rf_baseline,20260429,isotonic,balanced,0.08499999999999999,0.8759682993278051,no,0.6690647482014388,0.9893617021276596,0.9350953588358506,0.7175614226528508,0.06440492571366067,0.6564885496183206,0.9148936170212766,0.8991566530702237,0.6372161440709827,0.07869444380941285
caregiver_1_3,caregiver,adhd,full_eligible,rf_baseline,20260429,isotonic,default_0_5,0.5,0.7921840429816586,no,0.6690647482014388,0.9893617021276596,0.9350953588358506,0.7175614226528508,0.06440492571366067,0.6615384615384615,0.9148936170212766,0.9004519898577885,0.6372161440709827,0.07869444380941285
caregiver_1_3,caregiver,adhd,full_eligible,rf_baseline,20260429,isotonic,precision_oriented,0.08499999999999999,0.7483936153639,no,0.6690647482014388,0.9893617021276596,0.9350953588358506,0.7175614226528508,0.06440492571366067,0.6564885496183206,0.9148936170212766,0.8991566530702237,0.6372161440709827,0.07869444380941285
caregiver_1_3,caregiver,adhd,full_eligible,rf_baseline,20260429,isotonic,recall_constrained,0.08499999999999999,0.7965005407713946,yes,0.6690647482014388,0.9893617021276596,0.9350953588358506,0.7175614226528508,0.06440492571366067,0.6564885496183206,0.9148936170212766,0.8991566530702237,0.6372161440709827,0.07869444380941285
caregiver_1_3,caregiver,anxiety,full_eligible,rf_balanced_subsample,20260429,isotonic,balanced,0.25499999999999995,0.8880550603947985,no,0.7619047619047619,0.9302325581395349,0.9333903907448944,0.9111660765276174,0.038492061092567774,0.6785714285714286,0.8837209302325582,0.8961751859284618,0.850824619982424,0.05202471764609527
caregiver_1_3,caregiver,anxiety,full_eligible,rf_balanced_subsample,20260429,isotonic,default_0_5,0.5,0.8801338777607796,no,0.8488372093023255,0.8488372093023255,0.9079211427222287,0.9111660765276174,0.038492061092567774,0.813953488372093,0.813953488372093,0.8866721756581277,0.850824619982424,0.05202471764609527
caregiver_1_3,caregiver,anxiety,full_eligible,rf_balanced_subsample,20260429,isotonic,precision_oriented,0.6699999999999999,0.8971444456304314,no,0.9264705882352942,0.7325581395348837,0.8599338921024673,0.9111660765276174,0.038492061092567774,0.890625,0.6627906976744186,0.8225121001062448,0.850824619982424,0.05202471764609527
caregiver_1_3,caregiver,anxiety,full_eligible,rf_balanced_subsample,20260429,isotonic,recall_constrained,0.5349999999999999,0.8731804260489137,yes,0.9154929577464789,0.7558139534883721,0.8702927635462165,0.9111660765276174,0.038492061092567774,0.8787878787878788,0.6744186046511628,0.827057018061622,0.850824619982424,0.05202471764609527
caregiver_1_3,caregiver,conduct,compact_robust_subset,rf_baseline,20260412,isotonic,balanced,0.27499999999999997,0.9255819030412527,no,0.9024390243902439,0.925,0.9375,0.9555443630019675,0.043887987013628685,0.8203592814371258,0.8616352201257862,0.8840886381002763,0.9158392399496413,0.07399455300648053
caregiver_1_3,caregiver,conduct,compact_robust_subset,rf_baseline,20260412,isotonic,default_0_5,0.5,0.9232294286155945,no,0.9024390243902439,0.925,0.9375,0.9555443630019675,0.043887987013628685,0.8203592814371258,0.8616352201257862,0.8840886381002763,0.9158392399496413,0.07399455300648053
