role,domain,ba_loss_1_3_to_2_3,ba_loss_2_3_to_full,precision_loss_1_3_to_2_3,precision_loss_2_3_to_full
caregiver,adhd,-0.024611398963730657,-0.005319148936170026,-0.11136859323882231,-0.0020543615676358318
caregiver,conduct,-0.11444189737259747,0.0,-0.1439814814814816,0.0
caregiver,elimination,-0.021297627606038927,0.009615384615384803,-0.1582597730138714,0.0007541478129713397
caregiver,anxiety,-0.13699681265494035,-0.0005312241766024517,-0.012516469038208133,-0.05055611729019227
caregiver,depression,-0.03211177840421631,0.0012562814070352646,-0.12222222222222223,0.011605783866057817
psychologist,adhd,-0.048754271855363296,-0.05250248043214645,-0.09680867307985952,-0.17314189189189189
psychologist,conduct,-0.10971022159525068,0.0015576323987538387,-0.14807146691204665,0.00609615827007115
psychologist,elimination,0.02183680805176147,-0.018062544931704005,-0.10934819897084036,0.019825918762088834
psychologist,anxiety,-0.09175422028095859,0.00708298902136717,-0.008045977011494343,0.011494252873563315
psychologist,depression,-0.032111778404216196,0.018108836867263056,-0.11956705564011505,-0.05500856164383561
