mode,role,domain,winner_feature_set_id,winner_config_id,winner_calibration,winner_threshold_policy,winner_threshold,winner_seed,n_features,train_precision,train_recall,train_specificity,train_balanced_accuracy,train_f1,train_roc_auc,train_pr_auc,train_brier,val_precision,val_recall,val_specificity,val_balanced_accuracy,val_f1,val_roc_auc,val_pr_auc,val_brier,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,overfit_gap_train_val_ba,generalization_gap_val_holdout_ba,overfit_warning,ceiling_status
caregiver_1_3,caregiver,adhd,full_eligible,rf_baseline,isotonic,recall_constrained,0.08499999999999999,20260429,59,0.9276315789473685,1.0,0.9810017271157168,0.9905008635578584,0.962457337883959,1.0,1.0,0.011200437728483224,0.6690647482014388,0.9893617021276596,0.8808290155440415,0.9350953588358506,0.7982832618025751,0.9488204167126006,0.7175614226528508,0.06440492571366067,0.6564885496183206,0.9148936170212766,0.883419689119171,0.8991566530702237,0.7644444444444445,0.9261658031088082,0.6372161440709827,0.07869444380941285,0.05540550472200778,0.035938705765626855,yes,marginal_room_left
caregiver_1_3,caregiver,anxiety,full_eligible,rf_balanced_subsample,isotonic,recall_constrained,0.5349999999999999,20260429,59,0.9838056680161943,0.9418604651162791,0.9966159052453468,0.969238185180813,0.9623762376237623,0.9990457639790659,0.9934591851929542,0.01152183215492416,0.9154929577464789,0.7558139534883721,0.9847715736040609,0.8702927635462165,0.8280254777070064,0.9790018887970724,0.9111660765276174,0.038492061092567774,0.8787878787878788,0.6744186046511628,0.9796954314720813,0.827057018061622,0.7631578947368421,0.950876519891394,0.850824619982424,0.05202471764609527,0.09894542163459641,0.04323574548459452,yes,ceiling_reached
caregiver_1_3,caregiver,conduct,compact_robust_subset,rf_baseline,isotonic,recall_constrained,0.5049999999999999,20260412,27,0.9895397489539749,0.9874739039665971,0.9947970863683663,0.9911354951674817,0.9885057471264368,0.9998175178517507,0.9994432240126268,0.009844960247759731,0.9177215189873418,0.90625,0.959375,0.9328125,0.9119496855345912,0.984140625,0.9555443630019675,0.043887987013628685,0.8375,0.8427672955974843,0.9190031152647975,0.8808852054311409,0.8401253918495298,0.963576872587629,0.9158392399496413,0.07399455300648053,0.05832299516748163,0.05192729456885914,yes,ceiling_reached
caregiver_1_3,caregiver,depression,full_eligible,rf_large_subsample,isotonic,recall_constrained,0.5049999999999999,20260412,59,0.9516129032258065,0.963265306122449,0.9899581589958159,0.9766117325591324,0.9574036511156186,0.9980958073606011,0.9849915285517123,0.013399409865225793,0.8846153846153846,0.8414634146341463,0.9773869346733668,0.9094251746537565,0.8625,0.9832240470645912,0.9062204835947885,0.03604055118929626,0.725,0.7073170731707317,0.9447236180904522,0.8260203456305919,0.7160493827160493,0.9407709278097806,0.7388499031582134,0.07378353566429142,0.06718655790537587,0.0834048290231646,yes,ceiling_reached
caregiver_1_3,caregiver,elimination,precision_oriented_subset,rf_large_subsample,isotonic,default_0_5,0.5,20260513,24,0.9064327485380117,1.0,0.9875486381322958,0.9937743190661479,0.950920245398773,0.999799171582779,0.9967884019140698,0.008740486021093062,0.8620689655172413,0.9615384615384616,0.9813084112149533,0.9714234363767074,0.9090909090909091,0.9922942127965493,0.8985400821100619,0.017104614696221754,0.8032786885245902,0.9423076923076923,0.9719626168224299,0.957135154565061,0.8672566371681416,0.9896207764198418,0.8592917681088583,0.024548710874151402,0.02235088268944052,0.01428828181164632,no,marginal_room_left
caregiver_2_3,caregiver,adhd,full_eligible,rf_precision_push,isotonic,default_0_5,0.5,20260513,113,0.9894736842105263,1.0,0.9974093264248705,0.9987046632124352,0.9947089947089947,1.0,1.0,0.008329161732874247,0.75,0.9893617021276596,0.9196891191709845,0.9545254106493221,0.8532110091743119,0.9646262815566089,0.7846788591861369,0.0491113262581481,0.7678571428571429,0.9148936170212766,0.9326424870466321,0.9237680520339544,0.8349514563106796,0.9651912688788449,0.8088897046785374,0.053511665306657144,0.04417925256311317,0.030757358615367658,yes,marginal_room_left
caregiver_2_3,caregiver,anxiety,top_importance_filtered,rf_regularized,isotonic,default_0_5,0.5,20260429,79,0.9541984732824428,0.9689922480620154,0.9898477157360406,0.979419981899028,0.9615384615384616,0.9986227521347342,0.9907746475235446,0.010492126592749198,0.9230769230769231,0.9767441860465116,0.9822335025380711,0.9794888442922913,0.9491525423728814,0.9968421673946405,0.9789312838627469,0.014704861111984024,0.8913043478260869,0.9534883720930233,0.9746192893401016,0.9640538307165625,0.9213483146067416,0.9867341518120647,0.9296925029139941,0.021602992451955513,-6.886239326331367e-05,0.015435013575728851,no,marginal_room_left
caregiver_2_3,caregiver,conduct,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.05,20260412,45,0.9958419958419958,1.0,0.9979188345473465,0.9989594172736733,0.9979166666666667,1.0,1.0,5.727242346593012e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000000000383407e-12,0.9814814814814815,1.0,0.9906542056074766,0.9953271028037383,0.9906542056074766,1.0,1.0,0.001195853073814591,-0.0010405827263266776,0.004672897196261738,no,ceiling_reached
caregiver_2_3,caregiver,depression,balanced_subset,rf_precision_push,none,precision_oriented,0.59,20260513,62,0.940677966101695,0.9061224489795918,0.9882845188284519,0.9472034839040219,0.9230769230769231,0.9985449577320469,0.9929391269929431,0.01322140827009629,0.9714285714285714,0.8292682926829268,0.9949748743718593,0.912121583527393,0.8947368421052632,0.9893062875352371,0.9510934340485115,0.027791822106823273,0.8472222222222222,0.7439024390243902,0.9723618090452262,0.8581321240348082,0.7922077922077922,0.9696041181517343,0.8629559860945878,0.05200483241107459,0.03508190037662884,0.053989459492584824,yes,marginal_room_left
caregiver_2_3,caregiver,elimination,precision_oriented_subset,rf_recall_guard,isotonic,balanced,0.25499999999999995,20260513,45,0.9872611464968153,1.0,0.998443579766537,0.9992217898832685,0.9935897435897436,1.0,1.0,0.0011188600898909074,0.9807692307692307,0.9807692307692307,0.9976635514018691,0.9892163910855499,0.9807692307692307,0.9996854780733285,0.9952979712595097,0.003437500000970833,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.9983824586628325,0.9745323800251808,0.00600145350535929,0.010005398797718557,0.01078360891444996,no,marginal_room_left
