mode,role,domain,winner_feature_set_id,winner_config_id,winner_calibration,winner_threshold_policy,winner_threshold,winner_seed,n_features,top_features,selection_score,ceiling_status,material_improvement_vs_baseline,overfit_warning
caregiver_1_3,caregiver,adhd,full_eligible,rf_baseline,isotonic,recall_constrained,0.08499999999999999,20260429,59,adhd_hyperimpulsive_symptom_count|adhd_inattention_symptom_count|conduct_recent_6m_count|conduct_symptom_count_12m|conduct_aggression_count|adhd_inatt_03_seems_not_listening,0.7283217371636419,marginal_room_left,yes,yes
caregiver_1_3,caregiver,anxiety,full_eligible,rf_balanced_subsample,isotonic,recall_constrained,0.5349999999999999,20260429,59,mdd_symptom_count|gad_excessive_worry_multiple_areas|gad_difficulty_controlling_worry|sep_anx_01_distress_on_separation|mdd_08_concentration_or_decision_difficulty|mdd_03_weight_or_appetite_change,0.8222743783715123,ceiling_reached,no,yes
caregiver_1_3,caregiver,conduct,compact_robust_subset,rf_baseline,isotonic,recall_constrained,0.5049999999999999,20260412,27,conduct_aggression_count|conduct_symptom_count_12m|conduct_recent_6m_count|conduct_destruction_count|conduct_deceit_theft_count|conduct_06_steals_confronting_victim,0.8674410098178106,ceiling_reached,no,yes
caregiver_1_3,caregiver,depression,full_eligible,rf_large_subsample,isotonic,recall_constrained,0.5049999999999999,20260412,59,mdd_symptom_count|mdd_core_symptom_met|mdd_02_loss_of_interest_or_pleasure|mdd_07_worthlessness_or_excessive_guilt|mdd_03_weight_or_appetite_change|mdd_01_depressed_or_irritable_mood,0.8246527693745184,ceiling_reached,no,yes
caregiver_1_3,caregiver,elimination,precision_oriented_subset,rf_large_subsample,isotonic,default_0_5,0.5,20260513,24,enuresis_event_frequency_per_week|encopresis_event_frequency_per_month|adhd_hyperimpulsive_symptom_count|adhd_inatt_07_loses_things|mdd_06_fatigue_or_low_energy|mdd_09_death_or_suicidal_thoughts,0.8491298718783978,marginal_room_left,yes,no
caregiver_2_3,caregiver,adhd,full_eligible,rf_precision_push,isotonic,default_0_5,0.5,20260513,113,adhd_inattention_symptom_count|adhd_hyperimpulsive_symptom_count|adhd_onset_before_12|conduct_recent_6m_count|adhd_impairment_max|conduct_symptom_count_12m,0.7824898695040459,marginal_room_left,yes,yes
caregiver_2_3,caregiver,anxiety,top_importance_filtered,rf_regularized,isotonic,default_0_5,0.5,20260429,79,sep_anx_symptom_count|sep_anx_impairment|gad_assoc_symptom_count|sep_anx_duration_weeks|gad_duration_months|mdd_symptom_count,0.8955574931389545,marginal_room_left,yes,no
caregiver_2_3,caregiver,conduct,precision_oriented_subset,rf_precision_push,isotonic,balanced,0.05,20260412,45,conduct_impairment_global|conduct_aggression_count|conduct_symptom_count_12m|conduct_recent_6m_count|conduct_destruction_count|conduct_serious_rule_violation_count,0.93999999999994,ceiling_reached,no,no
caregiver_2_3,caregiver,depression,balanced_subset,rf_precision_push,none,precision_oriented,0.59,20260513,62,mdd_symptom_count|mdd_impairment|mdd_duration_weeks|mdd_core_symptom_met|pdd_duration_months_child|mdd_02_loss_of_interest_or_pleasure,0.8770123818614979,marginal_room_left,yes,yes
caregiver_2_3,caregiver,elimination,precision_oriented_subset,rf_recall_guard,isotonic,balanced,0.25499999999999995,20260513,45,enuresis_distress_impairment|enuresis_event_frequency_per_week|enuresis_duration_months_consecutive|encopresis_event_frequency_per_month|encopresis_duration_months_consecutive|age_years,0.925987415204361,marginal_room_left,yes,no
