mode,domain,feature_set_id,config_id,seed,calibration_method,val_brier,val_ece,stage,val_precision_at_0_5,val_recall_at_0_5,val_balanced_accuracy_at_0_5,holdout_precision_at_0_5,holdout_recall_at_0_5,holdout_balanced_accuracy_at_0_5
caregiver_1_3,adhd,full_eligible,rf_large_subsample,20260412,none,0.07367221084121338,0.037306535162205924,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_large_subsample,20260412,sigmoid,0.07612904059802604,0.05402777858500553,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_large_subsample,20260412,isotonic,0.0662575591447494,6.770833333347211e-07,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_large_subsample,20260429,none,0.07362475088636021,0.04212249069929719,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_large_subsample,20260429,sigmoid,0.07577868574456217,0.05216820527080206,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_large_subsample,20260429,isotonic,0.06664478291383819,6.729166667166847e-07,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_large_subsample,20260513,none,0.07351526957555012,0.03491407963468387,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_large_subsample,20260513,sigmoid,0.07557695338660712,0.05497212084050482,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_large_subsample,20260513,isotonic,0.06697416542864477,6.750000000045682e-07,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_regularized,20260412,none,0.07369394430851019,0.04040313688482574,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_regularized,20260412,sigmoid,0.07124061605681604,0.04152651458181914,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_regularized,20260412,isotonic,0.06478941136156403,6.875000000196603e-07,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_regularized,20260429,none,0.07314965563086843,0.04254868145324263,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_regularized,20260429,sigmoid,0.07064913709960266,0.039014031929244,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_regularized,20260429,isotonic,0.06388735194516867,6.958333333363401e-07,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_regularized,20260513,none,0.07341876212222573,0.03979430236357704,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_regularized,20260513,sigmoid,0.07135667229450465,0.05156387423247073,stage2,,,,,,
caregiver_1_3,adhd,full_eligible,rf_regularized,20260513,isotonic,0.06555190140388617,6.91666666684361e-07,stage2,,,,,,
