trial_id,candidate_id,stage,domain,mode,role,feature_set_id,config_id,config_hash,seed,calibration,threshold_policy,threshold,n_features,selected_for_stage2,val_objective,overfit_gap_ba
1,depression__caregiver_1_3,stage1_local_search,depression,caregiver_1_3,caregiver,precision_oriented_subset,rf_recall_guard,ff359d03bdfa,20260712,none,default_0_5,0.5,24,yes,0.7407067097372791,0.12376009037944069
2,depression__caregiver_1_3,stage1_local_search,depression,caregiver_1_3,caregiver,precision_oriented_subset,rf_recall_guard__trees_plus,8bc7f573cd23,20260712,none,default_0_5,0.5,24,no,0.7364799272606752,0.12255714541810425
3,depression__caregiver_1_3,stage1_local_search,depression,caregiver_1_3,caregiver,precision_oriented_subset,rf_recall_guard__regularized,acc5f35fda2b,20260712,none,default_0_5,0.5,24,no,0.7266696023623296,0.08697965712189215
4,depression__caregiver_1_3,stage1_local_search,depression,caregiver_1_3,caregiver,precision_oriented_subset,rf_recall_guard__balanced_subsample,69e54e5f5a46,20260712,none,default_0_5,0.5,24,yes,0.7482520341173357,0.10212117839939572
5,depression__caregiver_1_3,stage1_local_search,depression,caregiver_1_3,caregiver,precision_oriented_subset,rf_recall_guard__pos_weight_low,52453270ea77,20260712,none,default_0_5,0.5,24,no,0.7423572677734375,0.12171927405291005
6,depression__caregiver_1_3,stage1_local_search,depression,caregiver_1_3,caregiver,precision_oriented_subset,rf_recall_guard__pos_weight_mid,e8142edcb683,20260712,none,default_0_5,0.5,24,no,0.7289182649724419,0.11250846140330084
7,depression__caregiver_1_3,stage1_local_search,depression,caregiver_1_3,caregiver,precision_oriented_subset,rf_recall_guard__pos_weight_high,d2d425b3c780,20260712,none,default_0_5,0.5,24,no,0.7289122901268358,0.11580555913686652
8,depression__caregiver_1_3,stage1_local_search,depression,caregiver_1_3,caregiver,precision_oriented_subset,rf_recall_guard__shallow_precision,b45313a781bf,20260712,none,default_0_5,0.5,24,no,0.7261324261572484,0.07026041765818458
9,depression__caregiver_1_3,stage1_local_search,depression,caregiver_1_3,caregiver,full_eligible,rf_recall_guard,ff359d03bdfa,20260712,none,default_0_5,0.5,59,no,0.7339006880237476,0.1359552123306602
10,depression__caregiver_1_3,stage1_local_search,depression,caregiver_1_3,caregiver,full_eligible,rf_recall_guard__trees_plus,8bc7f573cd23,20260712,none,default_0_5,0.5,59,no,0.7335457542868857,0.1311139327620856
11,depression__caregiver_1_3,stage1_local_search,depression,caregiver_1_3,caregiver,full_eligible,rf_recall_guard__regularized,acc5f35fda2b,20260712,none,default_0_5,0.5,59,no,0.7325010034725017,0.09357069874448731
