domain,mode,role,active_model_required,active_model_id,source_line,source_campaign,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,final_operational_class,overfit_flag,generalization_flag,dataset_ease_flag,confidence_pct,confidence_band,operational_caveat,recommended_for_default_use,notes,feature_list_pipe
anxiety,psychologist_2_3,psychologist,yes,anxiety__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_2_3,rf_recall_guarded,none,balanced_recall_specificity,0.3999999999999999,20270529.0,33,0.8556701030927835,0.9651162790697675,0.9644670050761421,0.9647916420729548,0.907103825136612,0.9943631212371621,0.975020175202338,0.028287425001016987,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.4,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,sep_anx_impairment|sep_anx_duration_weeks|age_years|gad_duration_months|agor_escape_help_cognition|gad_difficulty_controlling_worry|gad_assoc_06_sleep_problems|social_anxiety_duration_months|sep_anx_04_refuses_leaving_home_school|social_anxiety_fear_negative_evaluation|gad_impairment|gad_assoc_05_muscle_tension|agor_avoid_or_need_companion|agor_fear_01_public_transport|agor_fear_04_crowds_queues|sep_anx_07_separation_nightmares|gad_assoc_01_restlessness|gad_assoc_03_concentration_difficulty|gad_assoc_02_fatigue|sep_anx_03_worry_event_causing_separation|agor_fear_05_outside_home_alone|sep_anx_02_worry_losing_attachment_figures|social_anxiety_fear_performance|sep_anx_05_fear_being_alone_without_attachment|gad_excessive_worry_multiple_areas|sep_anx_01_distress_on_separation|gad_assoc_04_irritability|sep_anx_08_physical_complaints_on_separation|agor_duration_months|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_fear_interactions|social_anxiety_impairment
anxiety,psychologist_full,psychologist,yes,anxiety__psychologist_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_full,rf_recall_balanced_manual,none,balanced_recall_specificity,0.4099999999999999,20270529.0,49,0.8736842105263158,0.9651162790697675,0.9695431472081218,0.9673297131389447,0.9171270718232044,0.9940679966946052,0.9745363432434598,0.029139088120931963,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.9,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,sep_anx_impairment|sep_anx_duration_weeks|age_years|gad_duration_months|agor_escape_help_cognition|gad_difficulty_controlling_worry|gad_assoc_06_sleep_problems|social_anxiety_duration_months|sep_anx_04_refuses_leaving_home_school|social_anxiety_fear_negative_evaluation|gad_impairment|gad_assoc_05_muscle_tension|agor_avoid_or_need_companion|gad_not_better_explained|agor_fear_01_public_transport|agor_fear_04_crowds_queues|sep_anx_07_separation_nightmares|gad_assoc_01_restlessness|gad_assoc_03_concentration_difficulty|gad_assoc_02_fatigue|sep_anx_03_worry_event_causing_separation|agor_fear_05_outside_home_alone|sep_anx_02_worry_losing_attachment_figures|social_anxiety_fear_performance|sep_anx_05_fear_being_alone_without_attachment|gad_excessive_worry_multiple_areas|sep_anx_01_distress_on_separation|gad_assoc_04_irritability|agor_almost_always_triggered|social_anxiety_disproportionate|sep_anx_08_physical_complaints_on_separation|agor_duration_months|social_anxiety_almost_always_triggered|sep_anx_06_refuses_sleep_away_or_alone|social_anxiety_fear_interactions|social_anxiety_impairment|agor_fear_03_enclosed_spaces|social_anxiety_fear_being_observed|agor_impairment|social_anxiety_avoid_or_endure_intense|agor_fear_02_open_spaces|agor_disproportionate|social_anxiety_not_better_explained|social_anxiety_children_peer_only_flag|gad_not_due_substance_medical|sep_anx_not_better_explained|agor_not_better_explained|agor_not_excessive_due_medical|social_anxiety_not_due_substance_medical
conduct,caregiver_1_3,caregiver,yes,conduct__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_1_3,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.05,20270511.0,8,0.9815950920245399,1.0,0.990625,0.9953125,0.9907120743034056,0.99935546875,0.9985714042970324,0.003791155857556285,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.9,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,conduct_impairment_global|conduct_09_property_destruction|conduct_03_weapon_use|conduct_06_steals_confronting_victim|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_01_bullies_threatens_intimidates|conduct_05_physical_cruelty_animals
conduct,caregiver_2_3,caregiver,yes,conduct__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_2_3,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.58,20270529.0,15,0.9937888198757764,1.0,0.996875,0.9984375,0.9968847352024922,0.9996289062500001,0.9992177331965124,0.0033532083724903128,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.9,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,conduct_impairment_global|conduct_09_property_destruction|conduct_03_weapon_use|conduct_06_steals_confronting_victim|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_01_bullies_threatens_intimidates|conduct_05_physical_cruelty_animals|conduct_11_lies_to_obtain_or_avoid|conduct_07_forced_sex|conduct_14_runs_away_overnight|conduct_12_steals_without_confrontation|conduct_02_initiates_fights|conduct_13_stays_out_at_night_before_13|conduct_10_breaks_into_house_building_car
conduct,caregiver_full,caregiver,yes,conduct__caregiver_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_full,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.59,20270529.0,22,0.9937888198757764,1.0,0.996875,0.9984375,0.9968847352024922,0.9995703125,0.9990847500137279,0.0038188095685123104,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.9,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,conduct_impairment_global|conduct_09_property_destruction|conduct_03_weapon_use|conduct_06_steals_confronting_victim|conduct_15_truancy_before_13|conduct_08_fire_setting|conduct_01_bullies_threatens_intimidates|conduct_05_physical_cruelty_animals|conduct_11_lies_to_obtain_or_avoid|conduct_07_forced_sex|conduct_14_runs_away_overnight|conduct_12_steals_without_confrontation|conduct_02_initiates_fights|conduct_13_stays_out_at_night_before_13|conduct_lpe_04_shallow_deficient_affect|conduct_10_breaks_into_house_building_car|conduct_lpe_02_callous_lack_empathy|conduct_lpe_01_lack_remorse_guilt|conduct_04_physical_cruelty_people|conduct_lpe_03_unconcerned_performance|age_years|conduct_onset_before_10
conduct,psychologist_1_3,psychologist,yes,conduct__psychologist_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_1_3,rf_balanced_subsample,none,recall_target_090,0.37999999999999995,20270529.0,8,0.7956989247311828,0.925,0.88125,0.903125,0.8554913294797688,0.9598437500000001,0.9179496727288678,0.07630165512126948,ACTIVE_HIGH_CONFIDENCE,no,yes,no,89.6,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,conduct_09_property_destruction|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_08_fire_setting|conduct_15_truancy_before_13|conduct_11_lies_to_obtain_or_avoid|conduct_02_initiates_fights|conduct_01_bullies_threatens_intimidates
conduct,psychologist_2_3,psychologist,yes,conduct__psychologist_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_2_3,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.72,20270529.0,16,0.9937888198757764,1.0,0.996875,0.9984375,0.9968847352024922,0.9995898437499999,0.9991293928708709,0.003384332205609512,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.9,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,conduct_impairment_global|conduct_09_property_destruction|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_08_fire_setting|conduct_15_truancy_before_13|conduct_11_lies_to_obtain_or_avoid|conduct_02_initiates_fights|conduct_01_bullies_threatens_intimidates|conduct_05_physical_cruelty_animals|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|conduct_07_forced_sex|conduct_13_stays_out_at_night_before_13|conduct_10_breaks_into_house_building_car|conduct_04_physical_cruelty_people
conduct,psychologist_full,psychologist,yes,conduct__psychologist_full__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_full,rf_high_recall_push,sigmoid,balanced_recall_specificity,0.5499999999999999,20270529.0,23,0.9937888198757764,1.0,0.996875,0.9984375,0.9968847352024922,0.9995703125,0.9990847500137279,0.0036815885799210096,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.9,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,conduct_impairment_global|conduct_09_property_destruction|conduct_06_steals_confronting_victim|conduct_03_weapon_use|conduct_08_fire_setting|conduct_15_truancy_before_13|conduct_11_lies_to_obtain_or_avoid|conduct_02_initiates_fights|conduct_01_bullies_threatens_intimidates|conduct_05_physical_cruelty_animals|conduct_12_steals_without_confrontation|conduct_14_runs_away_overnight|conduct_07_forced_sex|conduct_lpe_02_callous_lack_empathy|conduct_13_stays_out_at_night_before_13|conduct_lpe_04_shallow_deficient_affect|conduct_10_breaks_into_house_building_car|conduct_04_physical_cruelty_people|conduct_lpe_03_unconcerned_performance|conduct_lpe_01_lack_remorse_guilt|age_years|conduct_onset_before_10|conduct_no_antisocial_personality_if_18plus
depression,caregiver_1_3,caregiver,yes,depression__caregiver_1_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_1_3,rf_recall_guarded,none,balanced_recall_specificity,0.62,20270529.0,10,0.8387096774193549,0.9512195121951219,0.9623115577889447,0.9567655349920333,0.8914285714285715,0.9829329574702782,0.8887106422223056,0.04944904219023849,ACTIVE_HIGH_CONFIDENCE,no,yes,no,93.1,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,mdd_duration_weeks|mdd_impairment|mdd_02_loss_of_interest_or_pleasure|pdd_depressed_or_irritable_mood|pdd_duration_months_child|mdd_05_psychomotor_change|mdd_09_death_or_suicidal_thoughts|mdd_08_concentration_or_decision_difficulty|dmdd_duration_months|mdd_03_weight_or_appetite_change
depression,caregiver_2_3,caregiver,yes,depression__caregiver_2_3__hybrid_domain_specialized_rf_v17__rf__domain_strict_v17,v17_domain_specialized_rf,hybrid_domain_specialized_rf_v17,rf,domain_strict_2_3,rf_sparse_stability,none,balanced_recall_specificity,0.5599999999999999,20270511.0,18,0.7788461538461539,0.9878048780487805,0.9422110552763819,0.9650079666625813,0.8709677419354839,0.9845262899865179,0.8881842844277638,0.05481272791400382,ACTIVE_HIGH_CONFIDENCE,no,yes,no,94.2,high,none,yes,hybrid_domain_specialized_rf_v17:domain_strict_rf_specialization;no_question_wording_changes,mdd_duration_weeks|mdd_impairment|mdd_02_loss_of_interest_or_pleasure|pdd_depressed_or_irritable_mood|pdd_duration_months_child|mdd_05_psychomotor_change|mdd_09_death_or_suicidal_thoughts|mdd_08_concentration_or_decision_difficulty|dmdd_duration_months|mdd_03_weight_or_appetite_change|mdd_07_worthlessness_or_excessive_guilt|dmdd_irritable_between_outbursts|pdd_impairment|dmdd_outbursts_severity|dmdd_outbursts_frequency_per_week|pdd_01_appetite_change|pdd_05_concentration_difficulty|mdd_06_fatigue_or_low_energy
