route,variant,precision,recall,specificity,balanced_accuracy,pr_auc,brier,hybrid_score
A,direct_basic,0.8933317568129994,0.8528500846979108,0.9284287504580812,0.8906394175779958,0.9366466026861515,0.07438047190488405,0.822533918212206
C,caregiver_clean_core,0.8940563578258356,0.8465146809712027,0.9308244442379854,0.888669562604594,0.932128198887623,0.07409776763055742,0.8214045311247785
C,caregiver_clean_plus_optional_self,0.9003297243125068,0.8507949840015057,0.9336245324992387,0.8922097582503721,0.9380915186514546,0.07146156434425208,0.8099462534536247
B,intermediate_mapping,0.8912696845755137,0.8465278562017693,0.9295389717305916,0.8880334139661805,0.9334509691694247,0.07507746155472873,0.7486463182268341
