mode,route,variant,domain,best_config,selected_seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,seed_std,split_std,realism_shift_delta,missingness_sensitivity,partial_questionnaire_sensitivity,direct_fill_pct,derived_fill_pct,imputed_fill_pct,remaining_missing_pct,operational_complexity,maintenance_complexity,suspicious_perfect_score,overfit_risk,leakage_risk,combined_honesty_robustness,hybrid_score,margin_vs_runner_up,use_hybrid_yes_no
caregiver,A,direct_basic,conduct,rf_deep_650,11,21,0.9788690476190477,0.8625,0.9927184466019419,0.9276092233009708,0.9169736842105263,0.9807797330097087,0.9482241108631788,0.04062180106569163,0.002102003407243782,0.0012135922330097637,-0.0012135922330097637,0.00012135922330092086,0.023035497572815547,1.0,0.0,0.0,0.032134532134532136,1,1,no,low,low,0.87305573648641,0.8607909775891397,0.0027348738218302415,yes
caregiver,C,caregiver_clean_plus_optional_self,anxiety,rf_compact_350,29,214,0.8488824801730352,0.9696969696969697,0.9477272727272726,0.9587121212121211,0.9049618495440962,0.9807765151515152,0.9556105774532602,0.024271148532715087,0.006527912098338655,0.005681818181818232,-0.005681818181818232,0.01761363636363633,0.10378787878787873,1.0,0.0,0.0,0.09514084046794324,2,2,no,low,low,0.7307498965209247,0.8389700977970325,0.0004287461353914557,yes
caregiver,C,caregiver_clean_core,depression,rf_compact_350,83,18,0.854476267876493,0.9434782608695652,0.8918128654970761,0.9176455631833205,0.8967117626985214,0.9745296211543351,0.9555916966421907,0.05790444619248364,0.0037874753215674,0.002212051868802245,0.002212051868802245,0.028508771929824567,0.04737159928807527,1.0,0.0,0.0,0.06721056721056723,1,1,no,low,low,0.8081582347858092,0.8378648916679249,0.004772594160318389,yes
caregiver,C,caregiver_clean_core,adhd,rf_stability_500,83,23,0.9248695444040413,0.8400621118012422,0.912,0.8760310559006211,0.8804010161383036,0.9525652173913044,0.9575681689366806,0.0847429765820998,0.0036586908940093,0.0007763975155279379,0.0007763975155279379,-0.004844720496894356,-0.0019627329192546117,1.0,0.0,0.0,0.04393432654302219,1,1,no,low,low,0.8865298223515613,0.8280281216472756,0.001968439165905833,yes
caregiver,A,direct_basic,elimination,rf_compact_350,29,16,0.9104668823226808,0.6832298136645963,0.912,0.7976149068322982,0.7794194902943667,0.8690931677018634,0.8735884786250765,0.14789874012572626,0.00991772799851072,0.015950310559006198,0.015950310559006198,0.015968944099378907,0.14510559006211182,1.0,0.0,0.0,0.031031468531468535,1,1,no,low,low,0.7668587173695869,0.7532564656604162,0.0015376503130227759,yes
