domain,mode,baseline_f1,baseline_balanced_accuracy,stress_missing10_f1,stress_missing10_balanced_accuracy,stress_missing10_ba_drop,stress_drop_top1_f1,stress_drop_top1_balanced_accuracy,stress_drop_top1_ba_drop
adhd,caregiver_1_3,0.8018433179723502,0.9161338330944768,0.7707317073170732,0.8787619887553744,0.037371844339102456,0.7310924369747899,0.8889317605556168,0.027202072538859978
adhd,caregiver_2_3,0.8090909090909091,0.9254767941792525,0.784688995215311,0.8934240987763202,0.03205269540293232,0.7416666666666667,0.8995700584279572,0.025906735751295318
adhd,psychologist_1_3,0.7623318385650224,0.8951328409216184,0.6834170854271356,0.8137746665196781,0.08135817440194026,0.68,0.8601587476573697,0.03497409326424872
adhd,psychologist_2_3,0.8241206030150754,0.9063774666519678,0.7936507936507936,0.8730294344614706,0.0333480321904972,0.7922705314009661,0.8960147723514498,0.01036269430051806
anxiety,psychologist_1_3,0.8102564102564103,0.9212312595915476,0.7914438502673797,0.8959685987486719,0.02526266084287576,0.8125,0.9179553771691653,0.0032758824223823035
anxiety,psychologist_full,0.8409090909090909,0.9099279896116161,0.8048780487804879,0.8684925038366191,0.041435485774997005,0.0,0.5,0.40992798961161614
conduct,caregiver_2_3,0.8875739644970414,0.925,0.8848484848484849,0.91875,0.006250000000000089,0.8875739644970414,0.925,0.0
depression,caregiver_1_3,0.8457142857142858,0.9273501654614535,0.8301886792452831,0.888619928912857,0.03873023654859653,0.5344827586206896,0.6852555460227969,0.24209461943865662
depression,caregiver_2_3,0.8522727272727273,0.9334477264370633,0.7643312101910829,0.8470094374310577,0.08643828900600559,0.782051282051282,0.8556195612207378,0.07782816521632552
depression,psychologist_1_3,0.8220858895705522,0.8909486456673612,0.6950354609929078,0.7862176737345263,0.10473097193283487,0.36893203883495146,0.613341095722515,0.27760754994484615
depression,psychologist_2_3,0.8491620111731844,0.9370327245986028,0.7692307692307693,0.8482657188380929,0.08876700576050989,0.7741935483870968,0.849522000245128,0.08751072435347473
elimination,caregiver_1_3,0.8440366972477065,0.9294572250179727,0.8301886792452831,0.9113946800862689,0.018062544931703783,0.0,0.5,0.4294572250179727
elimination,caregiver_2_3,0.8440366972477065,0.9294572250179727,0.8301886792452831,0.9113946800862689,0.018062544931703783,0.0,0.5,0.4294572250179727
elimination,caregiver_full,0.8440366972477065,0.9294572250179727,0.7843137254901961,0.8729331416247305,0.05652408339324222,0.0,0.5,0.4294572250179727
elimination,psychologist_1_3,0.8440366972477065,0.9294572250179727,0.8076923076923077,0.8921639108554997,0.037293314162472946,0.0,0.5,0.4294572250179727
elimination,psychologist_2_3,0.8440366972477065,0.9294572250179727,0.7961165048543689,0.882548526240115,0.04690869877785764,0.0,0.5,0.4294572250179727
elimination,psychologist_full,0.8440366972477065,0.9294572250179727,0.7961165048543689,0.882548526240115,0.04690869877785764,0.0,0.5,0.4294572250179727
