mode,domain,feature_set_id,config_id,seed,calibration_method,val_brier,val_ece,stage,val_precision_at_0_5,val_recall_at_0_5,val_balanced_accuracy_at_0_5,holdout_precision_at_0_5,holdout_recall_at_0_5,holdout_balanced_accuracy_at_0_5
caregiver_full,anxiety,balanced_subset,rf_positive_push_strong,20260712,none,0.0222544989590157,0.027161440537507575,stage2,,,,,,
caregiver_full,anxiety,balanced_subset,rf_positive_push_strong,20260712,sigmoid,0.022603125977506907,0.03944682546066677,stage2,,,,,,
caregiver_full,anxiety,balanced_subset,rf_positive_push_strong,20260712,isotonic,0.01771730788360948,8.604166666258231e-07,stage2,,,,,,
caregiver_full,anxiety,balanced_subset,rf_positive_push_strong,20260729,none,0.021603551327716828,0.0240160268605605,stage2,,,,,,
caregiver_full,anxiety,balanced_subset,rf_positive_push_strong,20260729,sigmoid,0.02191027319318001,0.03807811403962744,stage2,,,,,,
caregiver_full,anxiety,balanced_subset,rf_positive_push_strong,20260729,isotonic,0.01718433613255872,8.541666666697137e-07,stage2,,,,,,
caregiver_full,anxiety,full_eligible,rf_baseline,20260712,none,0.028311905815205943,0.037508291931216936,stage2,,,,,,
caregiver_full,anxiety,full_eligible,rf_baseline,20260712,sigmoid,0.02771911234924381,0.033636637242279194,stage2,,,,,,
caregiver_full,anxiety,full_eligible,rf_baseline,20260712,isotonic,0.022876461989102013,7.979166666680446e-07,stage2,,,,,,
caregiver_full,anxiety,full_eligible,rf_baseline,20260729,none,0.02830997873233548,0.034178626444003525,stage2,,,,,,
caregiver_full,anxiety,full_eligible,rf_baseline,20260729,sigmoid,0.027475667223837767,0.03979500222467307,stage2,,,,,,
caregiver_full,anxiety,full_eligible,rf_baseline,20260729,isotonic,0.02313773236644854,7.749999999894596e-07,stage2,,,,,,
caregiver_full,anxiety,balanced_subset,rf_positive_push_strong,20260729,none,0.021603551327716828,0.0240160268605605,winner_eval,0.9120879120879121,0.9651162790697675,0.9724058552709244,0.9195402298850575,0.9302325581395349,0.9562330303388029
caregiver_full,anxiety,balanced_subset,rf_positive_push_strong,20260729,sigmoid,0.02191027319318001,0.03807811403962744,winner_eval,0.9285714285714286,0.9069767441860465,0.9458741588950537,0.925,0.8604651162790697,0.9226183449415652
caregiver_full,anxiety,balanced_subset,rf_positive_push_strong,20260729,isotonic,0.01718433613255872,8.541666666697137e-07,winner_eval,0.9120879120879121,0.9651162790697675,0.9724058552709244,0.9186046511627907,0.9186046511627907,0.9504190768504308
caregiver_full,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,none,0.0005527114526857058,0.004013441704270438,stage2,,,,,,
caregiver_full,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,sigmoid,0.0011364920651029634,0.029721425465561595,stage2,,,,,,
caregiver_full,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,isotonic,1.0000000000382807e-12,1.0000000000095253e-06,stage2,,,,,,
caregiver_full,conduct,stability_pruned_subset,rf_positive_push_strong,20260729,none,0.0004880151192205972,0.003908806751801709,stage2,,,,,,
caregiver_full,conduct,stability_pruned_subset,rf_positive_push_strong,20260729,sigmoid,0.0010937870921379016,0.02962420419036215,stage2,,,,,,
caregiver_full,conduct,stability_pruned_subset,rf_positive_push_strong,20260729,isotonic,1.0000000000382807e-12,1.0000000000095253e-06,stage2,,,,,,
caregiver_full,conduct,full_eligible,rf_baseline,20260712,none,0.026280374946246906,0.07654419439484125,stage2,,,,,,
caregiver_full,conduct,full_eligible,rf_baseline,20260712,sigmoid,0.01622887578202216,0.055810847484726075,stage2,,,,,,
caregiver_full,conduct,full_eligible,rf_baseline,20260712,isotonic,0.007685185186143517,9.583333333441183e-07,stage2,,,,,,
caregiver_full,conduct,full_eligible,rf_baseline,20260729,none,0.02416172992287283,0.06997233676697531,stage2,,,,,,
caregiver_full,conduct,full_eligible,rf_baseline,20260729,sigmoid,0.014678496005360935,0.0523239966091929,stage2,,,,,,
caregiver_full,conduct,full_eligible,rf_baseline,20260729,isotonic,0.006415343916310583,9.666666666762372e-07,stage2,,,,,,
caregiver_full,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,none,0.0005527114526857058,0.004013441704270438,winner_eval,1.0,1.0,1.0,1.0,1.0,1.0
caregiver_full,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,sigmoid,0.0011364920651029634,0.029721425465561595,winner_eval,1.0,1.0,1.0,1.0,1.0,1.0
caregiver_full,conduct,stability_pruned_subset,rf_positive_push_strong,20260712,isotonic,1.0000000000382807e-12,1.0000000000095253e-06,winner_eval,1.0,1.0,1.0,1.0,1.0,1.0
caregiver_full,depression,precision_oriented_subset,rf_positive_push_strong,20260712,none,0.03255209322076033,0.02659263907301803,stage2,,,,,,
caregiver_full,depression,precision_oriented_subset,rf_positive_push_strong,20260712,sigmoid,0.03484685418036514,0.0461441596014597,stage2,,,,,,
caregiver_full,depression,precision_oriented_subset,rf_positive_push_strong,20260712,isotonic,0.026616921273683772,5.125000000067287e-07,stage2,,,,,,
caregiver_full,depression,precision_oriented_subset,rf_positive_push_strong,20260729,none,0.033347740141214416,0.02824764060449868,stage2,,,,,,
caregiver_full,depression,precision_oriented_subset,rf_positive_push_strong,20260729,sigmoid,0.03608648478662788,0.04275453398623842,stage2,,,,,,
caregiver_full,depression,precision_oriented_subset,rf_positive_push_strong,20260729,isotonic,0.026747199622005596,5.687499999746057e-07,stage2,,,,,,
caregiver_full,depression,full_eligible,rf_baseline,20260712,none,0.04790990692003868,0.03656015835537919,stage2,,,,,,
caregiver_full,depression,full_eligible,rf_baseline,20260712,sigmoid,0.04981427592982547,0.05322351176537015,stage2,,,,,,
caregiver_full,depression,full_eligible,rf_baseline,20260712,isotonic,0.04140121877924865,5.916666666776017e-07,stage2,,,,,,
caregiver_full,depression,full_eligible,rf_baseline,20260729,none,0.04881184925639455,0.029013798611111103,stage2,,,,,,
caregiver_full,depression,full_eligible,rf_baseline,20260729,sigmoid,0.05069746928505981,0.05653374933428232,stage2,,,,,,
caregiver_full,depression,full_eligible,rf_baseline,20260729,isotonic,0.04226701770621067,6.166666666635853e-07,stage2,,,,,,
caregiver_full,depression,precision_oriented_subset,rf_positive_push_strong,20260729,none,0.033347740141214416,0.02824764060449868,winner_eval,0.9178082191780822,0.8170731707317073,0.9009988969236427,0.9054054054054054,0.8170731707317073,0.8997426155166074
caregiver_full,depression,precision_oriented_subset,rf_positive_push_strong,20260729,sigmoid,0.03608648478662788,0.04275453398623842,winner_eval,0.9305555555555556,0.8170731707317073,0.9022551783306778,0.9428571428571428,0.8048780487804879,0.8974138987621032
caregiver_full,depression,precision_oriented_subset,rf_positive_push_strong,20260729,isotonic,0.026747199622005596,5.687499999746057e-07,winner_eval,0.875,0.9390243902439024,0.9556930996445643,0.8043478260869565,0.9024390243902439,0.9286064468684888
caregiver_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260712,none,0.0015873951051697615,0.0101046759540493,stage2,,,,,,
caregiver_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260712,sigmoid,0.002850605338139489,0.029794356302845975,stage2,,,,,,
caregiver_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260712,isotonic,1.0000000000318707e-12,9.999999999790607e-07,stage2,,,,,,
caregiver_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260729,none,0.0016722427580528846,0.01058851897164969,stage2,,,,,,
caregiver_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260729,sigmoid,0.002971233652207722,0.030059102255003117,stage2,,,,,,
caregiver_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260729,isotonic,1.0000000000318707e-12,9.999999999790607e-07,stage2,,,,,,
caregiver_full,elimination,full_eligible,rf_baseline,20260712,none,0.01592008023740175,0.044831850953483236,stage2,,,,,,
caregiver_full,elimination,full_eligible,rf_baseline,20260712,sigmoid,0.013259763932571384,0.04682093911664851,stage2,,,,,,
caregiver_full,elimination,full_eligible,rf_baseline,20260712,isotonic,0.005972222223197221,9.749999999601973e-07,stage2,,,,,,
caregiver_full,elimination,full_eligible,rf_baseline,20260729,none,0.015615892937910545,0.04310031476621374,stage2,,,,,,
caregiver_full,elimination,full_eligible,rf_baseline,20260729,sigmoid,0.012763230269182132,0.04605775242039087,stage2,,,,,,
caregiver_full,elimination,full_eligible,rf_baseline,20260729,isotonic,0.005138888889863888,9.74999999959332e-07,stage2,,,,,,
caregiver_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260712,none,0.0015873951051697615,0.0101046759540493,winner_eval,1.0,1.0,1.0,0.9811320754716981,1.0,0.9988317757009346
caregiver_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260712,sigmoid,0.002850605338139489,0.029794356302845975,winner_eval,1.0,1.0,1.0,1.0,0.9807692307692307,0.9903846153846154
caregiver_full,elimination,precision_oriented_subset,rf_positive_push_strong,20260712,isotonic,1.0000000000318707e-12,9.999999999790607e-07,winner_eval,1.0,1.0,1.0,1.0,0.9807692307692307,0.9903846153846154
psychologist_1_3,adhd,balanced_subset,rf_regularized,20260712,none,0.08130569796000547,0.05851589756968192,stage2,,,,,,
psychologist_1_3,adhd,balanced_subset,rf_regularized,20260712,sigmoid,0.07866236277447163,0.06341659462012843,stage2,,,,,,
