item,value
campaign_line,hybrid_rf_ceiling_push_v1
dataset_path,data/hybrid_dsm5_rebuild_v1/hybrid_dataset_synthetic_complete_final.csv
n_rows_dataset,2400
n_columns_dataset,224
n_domains,5
n_modes,6
n_mode_domain_pairs,30
rf_configs_explored,6
threshold_policies_explored,4
calibrations_explored,none|sigmoid|isotonic
stage2_seeds,20260412|20260429|20260513
trial_count_total,6264
winner_count,30
generated_at_utc,2026-04-12T09:39:12.388426+00:00
