domain,role,full_direct_feature_count,engineered_shortcuts_excluded,full_direct_features_pipe
elimination,caregiver,11,eng_elimination_intensity,encopresis_event_frequency_per_month|enuresis_event_frequency_per_week|enuresis_distress_impairment|encopresis_duration_months_consecutive|enuresis_duration_months_consecutive|encopresis_constipation_present|enuresis_diurnal|enuresis_nocturnal|encopresis_visible_deposition_pattern|enuresis_primary_course|enuresis_secondary_course
elimination,psychologist,14,eng_elimination_intensity,encopresis_event_frequency_per_month|enuresis_event_frequency_per_week|enuresis_distress_impairment|encopresis_duration_months_consecutive|enuresis_duration_months_consecutive|encopresis_not_due_substance_medical|enuresis_not_due_substance_medical|encopresis_constipation_present|enuresis_diurnal|enuresis_nocturnal|encopresis_overflow_incontinence|encopresis_visible_deposition_pattern|enuresis_primary_course|enuresis_secondary_course
