domain,mode,metric,ci_low,ci_high,ci_width
adhd,caregiver_1_3,balanced_accuracy,0.8329752604166667,0.9022186820502505,0.06924342163358377
adhd,caregiver_1_3,pr_auc,0.5290900200929877,0.7077715708200113,0.17868155072702363
adhd,caregiver_2_3,balanced_accuracy,0.8947212696719046,0.9426904121863798,0.04796914251447526
adhd,caregiver_2_3,pr_auc,0.6128253186766187,0.7983161839322741,0.1854908652556554
adhd,caregiver_full,balanced_accuracy,0.8788739669103903,0.9295120457694226,0.050638078859032265
adhd,caregiver_full,pr_auc,0.5911760656256142,0.7902552368523388,0.19907917122672458
adhd,psychologist_1_3,balanced_accuracy,0.8815645879311392,0.9295755906018907,0.048011002670751424
adhd,psychologist_1_3,pr_auc,0.5443379190086687,0.7149803643450953,0.17064244533642658
adhd,psychologist_2_3,balanced_accuracy,0.8813959039837445,0.9403518567521905,0.05895595276844601
adhd,psychologist_2_3,pr_auc,0.6246964138394351,0.8039621377265327,0.1792657238870976
adhd,psychologist_full,balanced_accuracy,0.9329887039547587,0.9766136540724679,0.04362495011770917
adhd,psychologist_full,pr_auc,0.9239468338061909,0.9906534704014712,0.06670663659528031
anxiety,caregiver_1_3,balanced_accuracy,0.8613070556509775,0.9380325028147921,0.07672544716381458
anxiety,caregiver_1_3,pr_auc,0.80587018878644,0.9143475816226365,0.1084773928361965
anxiety,caregiver_2_3,balanced_accuracy,0.9369710853266536,0.9796473096160672,0.042676224289413534
anxiety,caregiver_2_3,pr_auc,0.9189112706602449,0.9792480838686726,0.06033681320842765
anxiety,caregiver_full,balanced_accuracy,0.9441004754174397,0.9816807480367892,0.037580272619349486
anxiety,caregiver_full,pr_auc,0.9224676956467539,0.9803906581963162,0.05792296254956231
anxiety,psychologist_1_3,balanced_accuracy,0.8398939079762665,0.9177807310726792,0.0778868230964127
anxiety,psychologist_1_3,pr_auc,0.815114438075642,0.9172672542636765,0.10215281618803451
anxiety,psychologist_2_3,balanced_accuracy,0.9490546426776681,0.9794703751065644,0.03041573242889628
anxiety,psychologist_2_3,pr_auc,0.9345790032534818,0.9819345247481959,0.047355521494714115
anxiety,psychologist_full,balanced_accuracy,0.9517648026315789,0.9803828265548515,0.028618023923272617
anxiety,psychologist_full,pr_auc,0.9182674381453885,0.9775907274837377,0.05932328933834918
conduct,caregiver_1_3,balanced_accuracy,0.8516540750915752,0.9120545955835475,0.06040052049197231
conduct,caregiver_1_3,pr_auc,0.8926003067983861,0.9585067725773736,0.06590646577898751
conduct,caregiver_2_3,balanced_accuracy,0.808600639329806,0.8797164073445756,0.0711157680147696
conduct,caregiver_2_3,pr_auc,0.8927296860027565,0.9554387942983108,0.06270910829555432
conduct,caregiver_full,balanced_accuracy,0.995157258064516,1.0,0.004842741935483952
conduct,caregiver_full,pr_auc,0.9999999999999998,1.0,2.220446049250313e-16
conduct,psychologist_1_3,balanced_accuracy,0.8377113832180095,0.9059582577780788,0.06824687456006928
conduct,psychologist_1_3,pr_auc,0.8964599821313336,0.9611390054479604,0.06467902331662678
conduct,psychologist_2_3,balanced_accuracy,0.9017651990427786,0.9359326049580285,0.034167405915249915
conduct,psychologist_2_3,pr_auc,0.8696194104382616,0.9427571382663833,0.07313772782812167
conduct,psychologist_full,balanced_accuracy,0.995157258064516,1.0,0.004842741935483952
conduct,psychologist_full,pr_auc,0.9995426797939102,1.0,0.0004573202060897952
depression,caregiver_1_3,balanced_accuracy,0.8017060194728259,0.8965888299020092,0.09488281042918323
depression,caregiver_1_3,pr_auc,0.7180518848046182,0.873243908840075,0.15519202403545673
depression,caregiver_2_3,balanced_accuracy,0.894928678229665,0.9527993551558984,0.05787067692623338
depression,caregiver_2_3,pr_auc,0.8809147893002278,0.9550314828943236,0.07411669359409578
depression,caregiver_full,balanced_accuracy,0.7785713793252884,0.88777179432379,0.10920041499850164
depression,caregiver_full,pr_auc,0.8621050001250886,0.9441344661999868,0.08202946607489814
depression,psychologist_1_3,balanced_accuracy,0.8274947051156729,0.9113832149826672,0.08388850986699425
depression,psychologist_1_3,pr_auc,0.7056339529233062,0.8577451804589092,0.15211122753560302
depression,psychologist_2_3,balanced_accuracy,0.9027949450646819,0.9586239340427032,0.05582898897802124
depression,psychologist_2_3,pr_auc,0.8807169051424724,0.9622919854540701,0.08157508031159777
depression,psychologist_full,balanced_accuracy,0.8071970868142945,0.910466561017831,0.1032694742035365
depression,psychologist_full,pr_auc,0.893819479949291,0.9594613144663882,0.06564183451709715
elimination,caregiver_1_3,balanced_accuracy,0.8990683815846088,0.9714703803152354,0.07240199873062658
elimination,caregiver_1_3,pr_auc,0.888702271563903,0.9690023471316644,0.08030007556776142
elimination,caregiver_2_3,balanced_accuracy,0.9904076186970924,0.9988429236587846,0.008435304961692203
elimination,caregiver_2_3,pr_auc,0.9966532561044757,1.0000000000000002,0.0033467438955244733
elimination,caregiver_full,balanced_accuracy,0.990863332271424,0.9988558352402745,0.007992502968850568
elimination,caregiver_full,pr_auc,0.9979209008724764,1.0000000000000002,0.002079099127523798
elimination,psychologist_1_3,balanced_accuracy,0.8993914314140032,0.9726326400582532,0.07324120864424999
elimination,psychologist_1_3,pr_auc,0.8941752882170263,0.974449614345087,0.08027432612806074
elimination,psychologist_2_3,balanced_accuracy,0.9904076186970924,0.9988429236587846,0.008435304961692203
elimination,psychologist_2_3,pr_auc,0.9979209008724766,1.0000000000000002,0.002079099127523576
elimination,psychologist_full,balanced_accuracy,0.9904076186970924,0.9988429236587846,0.008435304961692203
elimination,psychologist_full,pr_auc,0.9958195871259865,1.0000000000000002,0.004180412874013717
