domain,champion_metadata_path,model_id_or_version,metadata_version,n_features_total,feature_order,feature_name
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,21,has_sdq
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,22,sdq_conduct_problems
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,23,sdq_emotional_symptoms
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,24,sdq_hyperactivity_inattention
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,25,sdq_impact
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,26,sdq_peer_problems
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,27,sdq_prosocial_behavior
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,28,sdq_total_difficulties
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,29,has_ysr
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,30,ysr_aggressive_behavior_proxy
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,31,ysr_anxious_depressed_proxy
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,32,ysr_attention_problems_proxy
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,33,ysr_externalizing_proxy
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,34,ysr_internalizing_proxy
adhd,models/champions/rf_adhd_current/metadata.json,dataset_adhd_clinical__strict_no_leakage,strict_no_leakage,35,35,ysr_rule_breaking_proxy
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,1,age_years
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,2,sex_assigned_at_birth
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,3,site
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,4,release
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,5,has_icut
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,6,icut_total
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,7,has_ari_p
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,8,ari_p_symptom_total
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,9,has_ari_sr
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,10,ari_sr_symptom_total
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,11,has_cbcl
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,12,cbcl_aggressive_behavior_proxy
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,13,cbcl_anxious_depressed_proxy
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,14,cbcl_attention_problems_proxy
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,15,cbcl_externalizing_proxy
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,16,cbcl_internalizing_proxy
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,17,cbcl_rule_breaking_proxy
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,18,has_sdq
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,19,sdq_conduct_problems
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,20,sdq_emotional_symptoms
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,21,sdq_hyperactivity_inattention
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,22,sdq_impact
conduct,models/champions/rf_conduct_current/metadata.json,dataset_conduct_minimal__strict_no_leakage,strict_no_leakage,23,23,sdq_total_difficulties
anxiety,models/champions/rf_anxiety_current/metadata.json,dataset_anxiety_items__strict_no_leakage,strict_no_leakage,260,1,age_years
anxiety,models/champions/rf_anxiety_current/metadata.json,dataset_anxiety_items__strict_no_leakage,strict_no_leakage,260,2,sex_assigned_at_birth
anxiety,models/champions/rf_anxiety_current/metadata.json,dataset_anxiety_items__strict_no_leakage,strict_no_leakage,260,3,site
anxiety,models/champions/rf_anxiety_current/metadata.json,dataset_anxiety_items__strict_no_leakage,strict_no_leakage,260,4,release
anxiety,models/champions/rf_anxiety_current/metadata.json,dataset_anxiety_items__strict_no_leakage,strict_no_leakage,260,5,has_scared_p
anxiety,models/champions/rf_anxiety_current/metadata.json,dataset_anxiety_items__strict_no_leakage,strict_no_leakage,260,6,scared_p_01
anxiety,models/champions/rf_anxiety_current/metadata.json,dataset_anxiety_items__strict_no_leakage,strict_no_leakage,260,7,scared_p_02
anxiety,models/champions/rf_anxiety_current/metadata.json,dataset_anxiety_items__strict_no_leakage,strict_no_leakage,260,8,scared_p_03
anxiety,models/champions/rf_anxiety_current/metadata.json,dataset_anxiety_items__strict_no_leakage,strict_no_leakage,260,9,scared_p_04
anxiety,models/champions/rf_anxiety_current/metadata.json,dataset_anxiety_items__strict_no_leakage,strict_no_leakage,260,10,scared_p_05
anxiety,models/champions/rf_anxiety_current/metadata.json,dataset_anxiety_items__strict_no_leakage,strict_no_leakage,260,11,scared_p_06
