mode,domain,feature_set_id,n_features,feature_list_pipe,construction_rule
caregiver_1_3,adhd,balanced_subset,32,adhd_hyperimpulsive_symptom_count|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_inattention_symptom_count|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_serious_rule_violation_count|conduct_symptom_count_12m|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|mdd_06_fatigue_or_low_energy|mdd_symptom_count,importance-driven with correlation pruning
caregiver_1_3,adhd,compact_robust_subset,27,adhd_hyperimpulsive_symptom_count|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_07_blurts_out|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_inattention_symptom_count|conduct_02_initiates_fights|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_aggression_count|conduct_recent_6m_count|conduct_serious_rule_violation_count|conduct_symptom_count_12m|dmdd_outbursts_frequency_per_week|mdd_symptom_count,top 45pct by RF importance
caregiver_1_3,adhd,full_eligible,59,adhd_hyperimpulsive_symptom_count|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_inattention_symptom_count|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|conduct_aggression_count|conduct_deceit_theft_count|conduct_destruction_count|conduct_recent_6m_count|conduct_serious_rule_violation_count|conduct_symptom_count_12m|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|enuresis_event_frequency_per_week|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_core_symptom_met|mdd_symptom_count|sep_anx_01_distress_on_separation,all eligible features under mode respondability constraints
caregiver_1_3,adhd,precision_oriented_subset,24,adhd_hyperimpulsive_symptom_count|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_05_driven_by_motor|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_inattention_symptom_count|conduct_02_initiates_fights|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_aggression_count|conduct_deceit_theft_count|conduct_destruction_count|conduct_recent_6m_count|conduct_symptom_count_12m,top 40pct by class-separation effect size
caregiver_1_3,adhd,top_importance_filtered,41,adhd_hyperimpulsive_symptom_count|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_inattention_symptom_count|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_04_physical_cruelty_people|conduct_06_steals_confronting_victim|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_15_truancy_before_13|conduct_aggression_count|conduct_deceit_theft_count|conduct_recent_6m_count|conduct_serious_rule_violation_count|conduct_symptom_count_12m|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_symptom_count,top 70pct by RF importance
caregiver_1_3,anxiety,balanced_subset,32,adhd_hyperimpulsive_symptom_count|adhd_hypimp_01_fidgets|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_08_easily_distracted|adhd_inattention_symptom_count|conduct_recent_6m_count|conduct_serious_rule_violation_count|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_core_symptom_met|mdd_symptom_count|sep_anx_01_distress_on_separation,importance-driven with correlation pruning
caregiver_1_3,anxiety,compact_robust_subset,27,adhd_hyperimpulsive_symptom_count|adhd_hypimp_01_fidgets|adhd_hypimp_05_driven_by_motor|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_06_avoids_sustained_effort|adhd_inattention_symptom_count|conduct_aggression_count|conduct_recent_6m_count|conduct_serious_rule_violation_count|conduct_symptom_count_12m|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_core_symptom_met|mdd_symptom_count|sep_anx_01_distress_on_separation,top 45pct by RF importance
caregiver_1_3,anxiety,full_eligible,59,adhd_hyperimpulsive_symptom_count|adhd_hypimp_01_fidgets|adhd_hypimp_02_leaves_seat|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_inattention_symptom_count|conduct_01_bullies_threatens_intimidates|conduct_02_initiates_fights|conduct_03_weapon_use|conduct_04_physical_cruelty_people|conduct_05_physical_cruelty_animals|conduct_06_steals_confronting_victim|conduct_07_forced_sex|conduct_08_fire_setting|conduct_09_property_destruction|conduct_10_breaks_into_house_building_car|conduct_11_lies_to_obtain_or_avoid|conduct_12_steals_without_confrontation|conduct_13_stays_out_at_night_before_13|conduct_14_runs_away_overnight|conduct_15_truancy_before_13|conduct_aggression_count|conduct_deceit_theft_count|conduct_destruction_count|conduct_recent_6m_count|conduct_serious_rule_violation_count|conduct_symptom_count_12m|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|encopresis_event_frequency_per_month|enuresis_event_frequency_per_week|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_core_symptom_met|mdd_symptom_count|sep_anx_01_distress_on_separation,all eligible features under mode respondability constraints
caregiver_1_3,anxiety,precision_oriented_subset,24,adhd_hyperimpulsive_symptom_count|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_09_forgetful_daily_activities|adhd_inattention_symptom_count|conduct_aggression_count|conduct_recent_6m_count|conduct_symptom_count_12m|dmdd_irritable_between_outbursts|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_core_symptom_met|mdd_symptom_count|sep_anx_01_distress_on_separation,top 40pct by class-separation effect size
caregiver_1_3,anxiety,top_importance_filtered,41,adhd_hyperimpulsive_symptom_count|adhd_hypimp_01_fidgets|adhd_hypimp_03_runs_or_climbs_inappropriately|adhd_hypimp_04_cannot_play_quietly|adhd_hypimp_05_driven_by_motor|adhd_hypimp_06_talks_excessively|adhd_hypimp_07_blurts_out|adhd_hypimp_08_difficulty_waiting_turn|adhd_hypimp_09_interrupts_intrudes|adhd_inatt_01_attention_to_detail_errors|adhd_inatt_02_sustained_attention_difficulty|adhd_inatt_03_seems_not_listening|adhd_inatt_04_fails_to_finish_tasks|adhd_inatt_05_organization_difficulty|adhd_inatt_06_avoids_sustained_effort|adhd_inatt_07_loses_things|adhd_inatt_08_easily_distracted|adhd_inatt_09_forgetful_daily_activities|adhd_inattention_symptom_count|conduct_02_initiates_fights|conduct_aggression_count|conduct_recent_6m_count|conduct_serious_rule_violation_count|conduct_symptom_count_12m|dmdd_irritable_between_outbursts|dmdd_outbursts_frequency_per_week|enuresis_event_frequency_per_week|gad_difficulty_controlling_worry|gad_excessive_worry_multiple_areas|mdd_01_depressed_or_irritable_mood|mdd_02_loss_of_interest_or_pleasure|mdd_03_weight_or_appetite_change|mdd_04_sleep_change|mdd_05_psychomotor_change|mdd_06_fatigue_or_low_energy|mdd_07_worthlessness_or_excessive_guilt|mdd_08_concentration_or_decision_difficulty|mdd_09_death_or_suicidal_thoughts|mdd_core_symptom_met|mdd_symptom_count|sep_anx_01_distress_on_separation,top 70pct by RF importance
