mode,delta_precision_v12_vs_baseline,delta_recall_v12_vs_baseline,delta_specificity_v12_vs_baseline,delta_ba_v12_vs_baseline,delta_f1_v12_vs_baseline,delta_pr_auc_v12_vs_baseline,delta_brier_v12_vs_baseline,delta_precision_v12_vs_v11,delta_recall_v12_vs_v11,delta_specificity_v12_vs_v11,delta_ba_v12_vs_v11,delta_f1_v12_vs_v11,delta_pr_auc_v12_vs_v11,delta_brier_v12_vs_v11,delta_stress_robustness_v12,delta_output_readiness_v12_vs_baseline
caregiver,-0.05027813436029105,0.11801242236024845,-0.08000000000000007,0.019006211180124244,0.04767583134590281,,-0.012623641365167942,-0.125,-0.11801242236024845,-0.15200000000000002,-0.13500621118012424,-0.12140575079872196,-0.06993583042456042,0.10089754230285265,-0.06484472049689449,uncertainty_preferred
psychologist,-0.07805885910098775,0.16770186335403725,-0.128,0.01985093167701868,0.0610583742498636,,-0.009945563694652992,-0.15243902439024393,-0.07453416149068326,-0.19999999999999996,-0.13726708074534166,-0.11256410256410254,-0.07411689874656369,0.10040141656734691,-0.088472049689441,uncertainty_preferred
