mode,domain,selected_operating_mode,precision,recall,specificity,balanced_accuracy,f1,pr_auc,brier,worst_stress_ba,shortcut_max_metric_diff,shortcut_independence,probability_ready,risk_band_ready,confidence_ready,uncertainty_ready,professional_detail_ready,final_output_status,visible_user_prob_cap,visible_prof_prob_cap,extreme_performance_audit_trigger
caregiver,elimination,conservative_probability,0.868421052631579,0.8198757763975155,0.84,0.8299378881987578,0.8434504792332268,0.9152986120374738,0.13595883397085926,0.7650931677018633,0.16000000000000003,yes,yes,yes,no,no,yes,uncertainty_preferred,"[0.01,0.99]","[0.005,0.995]",no
psychologist,elimination,balanced,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.7432049689440994,0.19999999999999996,yes,yes,yes,yes,yes,yes,uncertainty_preferred,"[0.01,0.99]","[0.005,0.995]",no
