mode,route,domain,config_id,seed,n_features,calibration,threshold,val_balanced_accuracy,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,missing15_delta,missing30_delta,direct_fill_pct,derived_fill_pct,imputed_fill_pct,remaining_missing_pct
psychologist,P,adhd,rf_compact,11,35,none,0.665,0.8952546583850931,0.950354609929078,0.8322981366459627,0.944,0.8881490683229813,0.8874172185430463,0.9554782608695652,0.9672018031707582,0.08317154684223355,0.017316770186335373,0.019527950310558984,1.0,0.0,0.0,0.36333666333666326
psychologist,P,adhd,rf_compact,29,35,none,0.665,0.8970434782608696,0.9507042253521126,0.8385093167701864,0.944,0.8912546583850931,0.8910891089108911,0.9573664596273291,0.9688575674420887,0.08261905093510687,0.01642236024844712,0.005316770186335362,1.0,0.0,0.0,0.36333666333666326
psychologist,P,adhd,rf_compact,47,35,none,0.6500000000000001,0.8952546583850931,0.9375,0.8385093167701864,0.928,0.8832546583850932,0.8852459016393442,0.9580621118012422,0.9695211191725529,0.08218211160530924,0.0031055900621118626,0.008422360248447225,1.0,0.0,0.0,0.36333666333666326
psychologist,P,adhd,rf_stability,11,35,none,0.6200000000000001,0.8965714285714286,0.9305555555555556,0.8322981366459627,0.92,0.8761490683229813,0.8786885245901639,0.9557267080745342,0.9679257466158829,0.08357050594997294,0.006211180124223503,0.005316770186335362,1.0,0.0,0.0,0.36333666333666326
psychologist,P,adhd,rf_stability,29,35,none,0.6600000000000001,0.898360248447205,0.9436619718309859,0.8322981366459627,0.936,0.8841490683229813,0.8844884488448845,0.9533416149068323,0.9658466293608682,0.08544559777857606,0.006211180124223503,-0.0048944099378882555,1.0,0.0,0.0,0.36333666333666326
psychologist,P,adhd,rf_stability,47,35,none,0.665,0.902360248447205,0.9370629370629371,0.8322981366459627,0.928,0.8801490683229813,0.881578947368421,0.9548819875776398,0.9668763121585603,0.08437220471011536,0.009316770186335366,0.005316770186335362,1.0,0.0,0.0,0.36333666333666326
psychologist,P,conduct,rf_compact,11,23,platt,0.32500000000000007,0.9604368932038835,0.9452054794520548,0.8625,0.9805825242718447,0.9215412621359224,0.9019607843137255,0.9872572815533981,0.9721301866165366,0.04341173039662999,-0.001395631067961145,0.0038228155339806724,1.0,0.0,0.0,0.033140772271207056
psychologist,P,conduct,rf_compact,29,23,platt,0.20500000000000002,0.9632281553398059,0.9102564102564102,0.8875,0.9660194174757282,0.9267597087378641,0.8987341772151899,0.9865291262135922,0.9709917921572289,0.043686784733721507,0.006917475728155376,-0.00279126213592229,1.0,0.0,0.0,0.033140772271207056
psychologist,P,conduct,rf_compact,47,23,platt,0.35500000000000004,0.9604368932038835,0.9324324324324325,0.8625,0.9757281553398058,0.9191140776699029,0.8961038961038961,0.9856796116504853,0.9692107557982556,0.04448562747705215,-0.006249999999999978,-0.008677184466019394,1.0,0.0,0.0,0.033140772271207056
psychologist,P,conduct,rf_stability,11,23,none,0.395,0.9604368932038835,0.9333333333333333,0.875,0.9757281553398058,0.9253640776699029,0.9032258064516129,0.987621359223301,0.972287788587979,0.04035635947855116,0.018749999999999933,0.032645631067961145,1.0,0.0,0.0,0.033140772271207056
psychologist,P,conduct,rf_stability,29,23,none,0.41000000000000003,0.9604368932038835,0.9452054794520548,0.8625,0.9805825242718447,0.9215412621359224,0.9019607843137255,0.9860436893203883,0.9704672778437088,0.04085994302787306,0.006249999999999978,0.028822815533980584,1.0,0.0,0.0,0.033140772271207056
psychologist,P,conduct,rf_stability,47,23,none,0.405,0.9604368932038835,0.9583333333333334,0.8625,0.9854368932038835,0.9239684466019418,0.9078947368421053,0.9853155339805826,0.9692741903194831,0.04159547232824598,0.0,0.016322815533980628,1.0,0.0,0.0,0.033140772271207056
psychologist,P,elimination,rf_compact,11,17,none,0.7450000000000001,0.8637763975155279,0.926605504587156,0.6273291925465838,0.936,0.781664596273292,0.7481481481481481,0.8841242236024845,0.9115145673885436,0.13535114426701023,0.03016149068322993,0.04700621118012438,1.0,0.0,0.0,0.03187988482106129
psychologist,P,elimination,rf_compact,29,17,none,0.7650000000000001,0.8637763975155279,0.9245283018867925,0.6086956521739131,0.936,0.7723478260869565,0.7340823970037453,0.8837267080745342,0.9114739003222363,0.13522317919144095,0.04037267080745344,0.09580124223602482,1.0,0.0,0.0,0.03187988482106129
psychologist,P,elimination,rf_compact,47,17,none,0.7850000000000001,0.8606708074534162,0.9259259259259259,0.6211180124223602,0.936,0.7785590062111801,0.7434944237918215,0.8839751552795031,0.9121811754069591,0.13482298953578964,0.029267080745341567,0.05321739130434788,1.0,0.0,0.0,0.03187988482106129
psychologist,P,elimination,rf_stability,11,17,none,0.7950000000000002,0.8615652173913043,0.9238095238095239,0.6024844720496895,0.936,0.7692422360248448,0.7293233082706767,0.8827329192546585,0.9123360014774595,0.13580223576280642,0.029267080745341678,0.06163975155279511,1.0,0.0,0.0,0.03187988482106129
psychologist,P,elimination,rf_stability,29,17,none,0.7850000000000001,0.8677763975155279,0.9259259259259259,0.6211180124223602,0.936,0.7785590062111801,0.7434944237918215,0.8821863354037267,0.9103388794682006,0.13607280584220086,0.0456894409937888,0.11043478260869566,1.0,0.0,0.0,0.03187988482106129
psychologist,P,elimination,rf_stability,47,17,none,0.7750000000000001,0.8637763975155279,0.9252336448598131,0.6149068322981367,0.936,0.7754534161490684,0.7388059701492538,0.8826335403726708,0.9127240134421353,0.13639320609761685,0.023055900621118064,0.04879503105590077,1.0,0.0,0.0,0.03187988482106129
psychologist,P,anxiety,rf_compact,11,260,none,0.35000000000000003,0.9840909090909091,0.8904109589041096,0.9848484848484849,0.9636363636363636,0.9742424242424242,0.935251798561151,0.9986225895316805,0.995941478639631,0.017162930606310346,-0.004545454545454519,-0.006818181818181834,1.0,0.0,0.0,0.1302716514254976
psychologist,P,anxiety,rf_compact,29,260,none,0.4700000000000001,0.9810606060606061,0.9154929577464789,0.9848484848484849,0.9727272727272728,0.9787878787878788,0.948905109489051,0.9983471074380166,0.9951720499330761,0.017505661226923607,-0.006818181818181834,0.006060606060605989,1.0,0.0,0.0,0.1302716514254976
psychologist,P,anxiety,rf_compact,47,260,none,0.44500000000000006,0.9810606060606061,0.9027777777777778,0.9848484848484849,0.9681818181818181,0.9765151515151516,0.9420289855072463,0.9984159779614324,0.9953115115917535,0.01768354984654993,-0.004545454545454519,0.0007575757575757347,1.0,0.0,0.0,0.1302716514254976
psychologist,P,anxiety,rf_stability,11,260,none,0.27,0.9818181818181818,0.8666666666666667,0.9848484848484849,0.9545454545454546,0.9696969696969697,0.9219858156028369,0.9986914600550965,0.9960458262966565,0.015134952920622145,-0.002272727272727204,-0.009090909090909038,1.0,0.0,0.0,0.1302716514254976
