trial_id,domain,mode,feature_set_id,model_family,config,calibration,threshold_policy,threshold,n_features,val_balanced_accuracy,val_pr_auc,val_precision,val_recall,holdout_precision,holdout_recall,holdout_specificity,holdout_balanced_accuracy,holdout_f1,holdout_roc_auc,holdout_pr_auc,holdout_brier,train_balanced_accuracy,overfit_gap_train_val_ba
11,adhd,caregiver_1_3,full_eligible,catboost,"{""depth"": 6, ""iterations"": 200, ""learning_rate"": 0.05, ""loss_function"": ""Logloss"", ""random_seed"": 0, ""verbose"": false}",none,default_0_5,0.5,49,0.8758852896783931,0.6994909561651504,0.6446280991735537,0.896551724137931,0.5769230769230769,0.8620689655172413,0.8600508905852418,0.8610599280512415,0.6912442396313364,0.9278465093153169,0.6356972101848758,0.0949186632862952,0.9778225806451613,0.10193729096676818
12,adhd,caregiver_1_3,boosted_eng_full,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,default_0_5,0.5,67,0.7665737838151632,0.724647445122458,0.675,0.6206896551724138,0.6224489795918368,0.7011494252873564,0.905852417302799,0.8035009212950777,0.6594594594594595,0.9298645842473166,0.6343200065183794,0.07921072916666666,1.0,0.23342621618483683
13,adhd,caregiver_1_3,boosted_eng_full,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.22999999999999998,67,0.911761291071636,0.724647445122458,0.6370370370370371,0.9885057471264368,0.5620915032679739,0.9885057471264368,0.8295165394402035,0.9090111432833201,0.7166666666666667,0.9298645842473166,0.6343200065183794,0.07921072916666666,0.9754032258064516,0.06364193473481561
14,adhd,caregiver_1_3,boosted_eng_full,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,default_0_5,0.5,67,0.7848020434227331,0.6992043212112252,0.717948717948718,0.6436781609195402,0.6236559139784946,0.6666666666666666,0.910941475826972,0.7888040712468194,0.6444444444444445,0.9321020151501858,0.6444408788042753,0.07996618489583333,1.0,0.21519795657726692
15,adhd,caregiver_1_3,boosted_eng_full,extra_trees,"{""bootstrap"": false, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",none,balanced,0.19999999999999996,67,0.9067107860211309,0.6992043212112252,0.6231884057971014,0.9885057471264368,0.53125,0.9770114942528736,0.8091603053435115,0.8930858997981925,0.6882591093117408,0.9321020151501858,0.6444408788042753,0.07996618489583333,1.0,0.09328921397886913
16,adhd,caregiver_1_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,default_0_5,0.5,67,0.8400092882851504,0.695106696575974,0.6542056074766355,0.8045977011494253,0.5859375,0.8620689655172413,0.8651399491094147,0.863604457313328,0.6976744186046512,0.9344856833669679,0.6674581754112681,0.09254720833466523,0.9919354838709677,0.15192619558581733
17,adhd,caregiver_1_3,boosted_eng_full,hgb,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 6, ""max_iter"": 250, ""random_state"": 20270413}",none,balanced,0.07,67,0.9033437826541275,0.695106696575974,0.6142857142857143,0.9885057471264368,0.5345911949685535,0.9770114942528736,0.811704834605598,0.8943581644292358,0.6910569105691057,0.9344856833669679,0.6674581754112681,0.09254720833466523,0.9314516129032258,0.028107830249098242
18,adhd,caregiver_1_3,boosted_eng_full,logreg,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""solver"": ""liblinear""}",none,default_0_5,0.5,67,0.8600371531406015,0.6983993301844182,0.6111111111111112,0.8850574712643678,0.5608108108108109,0.9540229885057471,0.8346055979643766,0.8943142932350618,0.7063829787234043,0.9311222251469685,0.6392415429881464,0.10445472397055423,0.9123147340889276,0.05227758094832613
19,adhd,caregiver_1_3,boosted_eng_full,logreg,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 2000, ""solver"": ""liblinear""}",none,balanced,0.3499999999999999,67,0.8810518982932776,0.6983993301844182,0.5928571428571429,0.9540229885057471,0.5180722891566265,0.9885057471264368,0.7964376590330788,0.8924717030797578,0.6798418972332015,0.9311222251469685,0.6392415429881464,0.10445472397055423,0.9039014821272886,0.022849583834011034
20,adhd,caregiver_1_3,boosted_eng_full,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",sigmoid,default_0_5,0.5,67,0.7665737838151632,0.7233806983726649,0.675,0.6206896551724138,0.6210526315789474,0.6781609195402298,0.9083969465648855,0.7932789330525576,0.6483516483516484,0.9315024421631423,0.6266611877515555,0.08290208447450574,0.9983108108108107,0.23173702699564758
21,adhd,caregiver_1_3,boosted_eng_full,rf,"{""bootstrap"": true, ""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 400, ""n_jobs"": -1, ""random_state"": 20270413}",sigmoid,balanced,0.09999999999999999,67,0.9100777893881342,0.7233806983726649,0.6323529411764706,0.9885057471264368,0.5512820512820513,0.9885057471264368,0.821882951653944,0.9051943493901904,0.7078189300411523,0.9315024421631423,0.6266611877515555,0.08290208447450574,0.9350806451612903,0.025002855773156085
