domain,role,mode,v14_active_model_id,v15_active_model_id,active_model_id_changed,v14_threshold,v15_threshold,delta_threshold,v14_f1,v15_f1,delta_f1,v14_recall,v15_recall,delta_recall,v14_precision,v15_precision,delta_precision,v14_balanced_accuracy,v15_balanced_accuracy,delta_balanced_accuracy,v14_specificity,v15_specificity,delta_specificity,v14_roc_auc,v15_roc_auc,delta_roc_auc,v14_pr_auc,v15_pr_auc,delta_pr_auc,v14_brier,v15_brier,delta_brier,feature_list_pipe_unchanged
anxiety,psychologist,psychologist_2_3,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.5394416137058918,0.5394416137058918,0.0,0.8372093023255814,0.8372093023255814,0.0,0.8372093023255814,0.8372093023255814,0.0,0.8372093023255814,0.8372093023255814,0.0,0.9008381537008618,0.9008381537008618,0.0,0.964467005076142,0.964467005076142,0.0,0.97339452248849,0.97339452248849,0.0,0.89612205748892,0.89612205748892,0.0,0.1215485431123243,0.1215485431123243,0.0,yes
anxiety,psychologist,psychologist_full,anxiety__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,anxiety__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.5279665721525749,0.5279665721525749,0.0,0.7662337662337663,0.7662337662337663,0.0,0.686046511627907,0.686046511627907,0.0,0.8676470588235294,0.8676470588235294,0.0,0.8316019360169992,0.8316019360169992,0.0,0.9771573604060914,0.9771573604060914,0.0,0.9554952189824106,0.9554952189824106,0.0,0.8598799565788883,0.8598799565788883,0.0,0.1582824747037535,0.1582824747037535,0.0,yes
conduct,caregiver,caregiver_1_3,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.4899999999999999,0.4899999999999999,0.0,0.8902077151335311,0.8902077151335311,0.0,0.9375,0.9375,0.0,0.847457627118644,0.847457627118644,0.0,0.9265625,0.9265625,0.0,0.915625,0.915625,0.0,0.9798046875,0.9798046875,0.0,0.9551823306213616,0.9551823306213616,0.0,0.0578663135437616,0.0578663135437616,0.0,yes
conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,conduct__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.5199999999999999,0.5199999999999999,0.0,0.8662790697674418,0.8662790697674418,0.0,0.93125,0.93125,0.0,0.8097826086956522,0.8097826086956522,0.0,0.9109375,0.9109375,0.0,0.890625,0.890625,0.0,0.97701171875,0.97701171875,0.0,0.9555356459496308,0.9555356459496308,0.0,0.1324384607101464,0.1324384607101464,0.0,yes
conduct,caregiver,caregiver_full,conduct__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,conduct__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.58,0.58,0.0,0.8765432098765432,0.8765432098765432,0.0,0.8875,0.8875,0.0,0.8658536585365854,0.8658536585365854,0.0,0.909375,0.909375,0.0,0.93125,0.93125,0.0,0.9742578125,0.9742578125,0.0,0.9444381405188534,0.9444381405188534,0.0,0.0622645664290617,0.0622645664290617,0.0,yes
conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.4599999999999999,0.4599999999999999,0.0,0.888235294117647,0.888235294117647,0.0,0.94375,0.94375,0.0,0.8388888888888889,0.8388888888888889,0.0,0.9265625,0.9265625,0.0,0.909375,0.909375,0.0,0.978828125,0.978828125,0.0,0.9555839908013486,0.9555839908013486,0.0,0.0589950192283938,0.0589950192283938,0.0,yes
conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,conduct__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.59,0.59,0.0,0.8765432098765432,0.8765432098765432,0.0,0.8875,0.8875,0.0,0.8658536585365854,0.8658536585365854,0.0,0.909375,0.909375,0.0,0.93125,0.93125,0.0,0.97521484375,0.97521484375,0.0,0.9491031031044496,0.9491031031044496,0.0,0.0620712742098516,0.0620712742098516,0.0,yes
conduct,psychologist,psychologist_full,conduct__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,conduct__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.5399999999999999,0.5399999999999999,0.0,0.8746177370030581,0.8746177370030581,0.0,0.89375,0.89375,0.0,0.8562874251497006,0.8562874251497006,0.0,0.909375,0.909375,0.0,0.925,0.925,0.0,0.9748046875,0.9748046875,0.0,0.948410786024648,0.948410786024648,0.0,0.062206107554836,0.062206107554836,0.0,yes
depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,depression__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.5399999999999999,0.5399999999999999,0.0,0.8636363636363636,0.8636363636363636,0.0,0.926829268292683,0.926829268292683,0.0,0.8085106382978723,0.8085106382978723,0.0,0.9408015688197084,0.9408015688197084,0.0,0.9547738693467336,0.9547738693467336,0.0,0.97708052457409,0.97708052457409,0.0,0.8381279998498211,0.8381279998498211,0.0,0.0517434923300924,0.0517434923300924,0.0,yes
depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,depression__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.5199999999999999,0.5199999999999999,0.0,0.8622754491017964,0.8622754491017964,0.0,0.8780487804878049,0.8780487804878049,0.0,0.8470588235294118,0.8470588235294118,0.0,0.9226927319524452,0.9226927319524452,0.0,0.9673366834170856,0.9673366834170856,0.0,0.9787044981002574,0.9787044981002574,0.0,0.8580435913991299,0.8580435913991299,0.0,0.046501106971563,0.046501106971563,0.0,yes
depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.4699999999999999,0.4699999999999999,0.0,0.8421052631578947,0.8421052631578947,0.0,0.8780487804878049,0.8780487804878049,0.0,0.8089887640449438,0.8089887640449438,0.0,0.9176676063243044,0.9176676063243044,0.0,0.957286432160804,0.957286432160804,0.0,0.9747824488295134,0.9747824488295134,0.0,0.8627960639110135,0.8627960639110135,0.0,0.0415852128828982,0.0415852128828982,0.0,yes
depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,depression__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.4837963640515869,0.4837963640515869,0.0,0.8651685393258427,0.8651685393258427,0.0,0.9390243902439024,0.9390243902439024,0.0,0.8020833333333334,0.8020833333333334,0.0,0.9456428483882828,0.9456428483882828,0.0,0.9522613065326632,0.9522613065326632,0.0,0.9776320627527884,0.9776320627527884,0.0,0.8626651727760357,0.8626651727760357,0.0,0.0466243194907455,0.0466243194907455,0.0,yes
depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,depression__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,no,0.57,0.57,0.0,0.8674698795180723,0.8674698795180723,0.0,0.8780487804878049,0.8780487804878049,0.0,0.8571428571428571,0.8571428571428571,0.0,0.9239490133594804,0.9239490133594804,0.0,0.9698492462311558,0.9698492462311558,0.0,0.9788577031498958,0.9788577031498958,0.0,0.8578131325823328,0.8578131325823328,0.0,0.0489051667165241,0.0489051667165241,0.0,yes
depression,psychologist,psychologist_full,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.3627106869338548,0.3627106869338548,0.0,0.8342857142857143,0.8342857142857143,0.0,0.8902439024390244,0.8902439024390244,0.0,0.7849462365591398,0.7849462365591398,0.0,0.9199963230788086,0.9199963230788086,0.0,0.949748743718593,0.949748743718593,0.0,0.9717183478367446,0.9717183478367446,0.0,0.8245791776503679,0.8245791776503679,0.0,0.0487516434420852,0.0487516434420852,0.0,yes
elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__caregiver_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,no,0.7621616091094605,0.7621616091094605,0.0,0.8598130841121495,0.8598130841121495,0.0,0.8846153846153846,0.8846153846153846,0.0,0.8363636363636363,0.8363636363636363,0.0,0.9317936736161034,0.9317936736161034,0.0,0.9789719626168224,0.9789719626168224,0.0,0.9567307692307692,0.9567307692307692,0.0,0.8932926272751122,0.8932926272751122,0.0,0.0728182623595568,0.0728182623595568,0.0,yes
elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__caregiver_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,no,0.5601072169221989,0.5601072169221989,0.0,0.8214285714285714,0.8214285714285714,0.0,0.8846153846153846,0.8846153846153846,0.0,0.7666666666666667,0.7666666666666667,0.0,0.9259525521207764,0.9259525521207764,0.0,0.9672897196261684,0.9672897196261684,0.0,0.9508896477354422,0.9508896477354422,0.0,0.8606195074052196,0.8606195074052196,0.0,0.1285448510648098,0.1285448510648098,0.0,yes
elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__caregiver_full__hybrid_elimination_v15_caregiver_full_metric_rescue__rf__same_inputs_v14,yes,0.7499999999999999,0.7499999999999999,0.0,0.7128712871287128,0.8205128205128205,0.10764153338410765,0.6923076923076923,0.9230769230769231,0.23076923076923084,0.7346938775510204,0.7384615384615385,0.003767660910518056,0.8309669302659957,0.9416786484543493,0.11071171818835368,0.969626168224299,0.9602803738317757,-0.009345794392523366,0.9780957943925234,0.9792640186915887,0.001168224299065379,0.7323800662776534,0.7475032983542711,0.015123232076617699,0.0294761435733749,0.029669213987851193,0.0001930704144762936,yes
elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,no,0.2799999999999999,0.2799999999999999,0.0,0.8264462809917356,0.8264462809917356,0.0,0.9615384615384616,0.9615384615384616,0.0,0.7246376811594203,0.7246376811594203,0.0,0.9585729690869876,0.9585729690869876,0.0,0.955607476635514,0.955607476635514,0.0,0.9772196261682244,0.9772196261682244,0.0,0.7274331146368022,0.7274331146368022,0.0,0.0308011804790885,0.0308011804790885,0.0,yes
elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,no,0.6599999999999999,0.6599999999999999,0.0,0.8333333333333334,0.8333333333333334,0.0,0.9615384615384616,0.9615384615384616,0.0,0.7352941176470589,0.7352941176470589,0.0,0.9597411933860532,0.9597411933860532,0.0,0.9579439252336448,0.9579439252336448,0.0,0.9776464773544212,0.9776464773544212,0.0,0.6970361089101744,0.6970361089101744,0.0,0.0362578171802471,0.0362578171802471,0.0,yes
elimination,psychologist,psychologist_full,elimination__psychologist_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,elimination__psychologist_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,no,0.5249999999999999,0.5249999999999999,0.0,0.8333333333333334,0.8333333333333334,0.0,0.9615384615384616,0.9615384615384616,0.0,0.7352941176470589,0.7352941176470589,0.0,0.9597411933860532,0.9597411933860532,0.0,0.9579439252336448,0.9579439252336448,0.0,0.9795111430625448,0.9795111430625448,0.0,0.7669546564992382,0.7669546564992382,0.0,0.0295704570992494,0.0295704570992494,0.0,yes
