domain,role,mode,v14_active_model_id,v15_active_model_id,active_model_id_changed,v14_threshold,v15_threshold,delta_threshold,v14_f1,v15_f1,delta_f1,v14_recall,v15_recall,delta_recall,v14_precision,v15_precision,delta_precision,v14_balanced_accuracy,v15_balanced_accuracy,delta_balanced_accuracy,v14_specificity,v15_specificity,delta_specificity,v14_roc_auc,v15_roc_auc,delta_roc_auc,v14_pr_auc,v15_pr_auc,delta_pr_auc,v14_brier,v15_brier,delta_brier,feature_list_pipe_unchanged
adhd,caregiver,caregiver_1_3,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.3999999999999999,0.3999999999999999,0.0,0.8093023255813954,0.8093023255813954,0.0,0.925531914893617,0.925531914893617,0.0,0.71900826446281,0.71900826446281,0.0,0.9187245066696064,0.9187245066696064,0.0,0.911917098445596,0.911917098445596,0.0,0.9492613824275165,0.9492613824275165,0.0,0.7241089004526715,0.7241089004526715,0.0,0.063894662445087,0.063894662445087,0.0,yes
adhd,caregiver,caregiver_2_3,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.5599999999999999,0.5599999999999999,0.0,0.7982062780269058,0.7982062780269058,0.0,0.946808510638298,0.946808510638298,0.0,0.689922480620155,0.689922480620155,0.0,0.9215907838165582,0.9215907838165582,0.0,0.8963730569948186,0.8963730569948186,0.0,0.9524583838606548,0.9524583838606548,0.0,0.7461931953430669,0.7461931953430669,0.0,0.0786879634511631,0.0786879634511631,0.0,yes
adhd,caregiver,caregiver_full,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.4666534718198245,0.4666534718198245,0.0,0.8036529680365296,0.8036529680365296,0.0,0.9361702127659576,0.9361702127659576,0.0,0.704,0.704,0.0,0.9201576452430824,0.9201576452430824,0.0,0.9041450777202072,0.9041450777202072,0.0,0.951383529930548,0.951383529930548,0.0,0.7300419974766443,0.7300419974766443,0.0,0.0755461324257614,0.0755461324257614,0.0,yes
adhd,psychologist,psychologist_1_3,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.5499999999999999,0.5499999999999999,0.0,0.7909090909090909,0.7909090909090909,0.0,0.925531914893617,0.925531914893617,0.0,0.6904761904761905,0.6904761904761905,0.0,0.9122478227317824,0.9122478227317824,0.0,0.8989637305699482,0.8989637305699482,0.0,0.949729908499614,0.949729908499614,0.0,0.7180700559629031,0.7180700559629031,0.0,0.0786775125764627,0.0786775125764627,0.0,yes
adhd,psychologist,psychologist_2_3,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__psychologist_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.2799999999999999,0.2799999999999999,0.0,0.8421052631578947,0.8421052631578947,0.0,0.851063829787234,0.851063829787234,0.0,0.8333333333333334,0.8333333333333334,0.0,0.9048065262925808,0.9048065262925808,0.0,0.9585492227979274,0.9585492227979274,0.0,0.9720675779958108,0.9720675779958108,0.0,0.9313831206397698,0.9313831206397698,0.0,0.0405985018273197,0.0405985018273197,0.0,yes
adhd,psychologist,psychologist_full,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,adhd__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.6,0.6,0.0,0.8075117370892019,0.8075117370892019,0.0,0.9148936170212766,0.9148936170212766,0.0,0.7226890756302521,0.7226890756302521,0.0,0.914700694521001,0.914700694521001,0.0,0.9145077720207254,0.9145077720207254,0.0,0.962931319589902,0.962931319589902,0.0,0.8534145929527844,0.8534145929527844,0.0,0.0939018702887466,0.0939018702887466,0.0,yes
anxiety,caregiver,caregiver_1_3,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__caregiver_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.29,0.29,0.0,0.8700564971751412,0.8700564971751412,0.0,0.8953488372093024,0.8953488372093024,0.0,0.8461538461538461,0.8461538461538461,0.0,0.9299079211427222,0.9299079211427222,0.0,0.964467005076142,0.964467005076142,0.0,0.9767884547278952,0.9767884547278952,0.0,0.9193327479894848,0.9193327479894848,0.0,0.0377847444619504,0.0377847444619504,0.0,yes
anxiety,caregiver,caregiver_2_3,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__caregiver_2_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.5509721185330153,0.5509721185330153,0.0,0.8402366863905325,0.8402366863905325,0.0,0.8255813953488372,0.8255813953488372,0.0,0.8554216867469879,0.8554216867469879,0.0,0.8975622712784795,0.8975622712784795,0.0,0.9695431472081218,0.9695431472081218,0.0,0.9643637114862472,0.9643637114862472,0.0,0.8985296515822613,0.8985296515822613,0.0,0.1324680784221708,0.1324680784221708,0.0,yes
anxiety,caregiver,caregiver_full,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.5299999999999999,0.5299999999999999,0.0,0.8187134502923976,0.8187134502923976,0.0,0.813953488372093,0.813953488372093,0.0,0.8235294117647058,0.8235294117647058,0.0,0.8879412111911227,0.8879412111911227,0.0,0.9619289340101524,0.9619289340101524,0.0,0.9536654468185574,0.9536654468185574,0.0,0.8531067850920091,0.8531067850920091,0.0,0.1363188022729681,0.1363188022729681,0.0,yes
anxiety,psychologist,psychologist_1_3,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,anxiety__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,no,0.5336125226848083,0.5336125226848083,0.0,0.8352941176470589,0.8352941176470589,0.0,0.8255813953488372,0.8255813953488372,0.0,0.8452380952380952,0.8452380952380952,0.0,0.8962932357454846,0.8962932357454846,0.0,0.967005076142132,0.967005076142132,0.0,0.9639652933537952,0.9639652933537952,0.0,0.8800940637253928,0.8800940637253928,0.0,0.1195811534254709,0.1195811534254709,0.0,yes
