domain,role,mode,candidate_key,source_type,source_model_id,feature_set_id,config_id,calibration,threshold_policy,threshold,seed,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,tn,fp,fn,tp,probability_mean,probability_std,prediction_positive_rate,guardrail_ok,precision_floor_ok,quality_score,artifact_hash,artifact_path,notes
elimination,caregiver,caregiver_full,caregiver_full::train::rf_v15_isotonic_dense::20270493::isotonic::max_f1_precision_guard::0.710000,trained_rf_v15,trained_rf_v15,same_inputs_v14,rf_v15_isotonic_dense,isotonic,max_f1_precision_guard,0.71,20270493.0,9,0.746268656716418,0.9615384615384616,0.9602803738317757,0.9609094176851186,0.8403361344537815,0.974973040977714,0.7169642926556067,0.03008154867085723,411,17,2,50,0.11065668364146154,0.26587730876512244,0.13958333333333334,yes,yes,0.8686049445865875,,,trained_on_caregiver_full_v15_rescue
elimination,caregiver,caregiver_full,caregiver_full::train::rf_v15_isotonic_dense::20270493::isotonic::f1_ba_conservative::0.710000,trained_rf_v15,trained_rf_v15,same_inputs_v14,rf_v15_isotonic_dense,isotonic,f1_ba_conservative,0.71,20270493.0,9,0.746268656716418,0.9615384615384616,0.9602803738317757,0.9609094176851186,0.8403361344537815,0.974973040977714,0.7169642926556067,0.03008154867085723,411,17,2,50,0.11065668364146154,0.26587730876512244,0.13958333333333334,yes,yes,0.8686049445865875,,,trained_on_caregiver_full_v15_rescue
elimination,caregiver,caregiver_full,caregiver_full::train::rf_v15_isotonic_dense::20270493::isotonic::precision_recovery::0.710000,trained_rf_v15,trained_rf_v15,same_inputs_v14,rf_v15_isotonic_dense,isotonic,precision_recovery,0.71,20270493.0,9,0.746268656716418,0.9615384615384616,0.9602803738317757,0.9609094176851186,0.8403361344537815,0.974973040977714,0.7169642926556067,0.03008154867085723,411,17,2,50,0.11065668364146154,0.26587730876512244,0.13958333333333334,yes,yes,0.8686049445865875,,,trained_on_caregiver_full_v15_rescue
elimination,caregiver,caregiver_full,caregiver_full::train::rf_v15_isotonic_dense::20270493::isotonic::pareto_f1_recall_precision::0.710000,trained_rf_v15,trained_rf_v15,same_inputs_v14,rf_v15_isotonic_dense,isotonic,pareto_f1_recall_precision,0.71,20270493.0,9,0.746268656716418,0.9615384615384616,0.9602803738317757,0.9609094176851186,0.8403361344537815,0.974973040977714,0.7169642926556067,0.03008154867085723,411,17,2,50,0.11065668364146154,0.26587730876512244,0.13958333333333334,yes,yes,0.8686049445865875,,,trained_on_caregiver_full_v15_rescue
elimination,caregiver,caregiver_full,caregiver_full::train::rf_v15_isotonic_dense::20270493::isotonic::guardrail_conservative::0.710000,trained_rf_v15,trained_rf_v15,same_inputs_v14,rf_v15_isotonic_dense,isotonic,guardrail_conservative,0.71,20270493.0,9,0.746268656716418,0.9615384615384616,0.9602803738317757,0.9609094176851186,0.8403361344537815,0.974973040977714,0.7169642926556067,0.03008154867085723,411,17,2,50,0.11065668364146154,0.26587730876512244,0.13958333333333334,yes,yes,0.8686049445865875,,,trained_on_caregiver_full_v15_rescue
elimination,caregiver,caregiver_full,caregiver_full::train::rf_v15_manual_weight_high::20270457::none::max_f1_precision_guard::0.770000,trained_rf_v15,trained_rf_v15,same_inputs_v14,rf_v15_manual_weight_high,none,max_f1_precision_guard,0.7699999999999999,20270457.0,9,0.746268656716418,0.9615384615384616,0.9602803738317757,0.9609094176851186,0.8403361344537815,0.9771297627606039,0.7039409969345223,0.03364658232332686,411,17,2,50,0.13848658924323656,0.30836784213800456,0.13958333333333334,yes,yes,0.868426692903964,,,trained_on_caregiver_full_v15_rescue
elimination,caregiver,caregiver_full,caregiver_full::train::rf_v15_manual_weight_high::20270457::none::f1_ba_conservative::0.770000,trained_rf_v15,trained_rf_v15,same_inputs_v14,rf_v15_manual_weight_high,none,f1_ba_conservative,0.7699999999999999,20270457.0,9,0.746268656716418,0.9615384615384616,0.9602803738317757,0.9609094176851186,0.8403361344537815,0.9771297627606039,0.7039409969345223,0.03364658232332686,411,17,2,50,0.13848658924323656,0.30836784213800456,0.13958333333333334,yes,yes,0.868426692903964,,,trained_on_caregiver_full_v15_rescue
elimination,caregiver,caregiver_full,caregiver_full::train::rf_v15_manual_weight_high::20270457::none::precision_recovery::0.770000,trained_rf_v15,trained_rf_v15,same_inputs_v14,rf_v15_manual_weight_high,none,precision_recovery,0.7699999999999999,20270457.0,9,0.746268656716418,0.9615384615384616,0.9602803738317757,0.9609094176851186,0.8403361344537815,0.9771297627606039,0.7039409969345223,0.03364658232332686,411,17,2,50,0.13848658924323656,0.30836784213800456,0.13958333333333334,yes,yes,0.868426692903964,,,trained_on_caregiver_full_v15_rescue
elimination,caregiver,caregiver_full,caregiver_full::train::rf_v15_manual_weight_high::20270457::none::pareto_f1_recall_precision::0.770000,trained_rf_v15,trained_rf_v15,same_inputs_v14,rf_v15_manual_weight_high,none,pareto_f1_recall_precision,0.7699999999999999,20270457.0,9,0.746268656716418,0.9615384615384616,0.9602803738317757,0.9609094176851186,0.8403361344537815,0.9771297627606039,0.7039409969345223,0.03364658232332686,411,17,2,50,0.13848658924323656,0.30836784213800456,0.13958333333333334,yes,yes,0.868426692903964,,,trained_on_caregiver_full_v15_rescue
elimination,caregiver,caregiver_full,caregiver_full::train::rf_v15_manual_weight_high::20270457::none::guardrail_conservative::0.770000,trained_rf_v15,trained_rf_v15,same_inputs_v14,rf_v15_manual_weight_high,none,guardrail_conservative,0.7699999999999999,20270457.0,9,0.746268656716418,0.9615384615384616,0.9602803738317757,0.9609094176851186,0.8403361344537815,0.9771297627606039,0.7039409969345223,0.03364658232332686,411,17,2,50,0.13848658924323656,0.30836784213800456,0.13958333333333334,yes,yes,0.868426692903964,,,trained_on_caregiver_full_v15_rescue
elimination,caregiver,caregiver_full,caregiver_full::train::rf_v14_calibrated_sigmoid::20270457::none::max_f1_precision_guard::0.850000,trained_rf_v15,trained_rf_v15,same_inputs_v14,rf_v14_calibrated_sigmoid,none,max_f1_precision_guard,0.8499999999999999,20270457.0,9,0.746268656716418,0.9615384615384616,0.9602803738317757,0.9609094176851186,0.8403361344537815,0.9776015456506111,0.7242443431224737,0.036471351047567796,411,17,2,50,0.1491333008855406,0.3272203824841872,0.13958333333333334,yes,yes,0.868285454467752,,,trained_on_caregiver_full_v15_rescue
