domain,role,mode,active_model_id,artifacts_available,artifact_path,artifact_origin,artifact_hash,duplicate_hash_group_size
conduct,caregiver,caregiver_2_3,conduct__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_final_rf_plus_maximize\models\active_modes\conduct__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11\pipeline.joblib,worktree_final_rf_plus,8a53a9f419a935a18e1751f15d5ea5f21d41e487662426ff2ff087ef82177a77,1
conduct,caregiver,caregiver_full,conduct__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_final_rf_plus_maximize\models\active_modes\conduct__caregiver_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11\pipeline.joblib,worktree_final_rf_plus,71e42f018d58f95da92ed78df2a6579632349781608404b1f43239dfb81d453d,1
conduct,psychologist,psychologist_1_3,conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_rf_max_real_metrics\models\active_modes\conduct__psychologist_1_3__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10\pipeline.joblib,worktree_rf_max_real_metrics,0bd992ccba42badc8947280d443eab8b5706bb023fd0fe86c2c78b8af4ae1142,1
conduct,psychologist,psychologist_2_3,conduct__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_final_rf_plus_maximize\models\active_modes\conduct__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11\pipeline.joblib,worktree_final_rf_plus,6a159c97be2978793bc41ccdae6330f6552d5e43a15174c5d8c2a5a8cc7669a5,1
conduct,psychologist,psychologist_full,conduct__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_final_rf_plus_maximize\models\active_modes\conduct__psychologist_full__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11\pipeline.joblib,worktree_final_rf_plus,fa3f8911e85098bf4683d6e36af273b11eb934f44722102ea47bb34b92763295,1
depression,caregiver,caregiver_1_3,depression__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_final_rf_plus_maximize\models\active_modes\depression__caregiver_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11\pipeline.joblib,worktree_final_rf_plus,afffd2031303ec9fc1ae96dd634be292704f40c455255f5d1e698ff351ab0991,1
depression,caregiver,caregiver_2_3,depression__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_final_rf_plus_maximize\models\active_modes\depression__caregiver_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11\pipeline.joblib,worktree_final_rf_plus,3f50b424695fe2436316e103068cee50c8ef28d68581587a9de9616e0083ec66,1
depression,caregiver,caregiver_full,depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_rf_max_real_metrics\models\active_modes\depression__caregiver_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10\pipeline.joblib,worktree_rf_max_real_metrics,0e1cb0deb684fd3587ddaca53284e58e824a3ccf9940d20bc066ac191ea598e2,1
depression,psychologist,psychologist_1_3,depression__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_final_rf_plus_maximize\models\active_modes\depression__psychologist_1_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11\pipeline.joblib,worktree_final_rf_plus,706f67016605a80023b72cfc9c5f44cef5b89bd23735231178c354654563d565,1
depression,psychologist,psychologist_2_3,depression__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_final_rf_plus_maximize\models\active_modes\depression__psychologist_2_3__hybrid_final_rf_plus_maximize_metrics_v1__rf__same_inputs_v11\pipeline.joblib,worktree_final_rf_plus,6c421138ce32a9a2158b91d7951e85d6da3a2f57515852a0e260992d868b5e98,1
depression,psychologist,psychologist_full,depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_rf_max_real_metrics\models\active_modes\depression__psychologist_full__hybrid_rf_max_real_metrics_v1__rf__same_inputs_v10\pipeline.joblib,worktree_rf_max_real_metrics,412763146b3ae2d022572942c1c2b125c9baabd5f5509d942efe0309b594c821,1
elimination,caregiver,caregiver_1_3,elimination__caregiver_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_elimination_v14_fix\models\active_modes\elimination__caregiver_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13\pipeline.joblib,worktree_elimination_v14_fix,875f580c639c265b9db60a0fc75cfcd86cdfba7da5135d6616df09e3d84e2f1b,1
elimination,caregiver,caregiver_2_3,elimination__caregiver_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_elimination_v14_fix\models\active_modes\elimination__caregiver_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13\pipeline.joblib,worktree_elimination_v14_fix,ecdd3ac53d8f382961b6b666a3e3682b1b465d3e0d7d8339ba49a48bfaf8d106,1
elimination,caregiver,caregiver_full,elimination__caregiver_full__hybrid_elimination_v15_caregiver_full_metric_rescue__rf__same_inputs_v14,yes,models/active_modes/elimination__caregiver_full__hybrid_elimination_v15_caregiver_full_metric_rescue__rf__same_inputs_v14/pipeline.joblib,current_repo_v15,2cba0debeb71bdb869cc9392d09e7939fc388e1996568d54471c408a6267e551,1
elimination,psychologist,psychologist_1_3,elimination__psychologist_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_elimination_v14_fix\models\active_modes\elimination__psychologist_1_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13\pipeline.joblib,worktree_elimination_v14_fix,85ed5a9ff99db9f6fab3c3c16847cf1c2980ac83b44b05bc780443acca612c22,1
elimination,psychologist,psychologist_2_3,elimination__psychologist_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_elimination_v14_fix\models\active_modes\elimination__psychologist_2_3__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13\pipeline.joblib,worktree_elimination_v14_fix,b37422449feb65bcb3fa5822c91f67f3d4380b786b14417e3f256700d6efd348,1
elimination,psychologist,psychologist_full,elimination__psychologist_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13,yes,C:\Users\andre\Documents\Workspace Academic\Backend Tesis\cognia_app_elimination_v14_fix\models\active_modes\elimination__psychologist_full__hybrid_elimination_v14_real_anti_clone_rescue__rf__same_inputs_v13\pipeline.joblib,worktree_elimination_v14_fix,395664dddfd26b414f694557eb9211b33d1ab2c41b109ad0745c9a68035d2476,1
