mode,ablation_config,family,n_features,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,delta_ba_vs_winner
caregiver,drop_top3_features,rf,21,0.8775510204081632,0.8012422360248447,0.856,0.8286211180124223,0.8376623376623377,0.8836770186335404,0.9127748102979536,0.13233403484249678,0.08391608391608392,0.3549618320610687,0.791958041958042,0.01773913043478259
caregiver,drop_context_features,rf,21,0.8785714285714286,0.7639751552795031,0.864,0.8139875776397516,0.8172757475083057,0.8807950310559006,0.9133520614744833,0.13695015124927082,0.11888111888111888,0.3492063492063492,0.8157342657342658,0.0031055900621118626
caregiver,winner_selected,rf,24,0.8776978417266187,0.7577639751552795,0.864,0.8108819875776397,0.8133333333333334,0.8824347826086958,0.9134947186243835,0.13807719649806982,0.13986013986013987,0.29552845528455285,0.8216783216783217,0.0
caregiver,drop_burden_composites,rf,24,0.8776978417266187,0.7577639751552795,0.864,0.8108819875776397,0.8133333333333334,0.8824347826086958,0.9134947186243835,0.13807719649806982,0.13986013986013987,0.29552845528455285,0.8216783216783217,0.0
caregiver,drop_subtype_aware,rf,24,0.8776978417266187,0.7577639751552795,0.864,0.8108819875776397,0.8133333333333334,0.8824347826086958,0.9134947186243835,0.13807719649806982,0.13986013986013987,0.29552845528455285,0.8216783216783217,0.0
caregiver,drop_top2_features,rf,22,0.8880597014925373,0.7391304347826086,0.88,0.8095652173913044,0.8067796610169492,0.8816645962732919,0.914240780310312,0.13763922649273888,0.11188811188811189,0.4089566929133858,0.7681818181818182,-0.0013167701863353587
caregiver,drop_cbcl_block,rf,18,0.8768115942028986,0.7515527950310559,0.864,0.8077763975155279,0.8093645484949833,0.8792298136645963,0.9124777060732049,0.1359090364643419,0.10139860139860139,0.4305648732054206,0.8395104895104895,-0.0031055900621118626
caregiver,drop_top1_feature,rf,23,0.8768115942028986,0.7515527950310559,0.864,0.8077763975155279,0.8093645484949833,0.8813416149068323,0.9127673828126092,0.1353041115452967,0.07342657342657342,0.5557951482479785,0.7681818181818182,-0.0031055900621118626
psychologist,drop_top3_features,rf,27,0.8698630136986302,0.7888198757763976,0.848,0.8184099378881988,0.8273615635179153,0.8787577639751553,0.9087402939061751,0.13757755065157487,0.17132867132867133,0.21966761388099545,0.8216783216783217,0.0013167701863354697
psychologist,winner_selected,rf,30,0.8794326241134752,0.7701863354037267,0.864,0.8170931677018634,0.8211920529801324,0.881167701863354,0.9132128081056157,0.136763096948949,0.017482517482517484,0.4185053380782918,0.7681818181818182,0.0
psychologist,drop_burden_composites,rf,30,0.8794326241134752,0.7701863354037267,0.864,0.8170931677018634,0.8211920529801324,0.881167701863354,0.9132128081056157,0.136763096948949,0.017482517482517484,0.4185053380782918,0.7681818181818182,0.0
psychologist,drop_subtype_aware,rf,30,0.8794326241134752,0.7701863354037267,0.864,0.8170931677018634,0.8211920529801324,0.881167701863354,0.9132128081056157,0.136763096948949,0.017482517482517484,0.4185053380782918,0.7681818181818182,0.0
psychologist,drop_cbcl_block,rf,24,0.8723404255319149,0.7639751552795031,0.856,0.8099875776397516,0.8145695364238411,0.8760248447204969,0.9076129463218814,0.13932342245007515,0.0,-0.1958041958041958,0.7517482517482518,-0.007105590062111755
psychologist,drop_context_features,rf,27,0.8723404255319149,0.7639751552795031,0.856,0.8099875776397516,0.8145695364238411,0.8804720496894409,0.9126017415413118,0.13691431285861308,0.027972027972027972,0.6987410071942446,0.786013986013986,-0.007105590062111755
psychologist,drop_top1_feature,rf,29,0.8768115942028986,0.7515527950310559,0.864,0.8077763975155279,0.8093645484949833,0.8784347826086958,0.910175270081294,0.1380072344424349,0.027972027972027972,0.5665467625899281,0.7741258741258741,-0.009316770186335477
psychologist,drop_top2_features,rf,28,0.8768115942028986,0.7515527950310559,0.864,0.8077763975155279,0.8093645484949833,0.8800745341614907,0.9102972300466237,0.13632809997987733,0.06293706293706294,0.617330016583748,0.786013986013986,-0.009316770186335477
