mode,domain,selected_feature_set,selected_family,selected_strategy,selected_two_stage_architecture,selected_gate,selected_threshold,selected_uncertainty_band,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,uncertain_rate,uncertainty_usefulness,output_realism_score,worst_stress_ba,probability_ready,risk_band_ready,confidence_ready,uncertainty_ready,professional_detail_ready,final_output_status,visible_user_prob_cap,visible_prof_prob_cap,extreme_performance_audit_trigger
caregiver,elimination,r3_hybrid_clean_best_effort,rf,balanced,single_stage_reference,gate_none,0.31000000000000005,0.04,0.8607594936708861,0.84472049689441,0.824,0.834360248447205,0.8526645768025078,0.8811925465838509,0.9115229294695697,0.13267820024478835,0.17482517482517482,0.11593220338983051,0.8632867132867132,0.7414658385093168,yes,yes,yes,yes,yes,uncertainty_preferred,"[0.01,0.99]","[0.005,0.995]",no
psychologist,elimination,r1_v12_replay,rf,balanced,single_stage_reference,gate_none,0.37500000000000006,0.2,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.8852422360248448,0.9121638790674771,0.13463079845418852,0.2867132867132867,0.14574366331898614,0.8513986013986015,0.7565714285714286,yes,yes,yes,yes,yes,uncertainty_preferred,"[0.01,0.99]","[0.005,0.995]",no
