mode,baseline_precision,baseline_recall,baseline_specificity,baseline_balanced_accuracy,baseline_f1,baseline_pr_auc,baseline_brier,v12_precision,v12_recall,v12_specificity,v12_balanced_accuracy,v12_f1,v12_pr_auc,v12_brier,v12_worst_stress_ba,v13_precision,v13_recall,v13_specificity,v13_balanced_accuracy,v13_f1,v13_pr_auc,v13_brier,v13_worst_stress_ba,v14_precision,v14_recall,v14_specificity,v14_balanced_accuracy,v14_f1,v14_pr_auc,v14_brier,v14_worst_stress_ba,v14_output_status,delta_precision_v14_vs_v12,delta_recall_v14_vs_v12,delta_specificity_v14_vs_v12,delta_ba_v14_vs_v12,delta_f1_v14_vs_v12,delta_pr_auc_v14_vs_v12,delta_brier_v14_vs_v12,delta_robustness_v14_vs_v12,delta_usability_v14_vs_v12,delta_precision_v14_vs_baseline,delta_recall_v14_vs_baseline,delta_ba_v14_vs_baseline,delta_brier_v14_vs_baseline
caregiver,0.91869918699187,0.7018633540372671,0.92,0.8109316770186336,0.795774647887324,,0.1485824753360272,0.868421052631579,0.8198757763975155,0.84,0.8299378881987578,0.8434504792332268,0.9152986120374738,0.1359588339708592,0.7650931677018633,0.8776978417266187,0.7577639751552795,0.864,0.8108819875776397,0.8133333333333334,0.9134947186243836,0.1380771964980698,0.7284472049689441,0.8607594936708861,0.84472049689441,0.824,0.834360248447205,0.8526645768025078,0.9115229294695697,0.13267820024478835,0.7414658385093168,uncertainty_preferred,-0.007661558960692871,0.024844720496894457,-0.016000000000000014,0.004422360248447221,0.009214097569281043,-0.0037756825679040595,-0.0032806337260708474,-0.02362732919254651,-0.17132867132867136,-0.05793969332098392,0.1428571428571429,0.023428571428571465,-0.015904275091238845
psychologist,0.9256198347107438,0.6956521739130435,0.928,0.8118260869565217,0.7943262411347518,,0.1445763621488415,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674772,0.1346307984541885,0.7432049689440994,0.8794326241134752,0.7701863354037267,0.864,0.8170931677018634,0.8211920529801324,0.9132128081056156,0.136763096948949,0.7350807453416149,0.8475609756097561,0.8633540372670807,0.8,0.8316770186335404,0.8553846153846154,0.9121638790674771,0.13463079845418852,0.7565714285714286,uncertainty_preferred,0.0,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,2.7755575615628914e-17,0.013366459627329186,-0.16083916083916083,-0.07805885910098775,0.16770186335403725,0.01985093167701868,-0.009945563694652992
