domain,mode,role,active_model_id,normalized_final_class,confidence_pct,old_balanced_accuracy,old_f1,old_precision,old_recall,old_roc_auc,old_pr_auc,old_brier,old_secondary_max_metric,old_secondary_metric_anomaly_flag,winner_model_family,winner_feature_set_id,winner_config_id,winner_calibration,winner_threshold_policy,winner_threshold,new_balanced_accuracy,new_f1,new_precision,new_recall,new_roc_auc,new_pr_auc,new_brier,new_secondary_max_metric,new_secondary_metric_anomaly_flag,delta_balanced_accuracy,delta_f1,delta_precision,delta_recall,delta_roc_auc,delta_pr_auc,delta_brier,margin_status
anxiety,caregiver_2_3,caregiver,anxiety__caregiver_2_3__rebuild_v2__rf__compact_subset,PRIMARY_WITH_CAVEAT,89.7,0.9279010742533348,0.8786127167630058,0.8735632183908046,0.8837209302325582,0.9918840750796836,0.9524808419049928,0.0306755822953721,0.9918840750796836,yes,hgb,compact_subset_no_shortcut_v1,hgb_regularized_v1,none,balanced,0.13999999999999999,0.9506256640302208,0.8852459016393442,0.8350515463917526,0.9418604651162791,0.9943926336914177,0.9782986601378897,0.021294803474231325,0.9943926336914177,yes,0.02272458977688596,0.0066331848763384604,-0.03851167199905203,0.05813953488372092,0.0025085586117341574,0.02581781823289686,-0.009380778821140776,material_candidate
anxiety,caregiver_full,caregiver,anxiety__caregiver_full__rebuild_v2__rf__precision_oriented_subset,PRIMARY_WITH_CAVEAT,95.3,0.9387911698736868,0.9058823529411764,0.9166666666666666,0.8953488372093024,0.9911462637232912,0.9465380549682876,0.0274435048754308,0.9911462637232912,yes,rf,engineered_compact,rf_regularized_v2,none,balanced,0.5099999999999999,0.9448117105418486,0.8791208791208791,0.8333333333333334,0.9302325581395349,0.9927694487073545,0.9705439741580353,0.029193095377560097,0.9927694487073545,yes,0.006020540668161822,-0.026761473820297255,-0.08333333333333326,0.03488372093023251,0.0016231849840633306,0.024005919189747704,0.0017495905021292953,material_candidate
anxiety,psychologist_2_3,psychologist,anxiety__psychologist_2_3__rebuild_v2__rf__precision_oriented_subset,PRIMARY_WITH_CAVEAT,93.8,0.937522134340692,0.9005847953216374,0.9058823529411764,0.8953488372093024,0.9898182032817848,0.930287612715468,0.0302180148379456,0.9898182032817848,yes,rf,precision_oriented_subset_no_shortcut_v1,rf_regularized_v2,none,balanced,0.575,0.9395289812300791,0.8914285714285715,0.8764044943820225,0.9069767441860465,0.9920316373509621,0.9633204293646735,0.030906575707824794,0.9920316373509621,yes,0.002006846889387126,-0.009156223893065918,-0.029477858559153858,0.011627906976744096,0.002213434069177289,0.03303281664920554,0.0006885608698791942,material_candidate
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__rebuild_v2__rf__precision_oriented_subset,PRIMARY_WITH_CAVEAT,94.5,0.9329772163853146,0.8994082840236687,0.9156626506024096,0.8837209302325582,0.9911610199504192,0.9442183163908962,0.026760853373639,0.9911610199504192,yes,hgb,precision_oriented_subset_no_shortcut_v1,hgb_regularized_v1,none,balanced,0.295,0.9589776885845827,0.9010989010989011,0.8541666666666666,0.9534883720930233,0.9939794593318381,0.9734150493104019,0.0217588181589621,0.9939794593318381,yes,0.026000472199268043,0.0016906170752324368,-0.06149598393574296,0.06976744186046513,0.0028184393814189024,0.029196732919505752,-0.0050020352146769,material_candidate
depression,caregiver_2_3,caregiver,depression__caregiver_2_3__rebuild_v2__rf__full_eligible,HOLD_FOR_LIMITATION,56.3,0.9031437676185808,0.8363636363636363,0.8313253012048193,0.8414634146341463,0.9573630346856232,0.8434143874736915,0.0454553863622029,0.964824120603015,no,rf,compact_subset,rf_regularized_v2,none,balanced,0.42999999999999994,0.9103137639416595,0.8304093567251462,0.797752808988764,0.8658536585365854,0.977172447603873,0.859131872449257,0.044768569235766754,0.977172447603873,no,0.007169996323078687,-0.005954279638490156,-0.033572492216055294,0.024390243902439046,0.01980941291824978,0.015717484975565577,-0.0006868171264361456,material_candidate
depression,caregiver_full,caregiver,depression__caregiver_full__boosted_v3__catboost__full_eligible,PRIMARY_WITH_CAVEAT,91.4,0.9569460390355912,0.891566265060241,0.8409090909090909,0.9487179487179488,0.9909108304630694,0.9434742112852106,0.0293666393254193,0.9909108304630694,yes,hgb,full_eligible,hgb_regularized_v1,none,balanced,0.5149999999999999,0.9142664542223311,0.8641975308641975,0.875,0.8536585365853658,0.9859664174531192,0.8898889931245042,0.03539559346290474,0.9859664174531192,yes,-0.04267958481326006,-0.027368734196043465,0.03409090909090906,-0.09505941213258295,-0.004944413009950188,-0.05358521816070638,0.006028954137485439,near_ceiling_or_minor_gain
depression,psychologist_2_3,psychologist,depression__psychologist_2_3__rebuild_v2__rf__full_eligible,HOLD_FOR_LIMITATION,54.1,0.8909486456673612,0.8220858895705522,0.8271604938271605,0.8170731707317073,0.9556777791396004,0.8330408560571644,0.0479028069363223,0.964824120603015,no,rf,compact_subset,rf_regularized_v2,none,balanced,0.39499999999999996,0.9260938840544184,0.8409090909090909,0.7872340425531915,0.9024390243902439,0.9794092413285942,0.8675121016971403,0.04290052940069063,0.9794092413285942,no,0.03514523838705719,0.018823201338538764,-0.03992645127396899,0.08536585365853666,0.0237314621889938,0.034471245639975945,-0.0050022775356316634,material_candidate
depression,psychologist_full,psychologist,depression__psychologist_full__boosted_v3__hgb__full_eligible,PRIMARY_WITH_CAVEAT,92.8,0.9542671259089168,0.9012345679012346,0.8690476190476191,0.935897435897436,0.9923140706722796,0.9533076719585644,0.0253330721238639,0.9923140706722796,yes,hgb,full_eligible,hgb_regularized_v1,none,balanced,0.57,0.9106814560607918,0.8679245283018868,0.8961038961038961,0.8414634146341463,0.988233852187768,0.9173325000298141,0.03136229350403384,0.988233852187768,yes,-0.043585669848125064,-0.03331003959934775,0.027056277056277,-0.0944340212632897,-0.004080218484511566,-0.035975171928750216,0.006029221380169942,near_ceiling_or_minor_gain
elimination,caregiver_2_3,caregiver,elimination__caregiver_2_3__rebuild_v2__rf__engineered_compact,PRIMARY_WITH_CAVEAT,100.0,0.9760963335729692,0.9433962264150944,0.925925925925926,0.9615384615384616,0.9970794392523366,0.955947602524266,0.010039232809337,0.9970794392523366,yes,rf,engineered_compact,rf_regularized_v2,none,balanced,0.42999999999999994,0.9964953271028038,0.9719626168224299,0.9454545454545454,1.0,0.9973714953271028,0.9350808570348431,0.00864806678999762,0.9973714953271028,yes,0.02039899352983454,0.02856639040733555,0.019528619528619395,0.038461538461538436,0.00029205607476623374,-0.02086674548942291,-0.00139116601933938,material_candidate
elimination,caregiver_full,caregiver,elimination__caregiver_full__rebuild_v2__rf__engineered_compact,PRIMARY_WITH_CAVEAT,100.0,0.9784327821711,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.997214234363767,0.9582613967229352,0.0081337265474628,0.997214234363767,yes,rf,engineered_compact,rf_regularized_v2,none,balanced,0.3449999999999999,0.9941588785046729,0.9541284403669725,0.9122807017543859,1.0,0.9975287562904385,0.9626163887505322,0.008910694641077714,0.9975287562904385,yes,0.015726096333572914,-0.007410021171489034,-0.04925775978407565,0.038461538461538436,0.00031452192667147383,0.004354992027597038,0.0007769680936149138,material_candidate
