domain,mode,active_model_id,promotion_decision,model_family,feature_set_id,config_id,calibration,threshold_policy,threshold,old_precision,precision,old_recall,recall,old_balanced_accuracy,balanced_accuracy,old_f1,f1,old_roc_auc,roc_auc,old_pr_auc,pr_auc,old_brier,brier,delta_precision,delta_recall,delta_balanced_accuracy,delta_f1,delta_pr_auc,delta_brier,generalization_ok,material_gain_ok,anomaly_guard_ok,class_upgrade_candidate,new_shortcut_gap_vs_model_ba
anxiety,caregiver_full,anxiety__caregiver_full__rebuild_v2__rf__precision_oriented_subset,PROMOTE_NOW,rf,engineered_compact,rf_precision_guard_v2,none,balanced,0.44499999999999995,0.9166666666666666,0.8695652173913043,0.8953488372093024,0.9302325581395349,0.9387911698736868,0.9498878526738284,0.9058823529411764,0.898876404494382,0.9911462637232912,0.9929465234328887,0.9465380549682876,0.9704386771709957,0.0274435048754308,0.026001868527515633,-0.047101449275362306,0.03488372093023251,0.011096682800141533,-0.007005948446794363,0.023900622202708166,-0.0014416363479151685,yes,yes,yes,no,-0.013428166686341614
anxiety,psychologist_full,anxiety__psychologist_full__rebuild_v2__rf__precision_oriented_subset,PROMOTE_NOW,rf,engineered_pruned,rf_precision_guard_v2,none,balanced,0.37999999999999995,0.9156626506024096,0.8421052631578947,0.8837209302325582,0.9302325581395349,0.9329772163853146,0.9460807460748436,0.8994082840236687,0.8839779005524862,0.9911610199504192,0.9919135875339393,0.9442183163908962,0.9591820433560583,0.026760853373639,0.02643465304635403,-0.0735573874445149,0.046511627906976716,0.013103529689528992,-0.01543038347118253,0.014963726965162127,-0.00032620032728496867,yes,yes,yes,no,-0.009621060087356859
anxiety,caregiver_2_3,anxiety__caregiver_2_3__rebuild_v2__rf__compact_subset,PROMOTE_NOW,rf,engineered_pruned,rf_precision_guard_v2,none,balanced,0.4799999999999999,0.8735632183908046,0.8681318681318682,0.8837209302325582,0.9186046511627907,0.9279010742533348,0.9440738991854563,0.8786127167630058,0.8926553672316384,0.9918840750796836,0.9919135875339393,0.9524808419049928,0.9572096459522187,0.0306755822953721,0.026805400425111828,-0.005431350258936485,0.03488372093023251,0.016172824932121466,0.014042650468632623,0.004728804047225865,-0.003870181870260274,yes,yes,yes,no,-0.0076142131979695105
anxiety,psychologist_2_3,anxiety__psychologist_2_3__rebuild_v2__rf__precision_oriented_subset,PROMOTE_NOW,rf,engineered_pruned,rf_precision_guard_v2,none,balanced,0.37999999999999995,0.9058823529411764,0.8247422680412371,0.8953488372093024,0.9302325581395349,0.937522134340692,0.9435426750088538,0.9005847953216374,0.8743169398907104,0.9898182032817848,0.9918840750796836,0.930287612715468,0.966312961726849,0.0302180148379456,0.027676096377188857,-0.08114008489993929,0.03488372093023251,0.006020540668161822,-0.026267855430927023,0.03602534901138099,-0.0025419184607567424,yes,yes,yes,no,-0.007082989021367059
depression,caregiver_full,depression__caregiver_full__boosted_v3__catboost__full_eligible,HOLD_FOR_LIMITATION,hgb,full_eligible,hgb_regularized_v1,none,balanced,0.5149999999999999,0.8409090909090909,0.875,0.9487179487179488,0.8536585365853658,0.9569460390355912,0.9142664542223311,0.891566265060241,0.8641975308641975,0.9909108304630694,0.9859664174531192,0.9434742112852106,0.8898889931245042,0.0293666393254193,0.03539559346290474,0.03409090909090906,-0.09505941213258295,-0.04267958481326006,-0.027368734196043465,-0.05358521816070638,0.006028954137485439,yes,no,yes,no,-0.02549332025983575
depression,psychologist_full,depression__psychologist_full__boosted_v3__hgb__full_eligible,HOLD_FOR_LIMITATION,hgb,full_eligible,hgb_regularized_v1,none,balanced,0.57,0.8690476190476191,0.8961038961038961,0.935897435897436,0.8414634146341463,0.9542671259089168,0.9106814560607918,0.9012345679012346,0.8679245283018868,0.9923140706722796,0.988233852187768,0.9533076719585644,0.9173325000298141,0.0253330721238639,0.03136229350403384,0.027056277056277,-0.0944340212632897,-0.043585669848125064,-0.03331003959934775,-0.035975171928750216,0.006029221380169942,yes,no,yes,no,-0.021908322098296407
depression,caregiver_2_3,depression__caregiver_2_3__rebuild_v2__rf__full_eligible,HOLD_FOR_LIMITATION,rf,stability_pruned_subset,rf_precision_guard_v2,none,balanced,0.44499999999999995,0.8313253012048193,0.8354430379746836,0.8414634146341463,0.8048780487804879,0.9031437676185808,0.8861073660987866,0.8363636363636363,0.8198757763975155,0.9573630346856232,0.9759161661968379,0.8434143874736915,0.8515382788706797,0.0454553863622029,0.04287770697209967,0.004117736769864266,-0.03658536585365846,-0.017036401519794242,-0.016487859966120788,0.008123891396988214,-0.002577679390103227,yes,no,yes,no,0.0026657678637087567
depression,psychologist_2_3,depression__psychologist_2_3__rebuild_v2__rf__full_eligible,PROMOTE_NOW,rf,compact_subset,rf_regularized_v2,none,balanced,0.39499999999999996,0.8271604938271605,0.7872340425531915,0.8170731707317073,0.9024390243902439,0.8909486456673612,0.9260938840544184,0.8220858895705522,0.8409090909090909,0.9556777791396004,0.9794092413285942,0.8330408560571644,0.8675121016971403,0.0479028069363223,0.04290052940069063,-0.03992645127396899,0.08536585365853666,0.03514523838705719,0.018823201338538764,0.034471245639975945,-0.0050022775356316634,yes,yes,yes,no,-0.03732075009192304
elimination,caregiver_full,elimination__caregiver_full__rebuild_v2__rf__engineered_compact,PROMOTE_NOW,rf,engineered_compact,rf_precision_guard_v2,none,balanced,0.32499999999999996,0.9615384615384616,0.9454545454545454,0.9615384615384616,1.0,0.9784327821711,0.9964953271028038,0.9615384615384616,0.9719626168224299,0.997214234363767,0.9974838245866283,0.9582613967229352,0.9433519475427757,0.0081337265474628,0.006431902737215768,-0.016083916083916128,0.038461538461538436,0.018062544931703783,0.01042415528396834,-0.014909449180159462,-0.0017018238102470317,yes,yes,yes,no,-0.03064342199856218
elimination,psychologist_full,elimination__psychologist_full__rebuild_v2__rf__engineered_compact,PROMOTE_NOW,rf,engineered_compact,rf_precision_guard_v2,none,balanced,0.295,0.9433962264150944,0.9454545454545454,0.9615384615384616,1.0,0.9772645578720344,0.9964953271028038,0.9523809523809524,0.9719626168224299,0.998090402588066,0.9990564342199857,0.9734743104312084,0.9917564458695415,0.009137193084548,0.0062844913150767595,0.002058319039451084,0.038461538461538436,0.019230769230769384,0.019581664441477464,0.018282135438333125,-0.002852701769471241,yes,yes,yes,no,-0.03064342199856218
