domain,mode,role,active_model_id,source_campaign,feature_set_id,final_operational_class,confidence_pct,confidence_band,overfit_flag,generalization_flag,dataset_ease_flag,precision,recall,specificity,balanced_accuracy,f1,roc_auc,pr_auc,brier,secondary_metric_peak,secondary_metric_anomaly_flag,feature_audit_status,old_best_single_feature,old_best_single_rule,old_best_single_feature_ba,old_shortcut_gap_vs_model_ba,shortcut_dominance_flag,normalized_final_class,classification_reason_code
anxiety,caregiver_2_3,caregiver,anxiety__caregiver_2_3__rebuild_v2__rf__compact_subset,rebuild_v2,compact_subset,ACTIVE_HIGH_CONFIDENCE,89.7,high,no,yes,no,0.8735632183908046,0.8837209302325582,0.9720812182741116,0.9279010742533348,0.8786127167630058,0.9918840750796836,0.9524808419049928,0.0306755822953721,0.9918840750796836,yes,exact_v2,social_anxiety_almost_always_triggered,social_anxiety_almost_always_triggered >= 2,0.8847538661315075,-0.04314720812182726,no,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly
anxiety,caregiver_full,caregiver,anxiety__caregiver_full__rebuild_v2__rf__precision_oriented_subset,rebuild_v2,precision_oriented_subset,ACTIVE_HIGH_CONFIDENCE,95.3,high,no,yes,no,0.9166666666666666,0.8953488372093024,0.9822335025380712,0.9387911698736868,0.9058823529411764,0.9911462637232912,0.9465380549682876,0.0274435048754308,0.9911462637232912,yes,exact_v2,social_anxiety_almost_always_triggered,social_anxiety_almost_always_triggered >= 2,0.8847538661315075,-0.0540373037421793,no,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly
anxiety,psychologist_2_3,psychologist,anxiety__psychologist_2_3__rebuild_v2__rf__precision_oriented_subset,rebuild_v2,precision_oriented_subset,ACTIVE_HIGH_CONFIDENCE,93.8,high,no,yes,no,0.9058823529411764,0.8953488372093024,0.9796954314720812,0.937522134340692,0.9005847953216374,0.9898182032817848,0.930287612715468,0.0302180148379456,0.9898182032817848,yes,exact_v2,social_anxiety_almost_always_triggered,social_anxiety_almost_always_triggered >= 2,0.8847538661315075,-0.052768268209184455,no,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly
anxiety,psychologist_full,psychologist,anxiety__psychologist_full__rebuild_v2__rf__precision_oriented_subset,rebuild_v2,precision_oriented_subset,ACTIVE_HIGH_CONFIDENCE,94.5,high,no,yes,no,0.9156626506024096,0.8837209302325582,0.9822335025380712,0.9329772163853146,0.8994082840236687,0.9911610199504192,0.9442183163908962,0.026760853373639,0.9911610199504192,yes,exact_v2,social_anxiety_almost_always_triggered,social_anxiety_almost_always_triggered >= 2,0.8847538661315075,-0.048223350253807085,no,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly
depression,caregiver_2_3,caregiver,depression__caregiver_2_3__rebuild_v2__rf__full_eligible,rebuild_v2,full_eligible,ACTIVE_LIMITED_USE,56.3,low,no,yes,no,0.8313253012048193,0.8414634146341463,0.964824120603015,0.9031437676185808,0.8363636363636363,0.9573630346856232,0.8434143874736915,0.0454553863622029,0.964824120603015,no,exact_v2,mdd_impairment,mdd_impairment >= 2,0.8887731339624954,-0.014370633656085485,no,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk
depression,caregiver_full,caregiver,depression__caregiver_full__boosted_v3__catboost__full_eligible,boosted_v3,full_eligible,ACTIVE_HIGH_CONFIDENCE,91.4,high,no,yes,no,0.8409090909090909,0.9487179487179488,0.965174129353234,0.9569460390355912,0.891566265060241,0.9909108304630694,0.9434742112852106,0.0293666393254193,0.9909108304630694,yes,mapped_v2_by_name_por_confirmar,mdd_impairment,mdd_impairment >= 2,0.8887731339624954,-0.06817290507309581,no,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly
depression,psychologist_2_3,psychologist,depression__psychologist_2_3__rebuild_v2__rf__full_eligible,rebuild_v2,full_eligible,ACTIVE_LIMITED_USE,54.1,limited,no,yes,no,0.8271604938271605,0.8170731707317073,0.964824120603015,0.8909486456673612,0.8220858895705522,0.9556777791396004,0.8330408560571644,0.0479028069363223,0.964824120603015,no,exact_v2,mdd_impairment,mdd_impairment >= 2,0.8887731339624954,-0.002175511704865851,no,HOLD_FOR_LIMITATION,fails_minimum_gate_or_has_strong_risk
depression,psychologist_full,psychologist,depression__psychologist_full__boosted_v3__hgb__full_eligible,boosted_v3,full_eligible,ACTIVE_HIGH_CONFIDENCE,92.8,high,no,yes,no,0.8690476190476191,0.935897435897436,0.972636815920398,0.9542671259089168,0.9012345679012346,0.9923140706722796,0.9533076719585644,0.0253330721238639,0.9923140706722796,yes,mapped_v2_by_name_por_confirmar,mdd_impairment,mdd_impairment >= 2,0.8887731339624954,-0.06549399194642147,no,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly
elimination,caregiver_2_3,caregiver,elimination__caregiver_2_3__rebuild_v2__rf__engineered_compact,rebuild_v2,engineered_compact,ACTIVE_HIGH_CONFIDENCE,100.0,high,no,yes,no,0.925925925925926,0.9615384615384616,0.9906542056074766,0.9760963335729692,0.9433962264150944,0.9970794392523366,0.955947602524266,0.010039232809337,0.9970794392523366,yes,exact_v2,eng_elimination_intensity,eng_elimination_intensity >= 0.969,0.9658519051042416,-0.01024442846872764,no,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly
elimination,caregiver_full,caregiver,elimination__caregiver_full__rebuild_v2__rf__engineered_compact,rebuild_v2,engineered_compact,ACTIVE_HIGH_CONFIDENCE,100.0,high,no,yes,no,0.9615384615384616,0.9615384615384616,0.9953271028037384,0.9784327821711,0.9615384615384616,0.997214234363767,0.9582613967229352,0.0081337265474628,0.997214234363767,yes,exact_v2,eng_elimination_intensity,eng_elimination_intensity >= 0.969,0.9658519051042416,-0.012580877066858398,no,PRIMARY_WITH_CAVEAT,robust_metrics_blocked_by_unresolved_secondary_anomaly
